nu,[0]Isovaleraldehyde-HITRAN(x-sec)-X=0.01-T=278.1K-P=1.0atm-L=15cm
577.378334,0.9999184543250293
577.619388,1.0
577.860442,0.9983789153794267
578.101496,0.9975310528759121
578.34255,0.9957516498798387
578.583604,0.9986920561051891
578.824658,0.9977859546222333
579.065712,0.9970863529326552
579.306766,1.0
579.54782,0.9988451673330658
579.788874,1.0
580.029928,0.9995708820974352
580.270982,1.0
580.512036,1.0
580.75309,1.0
580.994144,0.9984870456711118
581.235198,0.999945933461648
581.476252,0.9999452884967289
581.717306,1.0
581.95836,1.0
582.199414,1.0
582.440468,0.9999680345109071
582.681522,1.0
582.922576,0.999441805848354
583.16363,0.9991303283837557
583.404684,1.0
583.645738,1.0
583.886792,0.9988362776506357
584.127846,0.9982268738488708
584.3689,0.999448552103312
584.609954,1.0
584.851008,1.0
585.092062,1.0
585.333116,0.9991547374358335
585.57417,1.0
585.815224,0.9999972559037651
586.056278,1.0
586.297332,0.9973927049135313
586.538386,1.0
586.77944,0.9996480419517706
587.020494,1.0
587.261548,1.0
587.502602,1.0
587.743656,1.0
587.98471,1.0
588.225764,0.9990727901249742
588.466818,1.0
588.707872,0.9999428536329158
588.948926,0.9999462384452041
589.18998,1.0
589.431034,0.9996129249328909
589.672088,1.0
589.913142,1.0
590.154196,1.0
590.39525,1.0
590.636304,1.0
590.877358,1.0
591.118412,0.9995029535685254
591.359466,0.9995302803528314
591.60052,1.0
591.841574,0.9999570269233691
592.082628,1.0
592.323682,1.0
592.564736,1.0
592.80579,1.0
593.046844,1.0
593.287898,1.0
593.528952,1.0
593.770006,0.9998135573825854
594.01106,0.9998830468395541
594.252114,1.0
594.493168,0.9997729857716303
594.734222,0.99994017878936
594.975276,1.0
595.21633,1.0
595.457384,1.0
595.698438,1.0
595.939492,1.0
596.180546,1.0
596.4216,0.9998980851936667
596.662654,0.9996714439863524
596.903708,0.9998930357210865
597.144762,0.9998716182416433
597.385816,1.0
597.62687,1.0
597.867924,0.9998696984899793
598.108978,1.0
598.350032,1.0
598.591086,1.0
598.83214,0.9996638864988032
599.073194,0.9993970518463376
599.314248,0.999923667913442
599.555302,0.998913191005141
599.796356,1.0
600.03741,0.999678111817121
600.278464,1.0
600.519518,1.0
600.760572,1.0
601.001626,1.0
601.24268,1.0
601.483734,1.0
601.724788,0.9991880897776165
601.965842,0.9997361948027119
602.206896,1.0
602.44795,1.0
602.689004,1.0
602.930058,1.0
603.171112,1.0
603.412166,1.0
603.65322,1.0
603.894274,1.0
604.135328,1.0
604.376382,0.9991684858996098
604.617436,1.0
604.85849,0.9998020795888293
605.099544,1.0
605.340598,0.9997120914536223
605.581652,1.0
605.822706,1.0
606.06376,0.9999448505207884
606.304814,0.9999530031043887
606.545868,1.0
606.786922,0.9994219971080672
607.027976,0.9998817569912557
607.26903,0.9995533397823887
607.510084,1.0
607.751138,0.9997626081818979
607.992192,0.9995798882716557
608.233246,0.9998463318081663
608.4743,0.999757399432278
608.715354,0.9989329696821311
608.956408,1.0
609.197462,1.0
609.438516,0.9996709741408841
609.67957,0.999015265169878
609.920624,0.9992894425655825
610.161678,0.9995741506995638
610.402732,0.9997905719331199
610.643786,0.9993829104781045
610.88484,1.0
611.125894,1.0
611.366948,0.999067535015919
611.608002,0.9999326302694422
611.849056,1.0
612.09011,0.9996306982087001
612.331164,0.9995181261385201
612.572218,1.0
612.813272,0.9980776500859846
613.054326,0.9996701844011265
613.29538,0.9999674605294201
613.536434,0.9999266486903389
613.777488,1.0
614.018542,1.0
614.259596,0.9998629693895519
614.50065,1.0
614.741704,0.9997130511776907
614.982758,0.9997380643111442
615.223812,0.9992765018510925
615.464866,0.9998067286793085
615.70592,0.999364512008081
615.946974,0.9999161915121275
616.188028,1.0
616.429082,0.9997502611899296
616.670136,0.9996785716691582
616.91119,1.0
617.152244,0.9999128987935304
617.393298,1.0
617.634352,0.9997278070512242
617.875406,0.9996326474904622
618.11646,0.9990975974103341
618.357514,0.999874377891118
618.598568,0.9996621770750188
618.839622,0.9995725813693791
619.080676,0.9996264297947318
619.32173,0.9997803341300809
619.562784,1.0
619.803838,0.999799930016669
620.044892,1.0
620.285946,0.999807648501922
620.527,0.9990863975890423
620.768054,0.9988719367422588
621.009108,0.9998262350988696
621.250162,0.9997556198656908
621.491216,0.9998488014316559
621.73227,0.9998667288813846
621.973324,0.9996740031485247
