nu,[0]Methylacetoacetate-HITRAN(x-sec)-X=0.01-T=298.1K-P=1.0atm-L=15cm
577.528751,0.9583597975167409
577.648353,0.964092533375022
577.767955,0.9642390865778563
577.887558,0.9644666738565313
578.00716,0.9619373068833363
578.126763,0.9647068559597524
578.246365,0.9661434082912941
578.365967,0.9629729084792853
578.48557,0.9648612214056124
578.605172,0.9649239394233172
578.724774,0.9638072042159419
578.844377,0.9605732858466727
578.963979,0.9664139663219723
579.083582,0.9698527724344712
579.203184,0.9634718576625593
579.322786,0.9657908302966661
579.442389,0.9646431874083443
579.561991,0.9660709502528826
579.681594,0.962680209207651
579.801196,0.9666749333218388
579.920798,0.9628342503640881
580.040401,0.9645862751392157
580.160003,0.9602851570823944
580.279606,0.9658236677431296
580.399208,0.964068431362964
580.51881,0.9640906051918835
580.638413,0.9653485993750016
580.758015,0.963638552712641
580.877618,0.966556039617153
580.99722,0.9615987645382618
581.116822,0.9648863081234947
581.236425,0.9632281301154054
581.356027,0.9681725049400004
581.47563,0.961753594402822
581.595232,0.965398798807343
581.714834,0.963930579433927
581.834437,0.9663105655596153
581.954039,0.9632772560027408
582.073641,0.9639970929385975
582.193244,0.9665715046375066
582.312846,0.9654296920631944
582.432449,0.9664883830623868
582.552051,0.9681473327821114
582.671653,0.9666140347193657
582.791256,0.9644714962019564
582.910858,0.9662342300402288
583.030461,0.9643181574248161
583.150063,0.9659946336623576
583.269665,0.9668779563745108
583.389268,0.9651661657302423
583.50887,0.967743699507728
583.628473,0.9675230790959228
583.748075,0.9657183987006126
583.867677,0.9683119318192062
583.98728,0.9665570061736758
584.106882,0.9646345056587257
584.226485,0.968328393261969
584.346087,0.9639710653684619
584.465689,0.9684949600699448
584.585292,0.968340013272408
584.704894,0.9654248649268019
584.824496,0.9687652078616182
584.944099,0.9669930216975703
585.063701,0.9661975138370995
585.183304,0.9658323601952553
585.302906,0.9659608244418443
585.422508,0.9666053352322009
585.542111,0.9682141372528011
585.661713,0.9654074874356311
585.781316,0.9687206456869945
585.900918,0.963718538031861
586.02052,0.9688281796466901
586.140123,0.9678888719503151
586.259725,0.9663559832235032
586.379328,0.9674118203393279
586.49893,0.9684533156820225
586.618532,0.9694765425520837
586.738135,0.9620883428965339
586.857737,0.9687574577709558
586.97734,0.9649914864631957
587.096942,0.9692468038366121
587.216544,0.9620017588420141
587.336147,0.9669562766609059
587.455749,0.967227062326595
587.575352,0.9679711460010285
587.694954,0.9662265001973078
587.814556,0.9687187082476406
587.934159,0.9674195596648479
588.053761,0.9656073474703302
588.173363,0.9678278968721173
588.292966,0.9666343338272346
588.412568,0.9680785967616415
