nu,[0]Furfural-HITRAN(x-sec)-X=0.01-T=298.1K-P=1.0atm-L=15cm
577.846557,0.9414848710497163
577.965559,0.9348193284213571
578.084562,0.9307374966019151
578.203564,0.9328946498480418
578.322566,0.9391998402498937
578.441569,0.932858267666155
578.560571,0.9375004885666003
578.679574,0.9282353207009026
578.798576,0.9313668878598951
578.917578,0.9293963403378774
579.036581,0.9295552807010891
579.155583,0.9330532554196076
579.274585,0.9323210960242638
579.393588,0.9308920118507619
579.51259,0.9223191183154784
579.631593,0.9283049409606824
579.750595,0.9214267453871277
579.869597,0.9267198226859483
579.9886,0.9286243327926182
580.107602,0.922986196157602
580.226605,0.9193595432539864
580.345607,0.9141880360201295
580.464609,0.9246481427972648
580.583612,0.9198828076887119
580.702614,0.916295837268607
580.821616,0.9267643063050356
580.940619,0.9173630266068883
581.059621,0.9185545369383408
581.178624,0.9217898590535051
581.297626,0.9150569273123645
581.416628,0.9176988429252639
581.535631,0.9148108101031663
581.654633,0.9152079241622687
581.773635,0.9141962637494785
581.892638,0.9143937514703543
582.01164,0.9150999359986445
582.130643,0.9134177002479124
582.249645,0.9103747054428069
582.368647,0.917635523889634
582.48765,0.9113247216078909
582.606652,0.9094320456300637
582.725655,0.9102281469135087
582.844657,0.9126936471366178
582.963659,0.9108600644975055
583.082662,0.9113256329330681
583.201664,0.9090974362091816
583.320666,0.9042585073595931
583.439669,0.9106423949546371
583.558671,0.9068910113311465
583.677674,0.9080816332151798
583.796676,0.9029482826663866
583.915678,0.9107289100915616
584.034681,0.9039601512836246
584.153683,0.9034450408178223
584.272685,0.9043398942876123
584.391688,0.9059184391542736
584.51069,0.9016038915453224
584.629693,0.9058586505103363
584.748695,0.9104429861062079
584.867697,0.9014686611041273
584.9867,0.9031921116181337
585.105702,0.9029302238813217
585.224704,0.9083913418544279
585.343707,0.9004415723822737
585.462709,0.8990649501610727
585.581712,0.9012433221073994
585.700714,0.9027225738105026
585.819716,0.8958341352965282
585.938719,0.9014506319111977
586.057721,0.9020728474869036
586.176724,0.892847040509834
586.295726,0.9022352352139082
586.414728,0.9015497969346843
586.533731,0.8955385588046839
586.652733,0.8983639529244098
586.771735,0.8976545256622642
586.890738,0.8954579639612138
587.00974,0.898031619747257
587.128743,0.8950371976059912
587.247745,0.8935258621801823
587.366747,0.8967393848472471
587.48575,0.8943214541834483
587.604752,0.8994786151738053
587.723754,0.8945540079922212
587.842757,0.895440054981025
587.961759,0.8945987368108319
588.080762,0.8959058048940977
588.199764,0.8905197481717501
588.318766,0.8963000901846538
588.437769,0.8931417286540717
588.556771,0.8867430703670404
588.675774,0.8880919447188023
588.794776,0.8922311885452439
588.913778,0.8931417286540717
589.032781,0.8921508913517028
589.151783,0.8939459180408017
589.270785,0.892936329678269
589.389788,0.891794102357718
589.50879,0.8963359429053108
589.627793,0.900693731323145
589.746795,0.891419627479957
589.865797,0.8980136592944672
589.9848,0.8967931908245012
590.103802,0.8976635022524038
590.222804,0.8903505654924609
590.341807,0.8966586819342964
590.460809,0.894437723529836
590.579812,0.8901458084103647
590.698814,0.8871244518784467
590.817816,0.8916781766597451
590.936819,0.8916960104016152
591.055821,0.888367295898893
591.174823,0.8900567982801044
591.293826,0.8917762666540285
591.412828,0.8962104646569865
591.531831,0.8902348274420832
591.650833,0.8948045181842492
591.769835,0.8886782788713031
591.888838,0.8947687267193559
592.00784,0.8924007285768605
592.126843,0.8902793402962673
592.245845,0.8890160407879739
592.364847,0.8890249309928328
592.48385,0.8860162390908893
592.602852,0.8842901908686204
592.721854,0.8843255631836967
592.840857,0.8776126112211434
592.959859,0.8680464950765385
593.078862,0.8647282355237061
593.197864,0.8556618636341355
593.316866,0.8465042980375851
593.435869,0.8400112452768842
593.554871,0.8261986814019407
593.673873,0.8097497740236645
593.792876,0.8073564585468992
593.911878,0.7944700423575735
594.030881,0.7670295128984029
594.149883,0.7527591170773874
594.268885,0.7293073725250933
594.387888,0.6977949411284574
594.50689,0.6927680777127214
594.625893,0.671326280591941
594.744895,0.6579673295692758
594.863897,0.6413307272322686
594.9829,0.5979787863451193
595.101902,0.551656339474558
595.220904,0.5238289915129736
595.339907,0.47271623335591345
595.458909,0.5347478241171697
595.577912,0.5578138357249524
595.696914,0.5298401085141112
595.815916,0.5567494281315581
595.934919,0.5028718061062826
596.053921,0.6581252606793476
596.172923,0.8036190021834974
596.291926,0.8507304037108497
596.410928,0.8666067332276634
596.529931,0.8790354958767078
596.648933,0.8825675051608676
596.767935,0.8862200462628066
596.886938,0.8880031399646421
597.00594,0.8896029850451929
597.124942,0.8928916839779368
597.243945,0.8943482842295225
597.362947,0.8953594690025002
597.48195,0.897098152349903
597.600952,0.895386330189486
597.719954,0.8903505654924609
597.838957,0.8985436436834716
597.957959,0.8930970726840476
598.076962,0.8942409688744651
598.195964,0.8958430936826731
598.314966,0.8917316789553976
598.433969,0.8954848281030928
598.552971,0.8952520323125501
598.671973,0.8883495287306472
598.790976,0.8880564217514776
598.909978,0.891383971407984
599.028981,0.8855910533488673
599.147983,0.8861491514949341
599.266985,0.8875770007390551
599.385988,0.8814209128506385
599.50499,0.8816148467834161
599.623992,0.8862554957736426
599.742995,0.87899154520069
599.861997,0.8782095907468089
599.981,0.8757014995972153
600.100002,0.871604075534142
600.219004,0.8748699782077952
600.338007,0.8736110720691348
600.457009,0.8743889320196091
600.576012,0.8727466250796498
600.695014,0.8747212629526547
600.814016,0.8752287484417326
600.933019,0.8733315612501888
601.052021,0.8755876658016246
601.171023,0.8743189837030174
601.290026,0.8753863037960086
601.409028,0.8774546551675949
601.528031,0.8751849880983282
601.647033,0.8758854162227004
601.766035,0.878227155114267
601.885038,0.8766565346313134
602.00404,0.8764812208563489
602.123042,0.8767968108986566
602.242045,0.8771300569995472
602.361047,0.8779988457354426
602.48005,0.8801349772792687
602.599052,0.8798357822530305
602.718054,0.8758153481921612
602.837057,0.8754475829820209
602.956059,0.8776126112211434
603.075062,0.8784730931474168
603.194064,0.8778583771579108
603.313066,0.8821175104916298
603.432069,0.8762270781547735
603.551071,0.8771212857428335
603.670073,0.8738120257244952
603.789076,0.879914971036875
603.908078,0.8786048739947053
604.027081,0.8751849880983282
604.146083,0.877665269557551
604.265085,0.8778057072353949
604.384088,0.8763497585331413
604.50309,0.8779373879672882
604.622092,0.8783413320657728
604.741095,0.877173914598828
604.860097,0.8789475967221512
604.9791,0.8824880776596943
605.098102,0.8802934158342212
605.217104,0.8780690884527727
605.336107,0.8806191846615964
605.455109,0.8790091252073936
605.574111,0.8777179310535536
605.693114,0.8795630754322732
605.812116,0.8807072509833052
605.931119,0.8800029669337003
