nu,[0]Phenol-HITRAN(x-sec)-X=0.01-T=298.1K-P=1.0atm-L=15cm
592.120842,0.8755176215901663
592.255845,0.8762270781547735
592.390848,0.8794839183176079
592.525851,0.8848740150353758
592.660853,0.8712642162215573
592.795856,0.8796950197891673
592.930859,0.888536101721159
593.065861,0.8772616363763036
593.200864,0.8878521922617664
593.335867,0.8878344353954905
593.470869,0.878402818111004
593.605872,0.8965241932189121
593.740875,0.8808481754171166
593.875878,0.8977173636783655
594.01088,0.8877101472749065
594.145883,0.8925970783348288
594.280886,0.9064902540780155
594.415888,0.8893272508608355
594.550891,0.9010721021426108
594.685894,0.8987053960966152
594.820896,0.8934990568063994
594.955899,0.8972327271656143
595.090902,0.9051623129841883
595.225905,0.8992267964178278
595.360907,0.9002885103256122
595.49591,0.9031740479565386
595.630913,0.9107015886340829
595.765915,0.9029663418126308
595.900918,0.9039059153016433
596.035921,0.9165185242124312
596.170923,0.9188632231191263
596.305926,0.9165652678491186
596.440929,0.9203732359127212
596.575932,0.9189780882009342
596.710934,0.9212673523480711
596.845937,0.9154065458314836
596.98094,0.9298751027238842
597.115942,0.9268810859645941
597.250945,0.9180935382811417
597.385948,0.9299727447357862
597.52095,0.9227720881975772
597.655953,0.9220996324851692
597.790956,0.9309785888336313
597.925959,0.9273298049914459
598.060961,0.9371780438622023
598.195964,0.9271350861785886
598.330967,0.9266058431576427
598.465969,0.9377536478734817
598.600972,0.9290469530028457
598.735975,0.9312681682020163
598.870977,0.9373223803945848
599.00598,0.9327276766502661
599.140983,0.945594924345157
599.275986,0.9419585570618991
599.410988,0.9387744790738408
599.545991,0.9472947388057542
599.680994,0.9456308576350103
599.815996,0.952593513402293
599.950999,0.9402626761896454
600.086002,0.9623943356398426
600.221004,0.9489387728484243
600.356007,0.9545130154754297
600.49101,0.9585620327690858
600.626013,0.9607164219296372
600.761015,0.960169929777321
600.896018,0.9649644670798477
601.031021,0.9428236720443045
601.166023,0.9515186422046259
601.301026,0.9615651091704752
601.436029,0.9587403418894149
601.571031,0.9625098298896357
601.706034,0.9628968366243932
601.841037,0.9679634022628355
601.97604,0.9728688453228703
602.111042,0.9704707654603939
602.246045,0.9591833822618135
602.381048,0.9588218382820232
602.51605,0.9630258734457748
602.651053,0.9609748894094537
602.786056,0.9648322760031534
602.921058,0.9758591661093203
603.056061,0.9685850342896176
603.191064,0.9679876016503831
603.326067,0.9688591826444841
603.461069,0.9569807525589854
603.596072,0.9799271958756094
603.731075,0.9689163470225927
603.866077,0.962024847161285
604.00108,0.9689163470225927
604.136083,0.9682664222278944
604.271085,0.9626108987277953
604.406088,0.974076925018322
604.541091,0.9712746480156456
604.676094,0.9576029922541416
604.811096,0.9620440878506344
604.946099,0.9691295320684329
605.081102,0.9829598539545872
605.216104,0.9677195062176577
605.351107,0.9852429682042387
605.48611,0.9844265402397455
605.621112,0.9804182624026366
605.756115,0.9678037014771392
605.891118,0.9775635269765527
606.026121,0.9892195302996553
606.161123,0.9643085142914576
606.296126,0.9848036478161485
606.431129,0.9925097924709438
606.566131,0.9874237503732262
606.701134,0.9764409515271544
606.836137,0.9826335654499632
606.971139,0.9763315962645924
607.106142,0.9798635026779289
607.241145,0.9673005743767544
607.376148,0.9719917132704147
607.51115,0.9862533599839732
607.646153,0.9981915372429981
607.781156,0.9865157382724943
607.916158,0.982667958226624
608.051161,0.9688010528374371
608.186164,0.9804878745704699
608.321166,0.9969937279129666
608.456169,0.9853001139536053
