nu,[0]Perfluorotributylamine-HITRAN(x-sec)-X=0.01-T=298.2K-P=0.0atm-L=15cm
581.678249,0.9999771022621572
581.738514,0.9999768422681444
581.798779,0.9999780282413826
581.859044,0.9999777632472403
581.919309,0.9999784822315105
581.979574,0.9999768862671264
582.039839,0.9999764662769224
582.100104,0.9999767792696054
582.160369,0.9999784942312524
582.220634,0.9999756642961181
582.280899,0.9999758682911744
582.341165,0.9999750573110741
582.40143,0.9999775102528982
582.461695,0.9999760822860331
582.52196,0.9999764732767576
582.582225,0.9999763832788792
582.64249,0.9999744503263984
582.702755,0.999981369173556
582.76302,0.9999746693208271
582.823285,0.9999739893382831
582.88355,0.9999908778416071
582.943815,0.9999728473686393
583.00408,0.9999742563313739
583.064345,0.9999755192996572
583.12461,0.999992123731018
583.184875,0.999974062336387
583.24514,0.9999770322637624
583.305405,0.9999775712515281
583.36567,0.9999903386466712
583.425935,0.999982912145999
583.4862,0.9999921189310558
583.546465,0.9999729933646857
583.60673,0.9999786322282941
583.666996,0.9999794342114787
583.727261,0.9999916963344756
583.787526,0.9999789722210869
583.847791,0.9999928451255963
583.908056,0.9999930394242249
583.968321,0.9999925002281235
584.028586,0.9999924492285072
584.088851,0.9999923763290604
584.149116,0.9999798472030703
584.209381,0.9999877910745295
584.269646,0.9999931511234537
584.329911,0.9999910065404414
584.390176,0.9999801161976855
584.450441,0.99999142913673
584.510706,0.9999695684630486
584.570971,0.9999798712025869
584.631236,0.9999851241106471
584.691501,0.9999892090582226
584.751766,0.9999704184375431
584.812031,0.9999932021231057
584.872296,0.9999927188265079
584.932561,0.9999713664099491
584.992827,0.9999803621928243
585.053092,0.9999711234169365
585.113357,0.9999908851415406
585.173622,0.9999689614817048
585.233887,0.9999865450905181
585.294152,0.9999712204141402
585.354417,0.9999855981037084
585.414682,0.9999749603134982
585.474947,0.9999706864296511
585.535212,0.9999679655131152
585.595477,0.9999879120730596
585.655742,0.9999696904593434
585.716007,0.9999693744689712
585.776272,0.999967698521704
585.836537,0.999984534119598
585.896802,0.9999714634071764
585.957067,0.9999716814009791
586.017332,0.9999876740759648
586.077597,0.9999706614303843
586.137862,0.99997789224438
586.198127,0.9999668485495214
586.258392,0.9999753493038334
586.318658,0.9999713664099491
586.378923,0.9999670675422853
586.439188,0.9999672615359152
586.499453,0.9999687184892767
586.559718,0.9999747173196124
586.619983,0.9999698604542052
586.680248,0.9999714634071764
586.740513,0.9999767332706746
586.800778,0.9999845071200159
586.861043,0.9999720943893688
586.921308,0.99998188216413
586.981573,0.9999685004961197
