nu,[0]FluoroetherE-1-HITRAN(x-sec)-X=0.01-T=298.0K-P=0.0atm-L=15cm
931.931575,0.9999995892700844
932.413691,0.9999997375200345
932.895808,0.9999998371700133
933.377925,0.9999997909900219
933.860041,0.9999997107900418
934.342158,0.9999997107900418
934.824275,0.9999997326600357
935.306391,0.9999996646100563
935.788508,0.9999995552500989
936.270625,0.9999995917100833
936.752741,0.9999997472500319
937.234858,0.9999997909900219
937.716975,0.9999996864900491
938.199091,0.9999996062900776
938.681208,0.999999674340053
939.163325,0.9999998420300125
939.645441,0.9999999805570002
940.127558,0.9999999270900026
940.609675,0.99999985904001
941.091792,0.9999997934200213
941.573908,0.9999997496800314
942.056025,0.9999997059300433
942.538142,0.9999995844100864
943.020258,0.9999994604701455
943.502375,0.9999994993501253
