nu,[0]HFC-1243zf-HITRAN(x-sec)-X=0.01-T=298.0K-P=0.9211atm-L=15cm
821.481882,1.0
821.600884,1.0
821.719886,1.0
821.838888,1.0
821.95789,1.0
822.076892,1.0
822.195894,1.0
822.314896,1.0
822.433898,1.0
822.5529,1.0
822.671902,1.0
822.790904,1.0
822.909906,1.0
823.028908,1.0
823.14791,1.0
823.266912,1.0
823.385914,1.0
823.504916,1.0
823.623918,1.0
823.74292,1.0
823.861922,1.0
823.980924,1.0
824.099926,1.0
824.218928,1.0
824.33793,1.0
824.456932,1.0
824.575934,1.0
824.694936,1.0
824.813938,1.0
824.93294,1.0
825.051942,1.0
825.170944,1.0
825.289946,1.0
825.408948,1.0
825.52795,1.0
825.646952,1.0
825.765954,1.0
825.884956,1.0
826.003958,1.0
826.12296,1.0
826.241962,1.0
826.360964,1.0
826.479966,1.0
826.598968,1.0
826.71797,1.0
826.836972,1.0
826.955974,1.0
827.074976,1.0
827.193978,1.0
827.31298,1.0
827.431982,1.0
827.550984,1.0
827.669986,1.0
827.788988,1.0
827.90799,1.0
828.026992,1.0
828.145994,1.0
828.264996,1.0
828.383998,1.0
828.503,1.0
828.622002,1.0
828.741004,1.0
828.860006,1.0
828.979008,1.0
829.09801,1.0
829.217012,1.0
829.336014,1.0
829.455016,1.0
829.574018,1.0
829.69302,1.0
829.812022,1.0
829.931024,1.0
830.050026,1.0
830.169028,1.0
830.28803,1.0
830.407032,1.0
830.526034,1.0
830.645036,1.0
830.764038,1.0
830.88304,1.0
831.002042,1.0
831.121044,1.0
831.240046,1.0
831.359048,1.0
