nu,[0]Acetol-HITRAN(x-sec)-X=0.01-T=298.1K-P=1.0atm-L=15cm
594.939899,0.9557871855205392
595.059701,0.9573607493421218
595.179504,0.9571740821966384
595.299306,0.9562106930437151
595.419108,0.9533263395496393
595.538911,0.95988000223979
595.658713,0.9531080528126677
595.778516,0.9534026087075289
595.898318,0.9511761571444418
596.01812,0.9526468601327381
596.137923,0.9534807909268701
596.257725,0.9499546807491729
596.377528,0.9527240276536513
596.49733,0.94979700135992
596.617132,0.9493174749648389
596.736935,0.9517603586364332
596.856737,0.9496554921494152
596.97654,0.9517555998465369
597.096342,0.9490744807958286
597.216144,0.9500126297521252
597.335947,0.9482633689144894
597.455749,0.9480339169440203
597.575552,0.9494940644374942
597.695354,0.9482671619755512
597.815156,0.9482387143874078
597.934959,0.9467615619711689
598.054761,0.9464255212674232
598.174563,0.9478073639120363
598.294366,0.946441610638044
598.414168,0.9476595174955864
598.533971,0.9439104307673372
598.653773,0.9451846251893482
598.773575,0.9404507475313906
598.893378,0.9454379686154017
599.01318,0.9453320854924824
599.132983,0.9427680470886062
599.252785,0.9417249803044628
599.372587,0.9404168919138842
599.49239,0.9406783641527935
599.612192,0.9398838266744457
599.731995,0.9390918384784859
599.851797,0.9392514976616733
599.971599,0.9401620734656349
600.091402,0.9355412875832785
600.211204,0.934562288450657
600.331007,0.9326651859893911
600.450809,0.9356647871840338
600.570611,0.9340502886173534
600.690414,0.9319463782669776
600.810216,0.9343623135190094
600.930019,0.9322875330689437
601.049821,0.931097761719904
601.169623,0.9291287127320852
601.289426,0.9310921751500933
601.409228,0.9301820121450525
