nu,[0]Peroxyacetalnitrate-HITRAN(x-sec)-X=0.01-T=250.0K-P=0.0011atm-L=15cm
1679.815132,0.9999673595327117
1679.935661,0.9999801891962365
1680.05619,0.9999843291227895
1680.176719,0.9999895340547684
1680.297248,0.9999923799290329
1680.417777,0.9999733943539365
1680.538307,0.999950869206957
1680.658836,0.9999958117087709
1680.779365,0.9999892700575662
1680.899894,0.9999831101426353
1681.020423,0.9999898170518465
1681.140952,0.9999866550890442
1681.261482,0.9999845371195516
1681.382011,0.9999786972269072
1681.50254,0.9999838281307661
1681.623069,0.9999797912042004
1681.743598,0.9999966752055272
1681.864128,0.9999733943539365
1681.984657,0.9999785022310803
1682.105186,0.9999909801406792
1682.225715,0.9999872260815872
1682.346244,0.999994164417027
1682.466773,0.9999824701536496
1682.587303,0.9999834941362232
1682.707832,0.9999936453201911
1682.828361,0.9999910728398473
1682.94889,0.9999907298429682
1683.069419,0.9999096190846011
1683.189948,0.9998768475838814
1683.310478,0.9999165714803525
1683.431007,0.9999951007120016
1683.551536,0.9999900855491485
1683.672065,0.9999861970952609
1683.792594,0.9999663545660203
1683.913123,0.9999310313784447
1684.033653,0.9999039646116932
1684.154182,0.9999827531487286
1684.274711,0.9999898540514705
1684.39524,0.9999854231062439
1684.515769,0.99999487361314
1684.636298,0.9999471143984927
1684.756828,0.9998091482145196
1684.877357,0.9997582192336817
1684.997886,0.9999096660803543
1685.118415,0.9999902060479611
1685.238944,0.9999876290765205
1685.359473,0.9999868640862769
1685.480003,0.9999926997266472
1685.600532,0.999987406079304
1685.721061,0.9999904285458067
1685.84159,0.9999818771642206
1685.962119,0.9999851491102756
1686.082648,0.9999915177359746
1686.203178,0.9999908781416044
1686.323707,0.9999747763181224
1686.444236,0.9999788042246336
1686.564765,0.9999855661041697
1686.685294,0.9999936406202209
1686.805823,0.9999853481073401
1686.926353,0.9999895900541839
1687.046882,0.9999938028192026
1687.167411,0.9999917819337685
1687.28794,0.9999970743042799
1687.408469,0.9999962539070166
1687.528998,0.9999901457485535
1687.649528,0.9999745443240012
1687.770057,0.9999909383410571
1687.890586,0.9999884260669785
1688.011115,0.9999800371992593
1688.131644,0.9999762452821478
1688.252174,0.9999721663873622
1688.372703,0.9999403017820095
1688.493232,0.9999639296505507
1688.613761,0.9999753923027743
1688.73429,0.9999806671868813
1688.854819,0.9999920183318537
1688.975349,0.9999827621485735
1689.095878,0.9999790962184871
1689.216407,0.9999692884716086
1689.336936,0.9999848761143671
1689.457465,0.99998496811298
1689.577994,0.9999777102484202
1689.698524,0.9999896450536129
1689.819053,0.9999775982509229
1689.939582,0.9999606067759335
1690.060111,0.9999403477792644
1690.18064,0.9999208351337034
1690.301169,0.9999610847572177
1690.421699,0.9999941597170545
1690.542228,0.9999779282435848
1690.662757,0.9999730003644968
1690.783286,0.999971179415321
1690.903815,0.9999833461386771
1691.024344,0.9999831701416236
1691.144874,0.9999820711607236
1691.265403,0.999983643133775
1691.385932,0.9999789892207295
1691.506461,0.9999938816187174
1691.62699,0.9999752533062045
1691.747519,0.9999823821551961
1691.868049,0.999988653064377
1691.988578,0.9999827761483322
1692.109107,0.9999801711965933
1692.229636,0.9999901272487359
1692.350165,0.9999781962377055
1692.470694,0.9999705534335587
1692.591224,0.9999759162900173
1692.711753,0.9999598048078484
1692.832282,0.999976810268886
1692.952811,0.9999833141392105
1693.07334,0.9999664375632312
1693.193869,0.9999631936773693
1693.314399,0.9999633696709069
1693.434928,0.9999748823154543
1693.555457,0.9999666695554716
1693.675986,0.9999870630836826
1693.796515,0.9999773062575069
1693.917045,0.999959512819628
1694.037574,0.9999659505796946
1694.158103,0.9999721893867223
1694.278632,0.9999684394980431
1694.399161,0.9999714804066914
1694.51969,0.9999548780180273
1694.64022,0.999968537494955
1694.760749,0.9999721663873622
1694.881278,0.999971007420293
1695.001807,0.9999630166838996
1695.122336,0.9999681105084807
1695.242865,0.9999434066014669
1695.363395,0.9999073022966977
1695.483924,0.9998720281890908
1695.604453,0.999908646173015
1695.724982,0.9999115199145937
1695.845511,0.9997773547891244
1695.96604,0.9997506111025822
1696.08657,0.9998931157125325
1696.207099,0.9999609867610362
1696.327628,0.9999440095675228
1696.448157,0.9999362690309045
1696.568686,0.9999685604942317
1696.689215,0.9999647686206397
1696.809745,0.9999626136988852
1696.930274,0.9999589148440181
1697.050803,0.9999552260023854
1697.171332,0.9999554199937181
1697.291861,0.9999749843128976
1697.41239,0.9999502662367646
1697.53292,0.9999359910486604
1697.653449,0.9999206031520965
1697.773978,0.9999460954529024
1697.894507,0.9999485513235286
1698.015036,0.9999721483878633
1698.135565,0.9999690654784822
1698.256095,0.9999496172692525
1698.376624,0.9999452604982612
1698.497153,0.9999617517314837
1698.617682,0.9999638746525361
1698.738211,0.9999789612213182
1698.85874,0.999951749164109
1698.97927,0.9999455854805237
1699.099799,0.9999689404823568
1699.220328,0.9999639536496853
1699.340857,0.9999676935218655
1699.461386,0.9999565509439375
1699.581915,0.9999249138191084
1699.702445,0.9999140686923064
1699.822974,0.9998076584999985
1699.943503,0.9997682268635443
1700.064032,0.9998563203229136
1700.184561,0.9999279265974125
1700.305091,0.9999020647959652
1700.42562,0.9998328239754691
1700.546149,0.999813407410563
1700.666678,0.9998235555681501
1700.787207,0.9998266650242431
1700.907736,0.9998610496544936
1701.028266,0.9998920958220746
1701.148795,0.9999187962971992
1701.269324,0.999941691699995
