nu,[0]Diacetonealcohol-HITRAN(x-sec)-X=0.01-T=298.1K-P=1.0atm-L=15cm
575.210704,0.9044122443731202
575.340307,0.9072284375447462
575.469909,0.9074235126286384
575.599512,0.9099969783238464
575.729115,0.9106014169688756
575.858717,0.9088383803570743
575.98832,0.9101262070697922
576.117922,0.9088038451547937
576.247525,0.9117075583810609
576.377128,0.9134935170633873
576.50673,0.9132770447528253
576.636333,0.9168907062811089
576.765935,0.9128378641257074
576.895538,0.9131501080659088
577.025141,0.9114459358564336
577.154743,0.9130569715049315
577.284346,0.9147989176399361
577.413948,0.9171309631184259
577.543551,0.916747682487075
577.673153,0.9145464679783234
577.802756,0.9146022570144183
577.932359,0.9170374205309408
578.061961,0.917521744139162
578.191564,0.9207884178586093
578.321166,0.9188319823006371
578.450769,0.9199628409743783
578.580372,0.9163801403635186
578.709974,0.9172327703055264
578.839577,0.9178053021655599
578.969179,0.9185958728225534
579.098782,0.9209827247134298
579.228385,0.9241295606650444
579.357987,0.9203474658228986
579.48759,0.921810138653479
579.617192,0.9217363967921005
579.746795,0.9236371308534125
579.876398,0.9244465914720277
580.006,0.9262287913147325
580.135603,0.9255149441400763
580.265205,0.92373411784388
580.394808,0.9223477106513251
580.52441,0.9248062711492719
580.654013,0.9272426400865914
580.783616,0.9279615316671639
580.913218,0.9300676067936319
581.042821,0.9284033464998256
581.172423,0.9256223101007018
581.302026,0.9278121418867655
581.431629,0.928039483709764
581.561231,0.9308296441753083
581.690834,0.931912828801254
581.820436,0.9328825222964231
581.950039,0.9287004831100276
582.079642,0.9297244751584052
582.209244,0.9314441945197695
582.338847,0.9363349630659925
582.468449,0.9329655525356984
582.598052,0.933846687847725
582.727655,0.9342212354613295
582.857257,0.9332902810474646
582.98686,0.9326260148741786
583.116462,0.9342006828202293
583.246065,0.9356928575487027
583.375668,0.935851938856014
583.50527,0.936557837308185
583.634873,0.9356217475937415
583.764475,0.9360522326015955
583.894078,0.9365878076385016
584.02368,0.9376261220493236
584.153283,0.9386177168258476
584.282886,0.9394722477007375
584.412488,0.9395502271333983
584.542091,0.9383436804637904
584.671693,0.9379562245389147
584.801296,0.9387697852131801
584.930899,0.9417381645464766
585.060501,0.9434697275083891
585.190104,0.9420216703994955
585.319706,0.9405664300876683
585.449309,0.9418059721353679
585.578912,0.9394290329712895
585.708514,0.9411939971668912
585.838117,0.9427557911836576
585.967719,0.9442134746515547
586.097322,0.9418502380562992
586.226925,0.9427765320392122
586.356527,0.9423693405370683
586.48613,0.9423099731387072
586.615732,0.9433838756695038
586.745335,0.9458616197161023
586.874937,0.9461369054995785
587.00454,0.9455268439615274
587.134143,0.9451165743461943
587.263745,0.9446318538849834
587.393348,0.9435857814220421
587.52295,0.946179482618304
587.652553,0.9496687874193721
587.782156,0.946878967683857
587.911758,0.9462116532676109
588.041361,0.9478727648764537
588.170963,0.9475941312447308
588.300566,0.9454578230212132
588.430169,0.9523611089395204
588.559771,0.9510344424550339
588.689374,0.9493374108411391
588.818976,0.9485820389400108
588.948579,0.9500734325060968
589.078182,0.9474008417581549
589.207784,0.9491731896746041
589.337387,0.9529650973266753
589.466989,0.9512436930490954
589.596592,0.948941619669013
589.726195,0.9487414141096921
589.855797,0.9496877809850555
589.9854,0.9468202630077244
590.115002,0.9513388221747773
590.244605,0.9506227336828326
590.374207,0.9505752037344071
590.50381,0.9488040331094276
590.633413,0.9487831596503081
590.763015,0.9508185821376696
590.892618,0.9491001061527509
591.02222,0.9538107523605671
591.151823,0.9531795385973122
591.281426,0.9508223854196046
591.411028,0.9487395166287614
591.540631,0.9511599872872146
591.670233,0.9507815009360543
591.799836,0.9518222250703818
591.929439,0.9524353960031755
592.059041,0.9537573404539822
592.188644,0.9499584805754956
592.318246,0.9496706867588462
592.447849,0.9499366317817044
592.577452,0.9507719931685839
592.707054,0.9525068313366672
592.836657,0.9520973414458286
592.966259,0.9505096163081417
593.095862,0.9489311813686074
593.225465,0.948287075795047
593.355067,0.9499565806604343
593.48467,0.9500335302598846
593.614272,0.9509555098720577
593.743875,0.9523868230366005
593.873477,0.9492282433161454
594.00308,0.9480974373443651
594.132683,0.9474520027849451
594.262285,0.949851141331972
594.391888,0.9504620920154434
594.52149,0.9508490088191223
594.651093,0.9499138335761212
594.780696,0.9477182742071104
594.910298,0.9467767102773466
595.039901,0.9473184214702564
595.169503,0.94870251650912
595.299106,0.9489957108829191
595.428709,0.949972730059575
595.558311,0.9480547739196189
595.687914,0.9455608835406187
595.817516,0.9443456737917298
595.947119,0.9467038112773026
596.076722,0.9472445335150494
596.206324,0.9451846251893482
596.335927,0.9463772547966439
596.465529,0.9450334077470359
596.595132,0.9435291679735771
596.724734,0.9415300634081346
596.854337,0.9433914227706975
596.98394,0.9447074274561967
597.113542,0.9436103149712938
597.243145,0.9434650101715449
597.372747,0.942625699860982
597.50235,0.9407084663420788
597.631953,0.9413671927958792
597.761555,0.9432914285796695
597.891158,0.9446205183707499
