nu,[0]2-Pentylfuran-PNNL(x-sec)-X=0.01-T=298.15K-P=1.0atm-L=15cm
623.036461,0.9902758879293158
623.171463,0.986804829733639
623.306466,0.9876015026455179
623.441469,0.9888031565302274
623.576472,0.9860354220744428
623.711474,0.9868373948303414
623.846477,0.9865285630604528
623.98148,0.9855582964038851
624.116482,0.9893768287098651
624.251485,0.9907428140287207
624.386488,0.9877229851013613
624.52149,0.9888417206053267
624.656493,0.9861340305469917
624.791496,0.9880657844494386
624.926499,0.9861517811192962
625.061501,0.9919596975424019
625.196504,0.9892383256492862
625.331507,0.9880885102238264
625.466509,0.9881576788404154
625.601512,0.9868719347436054
625.736515,0.9872786097500185
625.871517,0.9861606565252656
626.00652,0.9900749813343183
626.141523,0.9900981493599463
626.276526,0.9870239247244841
626.411528,0.9859447109883859
626.546531,0.9915640837294731
626.681534,0.9886410061092544
626.816536,0.9906522642737053
626.951539,0.989224476409672
627.086542,0.9895440475235089
627.221544,0.9914031659375159
627.356547,0.9910437483158997
627.49155,0.9876558222219382
627.626553,0.9904774295786767
627.761555,0.9896281623423775
627.896558,0.9896786346656903
628.031561,0.9879788384860856
628.166563,0.9887814031000723
628.301566,0.9915068721324124
628.436569,0.9905142760243967
628.571571,0.9929240532368392
628.706574,0.9898746104363151
628.841577,0.9869429920809404
628.97658,0.9874385618405676
629.111582,0.9924484572610467
629.246585,0.9918482075382538
629.381588,0.990236178662386
629.51659,0.9893837543719058
629.651593,0.9915784615129258
629.786596,0.9880549157855875
629.921598,0.9906464194425884
630.056601,0.9924386320699545
630.191604,0.9920195145156273
630.326607,0.9921447152783611
630.461609,0.9895005085432824
630.596612,0.9910004406503777
630.731615,0.9894154151586156
