nu,[0]Chloromethanol-HITRAN(x-sec)-X=0.01-T=295.0K-P=0.9211atm-L=15cm
1110.796855,0.6656774733431055
1111.278971,0.6889545329905283
1111.761088,0.705731800246776
1112.243205,0.7117489699732202
1112.725321,0.7144444723697145
1113.207438,0.7282287959572925
1113.689554,0.7437874280201796
1114.171671,0.755277535946732
1114.653788,0.75769829521087
1115.135904,0.7608797114804511
1115.618021,0.7723403177435161
1116.100138,0.7867301293357856
1116.582254,0.7933506289697465
1117.064371,0.7964985261832785
1117.546488,0.8063882118608442
1118.028604,0.8170132225347809
1118.510721,0.8248283292977385
1118.992837,0.8294603254260214
1119.474954,0.8367917874101939
1119.957071,0.8470970584881647
1120.439187,0.8551400690608436
1120.921304,0.8609834470504633
1121.403421,0.8646244743612376
1121.885537,0.8743714444158452
1122.367654,0.8834946877269487
1122.849771,0.8903238553761499
1123.331887,0.8927399052932143
1123.814004,0.8996405358969646
1124.29612,0.9074679774701369
1124.778237,0.9121270403313678
1125.260354,0.9150788889421586
1125.74247,0.9193034640322816
1126.224587,0.9243412105674256
1126.706704,0.929151012088782
1127.18882,0.9333761477031266
1127.670937,0.9364604403578342
1128.153054,0.938942534746129
1128.63517,0.9421422568906774
1129.117287,0.9447045933381655
1129.599403,0.9471100343409576
1130.08152,0.9489017649579418
1130.563637,0.9528240689286299
1131.045753,0.9551852292298025
1131.52787,0.9571233533146092
1132.009987,0.9582428847532675
1132.492103,0.9603197279703215
1132.97422,0.9620383156034241
1133.456337,0.9643220147051603
1133.938453,0.9660477648283028
1134.42057,0.9662699813681357
1134.902686,0.9678917756212865
1135.384803,0.9710007871810977
1135.86692,0.9724301804000053
1136.349036,0.9732230340410039
1136.831153,0.9736445308622199
1137.31327,0.9753489252050721
1137.795386,0.9760260522950873
1138.277503,0.9776720425505501
1138.75962,0.9782196922219745
1139.241736,0.9778627071880454
1139.723853,0.9790877580192425
1140.205969,0.9815571890242579
1140.688086,0.9822897038813404
1141.170203,0.9838872222823112
1141.652319,0.9838911578390713
1142.134436,0.9838468837331434
1142.616553,0.9847908454519424
1143.098669,0.986216869284736
1143.580786,0.9853602190937446
1144.062903,0.9847839519401516
1144.545019,0.9861833384812072
1145.027136,0.9885283074585031
1145.509252,0.9886637451138924
1145.991369,0.9870515617812933
1146.473486,0.9862237728269833
1146.955602,0.9876726125136329
1147.437719,0.9899835026324241
1147.919836,0.9909059037178231
1148.401952,0.9882831828349631
1148.884069,0.9864575355609331
1149.366186,0.9876795262461187
1149.848302,0.9900888424810848
1150.330419,0.9889732453003656
1150.812535,0.9863224001355493
1151.294652,0.9841174788312907
1151.776769,0.9849533493476447
1152.258885,0.9871966690259963
1152.741002,0.9863796084937835
1153.223119,0.98191159513595
1153.705235,0.9804643431438584
1154.187352,0.9821404071931862
1154.669469,0.9832823176678424
1155.151585,0.9801006583402546
1155.633702,0.9753391717645874
1156.115818,0.9732658567965954
1156.597935,0.975027113161662
1157.080052,0.9751548500800717
1157.562168,0.9707803950178645
1158.044285,0.9652511040900595
1158.526402,0.9638582873514564
1159.008518,0.9650513177901083
1159.490635,0.9640568626112004
1159.972752,0.9578481700015714
1160.454868,0.9527583263360193
1160.936985,0.9520383132405522
1161.419101,0.9529222148621583
1161.901218,0.9509593137017047
1162.383335,0.9447367138403845
1162.865451,0.9393942747401008
1163.347568,0.9400398603401096
1163.829685,0.941463217146703
1164.311801,0.9390711786852979
1164.793918,0.9330233981931524
1165.276035,0.9299178779624325
1165.758151,0.9318373469191786
1166.240268,0.9336001848619591
1166.722384,0.9301410850369211
1167.204501,0.9254214718511481
1167.686618,0.9262806615793999
1168.168734,0.930428543042172
1168.650851,0.931293312782008
1169.132968,0.9287998593782559
1169.615084,0.9284804071755589
1170.097201,0.933407883031646
1170.579317,0.9366215254064928
1171.061434,0.9369756352656434
1171.543551,0.9381034952266137
1172.025667,0.9421102245984951
1172.507784,0.9451591055489849
1172.989901,0.9482178533651634
1173.472017,0.951351189659854
1173.954134,0.9519402583442023
1174.436251,0.9506322399577007
1174.918367,0.9522677821239329
1175.400484,0.9504364298853993
1175.8826,0.9397813849205152
1176.364717,0.9215493032941843
1176.846834,0.9096230464140265
1177.32895,0.9232926784479715
1177.811067,0.9555463574953936
1178.293184,0.9739016069509182
1178.7753,0.975673770480902
1179.257417,0.973550091923089
1179.739534,0.9690306858974023
1180.22165,0.9623683513435698
1180.703767,0.95906636902713
