nu,[0]Glycoaldehyde-HITRAN(x-sec)-X=0.01-T=298.1K-P=0.0atm-L=15cm
622.303646,0.9999976549027497
622.422248,0.9999976445027742
622.540851,0.9999992245103007
622.659453,0.9999997291500367
622.778056,0.9999986860008633
622.896658,0.9999997968900206
623.01526,0.9999983275013986
623.133863,0.9999988648006444
623.252465,0.9999978985022081
623.371067,0.9999984403012163
623.48967,0.9999990185004817
623.608272,0.9999983043014377
623.726875,0.9999990678104345
623.845477,0.9999991472003636
623.964079,0.999998734300801
624.082682,0.9999992068203145
624.201284,0.9999973533035025
624.319886,0.9999984496012019
624.438489,0.9999991987003211
624.557091,0.999997806802405
624.675694,0.9999996856600494
624.794296,0.999999229390297
624.912898,0.9999986009009787
625.031501,0.999999183830333
625.150103,0.9999997614600284
625.268705,0.9999986683008867
625.387308,0.9999986932008539
625.50591,0.9999989237005792
625.624512,0.9999993265602267
625.743115,0.9999986773008748
625.861717,0.9999999092900042
625.98032,0.9999992542102781
626.098922,0.9999990611904407
626.217524,0.9999985535010462
626.336127,0.9999999802420002
626.454729,0.999998823500692
626.573331,0.9999996235900709
626.691934,0.9999994964901268
626.810536,0.9999994600201458
626.929139,0.9999984727011664
627.047741,0.9999987604007683
627.166343,0.999999620700072
627.284946,0.9999998986700052
627.403548,0.9999996369100659
627.52215,0.9999993994701804
627.640753,0.9999987204008187
627.759355,0.9999989139005898
627.877958,0.9999999034170046
627.99656,1.0
628.115162,0.9999993197302314
628.233765,0.9999993578902061
628.352367,0.9999999785010002
628.470969,0.9999993357102206
628.589572,0.9999990552004463
628.708174,0.999999539600106
628.826777,0.9999994943901278
628.945379,0.9999992454402847
629.063981,0.9999997292300367
629.182584,0.9999998646800091
629.301186,0.9999998371200133
629.419788,0.9999995801100882
629.538391,0.9999987417007916
629.656993,0.9999990132404869
629.775596,0.9999987709007554
629.894198,1.0
630.0128,1.0
630.131403,0.9999993942201835
630.250005,0.9999999758500003
630.368607,0.9999999945329
630.48721,0.9999998565500103
630.605812,1.0
630.724414,0.9999998347100136
630.843017,0.9999996634800566
630.961619,0.9999995031901234
631.080222,0.9999994149401712
631.198824,0.999999595050082
631.317426,0.9999993918501849
631.436029,0.9999999756130002
631.554631,1.0
631.673233,0.9999999919951
631.791836,0.9999997260800375
631.910438,0.9999997644900277
632.029041,1.0
632.147643,0.9999994857401322
632.266245,0.9999993888001868
632.384848,0.9999996984300454
632.50345,0.9999997297600365
632.622052,0.9999995261201123
632.740655,0.9999999054360045
632.859257,0.9999995729400912
632.97786,1.0
633.096462,0.9999998060000188
633.215064,0.9999998928800058
633.333667,0.9999999131050038
633.452269,0.9999989123005916
633.570871,0.9999993031702428
633.689474,0.9999988168007
633.808076,0.999998604300974
633.926679,0.9999999583740009
634.045281,0.9999994628801443
634.163883,0.9999991626603506
634.282486,0.9999989302005723
634.401088,0.9999998813400071
634.51969,1.0
634.638293,0.9999989769005234
634.756895,1.0
634.875498,0.9999996580800584
634.9941,0.9999994261901646
635.112702,0.9999997742200255
635.231305,0.9999997742800255
635.349907,1.0
635.468509,0.9999993973701816
635.587112,0.9999999803290002
635.705714,0.999999820930016
635.824316,1.0
635.942919,0.9999998182700165
636.061521,1.0
636.180124,0.999999881210007
636.298726,1.0
636.417328,0.9999995051801224
636.535931,1.0
636.654533,0.9999998788900073
636.773135,0.9999998726200081
636.891738,1.0
637.01034,0.9999999918334
637.128943,1.0
637.247545,0.9999996862000492
637.366147,1.0
637.48475,1.0
637.603352,1.0
637.721954,1.0
637.840557,1.0
637.959159,1.0
638.077762,1.0
638.196364,1.0
638.314966,1.0
638.433569,1.0
638.552171,0.9999999957215
638.670773,1.0
638.789376,1.0
638.907978,1.0
639.026581,1.0
639.145183,1.0
639.263785,0.9999998604800098
639.382388,1.0
639.50099,1.0
639.619592,1.0
639.738195,1.0
639.856797,1.0
639.9754,1.0
640.094002,1.0
640.212604,1.0
640.331207,1.0
640.449809,1.0
640.568411,1.0
640.687014,1.0
640.805616,1.0
640.924218,1.0
641.042821,1.0
641.161423,1.0
641.280026,1.0
641.398628,0.9999999972275
641.51723,1.0
641.635833,1.0
641.754435,1.0
641.873037,1.0
641.99164,1.0
642.110242,1.0
642.228845,1.0
642.347447,1.0
642.466049,1.0
642.584652,1.0
642.703254,1.0
642.821856,1.0
642.940459,1.0
643.059061,1.0
643.177664,1.0
643.296266,1.0
643.414868,1.0
643.533471,0.9999996772200521
643.652073,1.0
643.770675,1.0
643.889278,1.0
644.00788,1.0
644.126483,1.0
644.245085,1.0
644.363687,1.0
644.48229,1.0
644.600892,1.0
644.719494,1.0
644.838097,1.0
644.956699,1.0
645.075302,1.0
645.193904,1.0
645.312506,1.0
645.431109,0.9999998527100108
645.549711,1.0
645.668313,1.0
645.786916,1.0
645.905518,1.0
646.02412,1.0
646.142723,0.9999997739500256
646.261325,1.0
646.379928,1.0
646.49853,0.9999999807550002
646.617132,1.0
646.735735,1.0
646.854337,1.0
646.972939,1.0
647.091542,1.0
647.210144,1.0
647.328747,1.0
647.447349,0.9999999586680008
647.565951,1.0
647.684554,1.0
647.803156,1.0
647.921758,1.0
648.040361,1.0
648.158963,1.0
648.277566,1.0
648.396168,1.0
648.51477,1.0
648.633373,1.0
648.751975,1.0
648.870577,1.0
648.98918,1.0
649.107782,0.9999993961001824
649.226385,1.0
649.344987,1.0
649.463589,1.0
649.582192,0.9999990617404402
649.700794,1.0
649.819396,1.0
649.937999,1.0
650.056601,1.0
650.175204,1.0
650.293806,1.0
650.412408,0.9999997885200224
650.531011,1.0
650.649613,0.9999996176400731
650.768215,1.0
650.886818,1.0
651.00542,1.0
651.124022,0.9999995895700843
651.242625,1.0
651.361227,1.0
651.47983,1.0
651.598432,1.0
651.717034,1.0
651.835637,1.0
651.954239,1.0
