nu,[0]Dimethylsulfate-PNNL(x-sec)-X=0.01-T=298.15K-P=1.0atm-L=15cm
576.548462,0.6842855347513984
576.668064,0.6865680037838875
576.787666,0.6898507563023506
576.907268,0.6918680643471344
577.02687,0.6891267931553994
577.146472,0.6950023862291512
577.266074,0.6952109182232551
577.385676,0.6974670545655051
577.505278,0.702780970309548
577.62488,0.7025139642751899
577.744482,0.7044133149482862
577.864084,0.7068830811201868
577.983686,0.7097375678646061
578.103288,0.7100215196783287
578.22289,0.713038402193005
578.342492,0.7190962958346099
578.462094,0.7223034048762953
578.581696,0.7233008716688134
578.701298,0.7261127305295084
578.8209,0.7287460219959381
578.940502,0.7307236021263284
579.060104,0.729949445483582
579.179706,0.7373519180601275
579.299308,0.7354814207255114
579.41891,0.7422790710416142
579.538512,0.7456417664091539
579.658114,0.7458282001540033
579.777716,0.7515481499889779
579.897318,0.7521947594001626
580.01692,0.7561314819509772
580.136522,0.7564566884025923
580.256124,0.7617856972917566
580.375726,0.7641356142538495
580.495328,0.7659564229186024
580.61493,0.7688110871954165
580.734532,0.7697727019384147
580.854134,0.7706353303463208
580.973736,0.7765144712943174
581.093338,0.7767474605823514
581.21294,0.7770271400074371
581.332542,0.7822585237812674
581.452144,0.7810938264957897
581.571746,0.7856059092597661
581.691348,0.7855587743192729
581.81095,0.7889123928336329
581.930552,0.7879899050945777
582.050154,0.7933902974928998
582.169756,0.7904759868186625
582.289358,0.7943349939298143
582.40896,0.7960526118762751
582.528562,0.7950025156445852
582.648164,0.7970482998164361
582.767766,0.7959889302146254
582.887368,0.8000828453406658
583.00697,0.8012758573534557
583.126572,0.8014361285515119
583.246174,0.7978297900179097
583.365776,0.8010915850983861
583.485378,0.8025348484989425
583.60498,0.8006190804657513
583.724582,0.7993870759687818
583.844184,0.8010915850983861
583.963786,0.8014762013597514
584.083388,0.8004109465634099
584.20299,0.8030727270166191
584.322592,0.7997228890565007
584.442194,0.8015563529874019
584.561796,0.7967853172720031
584.681398,0.7994830081737152
584.801,0.7983086315300089
584.920602,0.7962914634857879
585.040204,0.7955830793609804
585.159806,0.7943588243370865
585.279408,0.7948594280700373
585.39901,0.7917100917096381
585.518612,0.7915280193276715
585.638214,0.7891017545304077
585.757816,0.7869661837809826
585.877418,0.7883130471952704
585.99702,0.7867143948905438
586.116622,0.7850090755942493
586.236224,0.784899182016396
586.355826,0.7805082257536462
586.475428,0.7802975169796572
586.59503,0.7774546224813453
586.714632,0.7754591294085028
586.834234,0.7730589283411515
586.953836,0.7711132723978614
587.073438,0.7712829359800987
587.19304,0.7679197833904214
587.312642,0.7667074281455184
587.432244,0.764066845143223
587.551846,0.7632573633884957
587.671448,0.7595341455682565
587.79105,0.7579483769095002
587.910652,0.7542284294696825
588.030254,0.7539569561032112
588.149856,0.7494842317647648
588.269458,0.7499565555971617
588.38906,0.7465072127200034
588.508662,0.7463056829803082
588.628264,0.7437502395784974
588.747866,0.7419747990025175
588.867468,0.7398039946228676
588.98707,0.7377870840531275
589.106672,0.7376542943294315
589.226274,0.733586324385528
589.345876,0.7327358576153331
589.465478,0.7319449300668629
589.58508,0.7311256106497078
589.704682,0.7284545818790489
589.824284,0.7283526053761076
589.943886,0.7238507892735021
590.063488,0.724111422468801
590.18309,0.7234093749371054
590.302692,0.7233732053726052
590.422294,0.7195854476085319
590.541896,0.7191178690470814
590.661498,0.7192545144231001
590.7811,0.7183991106171459
590.900702,0.7180543617903873
591.020304,0.719398379712034
591.139906,0.71963582035289
591.259508,0.7161039077463371
591.37911,0.7147803401944843
591.498712,0.7151735775119408
591.618314,0.7116208666882666
591.737916,0.7134806230766728
591.857518,0.7140373550599197
591.97712,0.7123542137898788
592.096722,0.713630469740868
592.216324,0.7120978124279288
592.335926,0.7099789196651611
592.455528,0.7124468258573255
592.57513,0.7099718199114633
592.694732,0.7109451478821653
592.814334,0.7109451478821653
592.933936,0.7119198102260241
593.053538,0.7120693290851023
593.17314,0.7123043507401406
593.292742,0.7131738923605799
593.412344,0.7131952878982822
593.531946,0.7128245227558667
593.651548,0.7099505210763501
593.77115,0.7103908268801121
593.890752,0.7124753243003249
594.010354,0.7094324463162587
594.129956,0.7112793706378651
594.249558,0.7089785548113906
594.36916,0.7094750135400416
594.488762,0.7077884707897933
594.608364,0.7111229063880233
594.727966,0.7098440364847327
594.847568,0.7103766192056518
594.96717,0.7079725197175225
595.086772,0.7085674664767413
595.206374,0.7065650552948601
595.325976,0.705809435014637
595.445578,0.7030832311081955
595.56518,0.698576909282946
595.684782,0.6969650590262982
595.804384,0.6956351262536665
595.923986,0.6899818403986429
596.043588,0.6896645217409462
596.16319,0.6856623318938438
596.282792,0.6847304649356315
596.402394,0.6815061525045141
596.521996,0.6774835547192557
596.641598,0.6729730464438339
596.7612,0.6673971386386637
596.880802,0.6611662221617302
597.000404,0.6533449728484613
597.120006,0.6466953247183858
597.239608,0.63518435461274
597.35921,0.6247023391826677
597.478812,0.6126631528708167
597.598414,0.6017398920803266
597.718016,0.5874230619045332
597.837618,0.574118188814412
597.95722,0.5634988422917387
598.076822,0.5534687429849117
598.196424,0.5474905925479089
598.316026,0.5430249563366538
598.435628,0.5478191854714569
598.55523,0.5517666817763153
598.674832,0.5664253393785226
598.794434,0.5838039818577465
598.914036,0.6032219944533389
599.033638,0.6204005259007419
599.15324,0.6334843395800372
599.272842,0.651075283892302
599.392444,0.6639356811071387
599.512046,0.6760758534422909
599.631648,0.6835469053055625
599.75125,0.6938982104873838
599.870852,0.7018258378272327
599.990454,0.7092338330384466
600.110056,0.7148518218025246
600.229658,0.7188230911543695
600.34926,0.7215237382947665
600.468862,0.7258441185154995
600.588464,0.730730909398886
600.708066,0.7314034911757108
600.827668,0.7342982483474827
600.94727,0.7373519180601275
601.066872,0.7380527352177272
601.186474,0.7381413068601456
601.306076,0.7394341850856448
601.425678,0.7408923062080006
601.54528,0.7403590557407355
601.664882,0.7404404997162035
601.784484,0.7381191629531001
601.904086,0.7386508001168385
602.023688,0.738082257917586
602.14329,0.7371897184807622
602.262892,0.7364602618001016
602.382494,0.7350696664318678
602.502096,0.7335496459862763
602.621698,0.7326113031069716
602.7413,0.7303437246299316
602.860902,0.7295334928574166
602.980504,0.7285347162903674
603.100106,0.7280103600855243
603.219708,0.7256046294742545
603.33931,0.7237205078571122
603.458912,0.7241259048420735
603.578514,0.7224045344318817
603.698116,0.7205935727581281
603.817718,0.7186937146421971
603.93732,0.7181764414083651
604.056922,0.7176380110139458
604.176524,0.7175303733853176
604.296126,0.7151807292834746
604.415728,0.7131025785370946
604.53533,0.7159607012859113
604.654932,0.7130170113618033
604.774534,0.7136233334718519
604.894136,0.7133593416799605
605.013738,0.7134235469099037
605.13334,0.7139945141038577
605.252942,0.7131382345574144
605.372544,0.7135234331983482
605.492146,0.7144801954864034
605.611748,0.7146445448308154
605.73135,0.7172936274273319
