nu,[0]Ethylbenzoate-HITRAN(x-sec)-X=0.01-T=323.1K-P=1.0atm-L=15cm
658.00697,0.9856095467677961
658.126572,0.9821089792030065
658.246174,0.9843891327419634
658.365776,0.9821796935951967
658.485378,0.9822238926758804
658.60498,0.9812068356495747
658.724582,0.9825520102486185
658.844184,0.982410532945753
658.963786,0.9829745984629801
659.083388,0.9816926532631608
659.20299,0.982540219695239
659.322592,0.9813157556532802
659.442194,0.9797949146333509
659.561796,0.9802202379147779
659.681398,0.979375652138462
659.801,0.9802996389697483
659.920602,0.9789487374282994
660.040204,0.9816376800138434
660.159806,0.9781883896926664
660.279408,0.97819523703536
660.39901,0.9772751882681452
660.518612,0.9781874115047658
660.638214,0.9783175190824581
660.757816,0.9774276550896178
660.877418,0.9736347944655934
660.99702,0.9780651457200985
661.116622,0.9751119442106042
661.236224,0.9765542252472803
661.355826,0.977094409080906
661.475428,0.9749374147934394
661.59503,0.9734001767526972
661.714632,0.9715738466814636
661.834234,0.9724710233252775
661.953836,0.9718439817578769
662.073438,0.9683952102262627
662.19304,0.9710794414303134
662.312642,0.9711755830539469
662.432244,0.9707823365805961
662.551846,0.9686848036861851
662.671448,0.9685385433237639
662.79105,0.9695676776303652
662.910652,0.9663405216514647
663.030254,0.9678946793009688
663.149856,0.9657705489021853
663.269458,0.9666758999972555
663.38906,0.9647907891072599
663.508662,0.9655996226424498
663.628264,0.9643162287904299
663.747866,0.9620998880259193
663.867468,0.9618093777289982
663.98707,0.9622663457047218
664.106672,0.9599299172976867
664.226274,0.958437427804324
664.345876,0.9589503290170399
664.465478,0.9583789649043645
664.58508,0.9570305168519788
664.704682,0.9544032527901253
664.824284,0.9522211221457877
664.943886,0.9540625916405125
665.063488,0.9519954724803807
665.18309,0.949578573169812
665.302692,0.9486569798812153
665.422294,0.9471564438696646
665.541896,0.9484160516075115
665.661498,0.9446535806674797
665.7811,0.9440019945198918
665.900702,0.9418935641637426
666.020304,0.9391294029033085
666.139906,0.9368013740042838
666.259508,0.9360410000421998
666.37911,0.9340063892854308
666.498712,0.9321784618083678
666.618314,0.9278232756992709
666.737916,0.92643628980295
666.857518,0.9244031435032638
666.97712,0.9212001022860068
667.096722,0.9180265198990479
667.216324,0.9193374788897217
667.335926,0.911756791918507
667.455528,0.9108391149569427
667.57513,0.9079526947781089
667.694732,0.9057762211237339
667.814334,0.8985975579195036
667.933936,0.8958162187929879
668.053538,0.8931953187654783
668.17314,0.8880475412316627
668.292742,0.8861402900477264
668.412344,0.8802317974517813
668.531946,0.8763409950793732
668.651548,0.8721969678660518
668.77115,0.870019198791984
668.890752,0.8647887686188265
669.010354,0.8600368859627509
669.129956,0.8537131769320612
669.249558,0.8485892620650641
669.36916,0.8485892620650641
669.488762,0.8433695855790168
669.608364,0.8399944452199798
669.727966,0.831644677245456
669.847568,0.829900055916784
669.96717,0.8263143573144619
670.086772,0.8187225658113875
670.206374,0.8137435595680392
670.325976,0.8108436744352382
670.445578,0.808317784608132
670.56518,0.8019652509875527
670.684782,0.79845234001706
670.804384,0.7943826554592817
670.923986,0.7894806142916508
671.043588,0.7846402080193903
671.16319,0.7839970667727628
671.282792,0.780164877676431
671.402394,0.7749552447546407
671.521996,0.7705043334752115
671.641598,0.768465200036626
671.7612,0.7639980822215381
671.880802,0.7632420983938784
672.000404,0.7617476089591083
672.120006,0.7579407974636284
672.239608,0.7556099311841381
672.35921,0.7549301881763085
672.478812,0.7537609527761611
672.598414,0.7543038560838973
672.718016,0.7529247423012511
672.837618,0.7518713851840596
672.95722,0.7530075685782659
673.076822,0.7549679356293958
673.196424,0.755149149678763
673.316026,0.7549679356293958
673.435628,0.756396174288117
673.55523,0.7605906321186459
673.674832,0.7614886587960845
673.794434,0.7634176642658103
673.914036,0.7654357496000094
674.033638,0.7698034934623187
674.15324,0.7702270018378503
674.272842,0.7719542441110956
674.392444,0.772595232106928
674.512046,0.7734919625792926
674.631648,0.7737549945594724
674.75125,0.7727497666062842
674.870852,0.7711826757154797
674.990454,0.7684190935078336
675.110056,0.7628834588945176
675.229658,0.7602560458548896
675.34926,0.752315120190273
675.468862,0.7477773542960747
675.588464,0.7421528943248619
675.708066,0.7385917104164487
675.827668,0.7366075685826488
675.94727,0.7401221787452391
676.066872,0.7429251348304181
676.186474,0.7445688149759626
676.306076,0.7485554472827636
676.425678,0.7511950053539731
676.54528,0.755149149678763
676.664882,0.7526988987567861
676.784484,0.7564037382876798
676.904086,0.7523828315980577
677.023688,0.750954661409342
677.14329,0.7465072127200034
677.262892,0.743423061457548
677.382494,0.7423607262303819
677.502096,0.7405293579075543
677.621698,0.7371160031947399
677.7413,0.7392789202101594
