nu,[0]Allyl2-2-2-trifluoroacetate-HITRAN(x-sec)-X=0.01-T=298.0K-P=0.0atm-L=15cm
693.454368,1.0
693.57357,1.0
693.692772,1.0
693.811974,1.0
693.931176,1.0
694.050378,1.0
694.16958,1.0
694.288782,1.0
694.407984,1.0
694.527186,1.0
694.646388,1.0
694.76559,1.0
694.884792,1.0
695.003994,1.0
695.123196,1.0
695.242398,1.0
695.3616,1.0
695.480802,1.0
695.600004,1.0
695.719206,1.0
695.838408,1.0
695.95761,1.0
696.076812,1.0
696.196014,1.0
696.315216,1.0
696.434418,1.0
696.55362,1.0
696.672822,1.0
696.792024,1.0
696.911226,1.0
697.030428,1.0
697.14963,1.0
697.268832,1.0
697.388034,1.0
697.507236,1.0
697.626438,1.0
697.74564,1.0
697.864842,1.0
697.984044,1.0
698.103246,1.0
698.222448,1.0
698.34165,1.0
698.460852,1.0
698.580054,1.0
698.699256,1.0
698.818458,1.0
698.93766,1.0
699.056862,1.0
699.176064,1.0
699.295266,1.0
699.414468,1.0
699.53367,1.0
699.652872,1.0
699.772074,1.0
699.891276,1.0
700.010478,1.0
700.12968,1.0
700.248882,1.0
700.368084,1.0
700.487286,1.0
700.606488,1.0
700.72569,1.0
700.844892,1.0
700.964094,1.0
701.083296,1.0
701.202498,1.0
701.3217,1.0
701.440902,1.0
701.560104,1.0
701.679306,1.0
701.798508,1.0
701.91771,1.0
702.036912,1.0
702.156114,1.0
702.275316,1.0
702.394518,1.0
702.51372,1.0
702.632922,1.0
702.752124,1.0
702.871326,1.0
702.990528,1.0
703.10973,1.0
703.228932,1.0
703.348134,1.0
703.467336,1.0
703.586538,1.0
703.70574,1.0
703.824942,1.0
703.944144,1.0
704.063346,1.0
704.182548,1.0
704.30175,1.0
704.420952,1.0
704.540154,1.0
704.659356,1.0
704.778558,1.0
704.89776,1.0
705.016962,1.0
705.136164,1.0
705.255366,1.0
705.374568,1.0
705.49377,1.0
705.612972,1.0
705.732174,1.0
705.851376,1.0
705.970578,1.0
706.08978,1.0
706.208982,1.0
706.328184,1.0
706.447386,1.0
706.566588,1.0
706.68579,1.0
706.804992,1.0
706.924194,1.0
707.043396,1.0
707.162598,1.0
707.2818,1.0
707.401002,1.0
707.520204,1.0
707.639406,1.0
707.758608,1.0
707.87781,1.0
707.997012,1.0
708.116214,1.0
708.235416,1.0
708.354618,1.0
708.47382,1.0
708.593022,1.0
708.712224,1.0
708.831426,1.0
708.950628,1.0
709.06983,1.0
709.189032,1.0
709.308234,1.0
709.427436,1.0
709.546638,1.0
709.66584,1.0
709.785042,1.0
709.904244,0.9999999501280012
710.023446,0.9999998802200072
710.142648,0.999999815440017
710.26185,0.9999997577700294
710.381052,0.9999997080300427
710.500254,0.999999668470055
710.619456,0.9999996404000646
710.738658,0.9999996241500706
710.85786,0.9999996201400722
710.977062,0.9999996261700699
711.096264,0.9999996392300651
711.215466,0.999999656490059
711.334668,0.9999996737200533
711.45387,0.9999996875400489
711.573072,0.9999996941900468
711.692274,0.9999996908300478
711.811476,0.9999996757800526
711.930678,0.9999996483000618
712.04988,0.9999996080600768
712.169082,0.9999995582200976
712.288284,0.9999994997001251
712.407486,0.999999435930159
712.526688,0.9999993709001979
712.64589,0.9999993071002401
712.765092,0.9999992487202822
712.884294,0.9999991976603219
713.003496,0.9999991554203567
713.122698,0.9999991215503858
713.2419,0.999999093320411
713.361102,0.9999990674704348
713.480304,0.9999990394204613
713.599506,0.9999990048104952
713.718708,0.9999989589005419
713.83791,0.9999989009006041
713.957112,0.9999988306006837
714.076314,0.9999987504007808
714.195516,0.9999986631008937
714.314718,0.9999985727010186
714.43392,0.9999984824011515
714.553122,0.9999983948012884
714.672324,0.9999983108014266
714.791526,0.9999982278015703
714.910728,0.9999981432017239
715.02993,0.9999980523018968
715.149132,0.9999979518020976
715.268334,0.9999978396023337
715.387536,0.999997715702609
715.506738,0.9999975820029233
715.62594,0.9999974428032696
715.745142,0.9999973034036358
715.864344,0.9999971704040033
