nu,[0]Methylisothiocyanate-HITRAN(x-sec)-X=0.01-T=278.1K-P=1.0atm-L=15cm
661.597232,0.8866189350268655
661.715234,0.8854582246532663
661.833237,0.884944807788251
661.951239,0.8809186460899393
662.069241,0.8820998683178423
662.187244,0.8798269839391996
662.305246,0.8791937365071951
662.423248,0.8777091539181288
662.541251,0.8786048739947053
662.659253,0.8786575918686654
662.777256,0.8744151640810486
662.895258,0.878306199115154
663.01326,0.8769283402847486
663.131263,0.8727466250796498
663.249265,0.8720487069840467
663.367267,0.8701758163429232
663.48527,0.8739343679718541
663.603272,0.8659310435289858
663.721274,0.8686890872126619
663.839277,0.8714036296489295
663.957279,0.868732522752902
664.075282,0.8679770541346071
664.193284,0.8647195882845872
664.311286,0.8654981862305636
664.429289,0.8612676184736958
664.547291,0.8625691149601432
664.665293,0.8580610741795908
664.783296,0.8618448611327704
664.901298,0.8549006633598688
665.0193,0.8555164134809311
665.137303,0.8537302513663435
665.255305,0.8465720210903142
665.373307,0.8484959223800138
665.49131,0.8455482884279595
665.609312,0.8471309430481909
665.727315,0.8468090944449401
665.845317,0.8483771412657526
665.963319,0.8481057040128243
666.081322,0.8474444394903841
666.199324,0.8457174149977383
666.317326,0.8461403794375354
666.435329,0.8430407355705608
666.553331,0.84237499639106
666.671333,0.8406162711566632
666.789336,0.8403977393365302
666.907338,0.83660771346584
667.025341,0.8376206214849019
667.143343,0.8336513579966727
667.261345,0.8363567687953829
667.379348,0.8328264515483221
667.49735,0.8299830500720142
667.615352,0.8316030960511323
667.733355,0.8285981351042578
667.851357,0.8292695714887172
667.969359,0.8304645798711989
668.087362,0.8302985035634091
668.205364,0.8276706246957256
668.323366,0.8271907149206903
668.441369,0.8300826540141398
668.559371,0.8251088186101808
668.677374,0.8227030150424514
668.795376,0.8259838976678716
668.913378,0.8239791934985691
669.031381,0.8240945586610319
669.149383,0.8236084862768753
669.267385,0.8217574503790431
669.385388,0.8158946807959486
669.50339,0.8162945671536952
669.621392,0.8154379076831114
669.739395,0.8146554629253111
669.857397,0.8159191580035288
669.9754,0.817005052443406
670.093402,0.8161966176827226
670.211404,0.8169805426594814
670.329407,0.8124751092635922
670.447409,0.8164741717142463
670.565411,0.8158130954072064
670.683414,0.8164578423941057
670.801416,0.8115981098105366
670.919418,0.8117117414999426
671.037421,0.8130521714239949
671.155423,0.8114520352978711
671.273425,0.8132961236664288
671.391428,0.8123613707101799
671.50943,0.8094583165705054
671.627433,0.8106409888533828
671.745435,0.8057353018734796
671.863437,0.802815784856912
671.98144,0.7959889302146254
672.099442,0.795646728553263
672.217444,0.7951138237881638
672.335447,0.7941840846178062
672.453449,0.7971040951502372
672.571451,0.798117060447891
672.689454,0.8027194527427716
672.807456,0.7992911552750223
672.925459,0.800819260257299
673.043461,0.8022299431921903
673.161463,0.8049943662783905
673.279466,0.8023101701977929
673.397468,0.8078652533693245
673.51547,0.8056869592056618
673.633473,0.8071385017285861
673.751475,0.8070900748713027
673.869477,0.8060092984528957
673.98748,0.8052842164201458
674.105482,0.8054936175373807
674.223484,0.8043667154883233
674.341487,0.805179536276368
674.459489,0.8028478981305675
674.577492,0.8072757269376923
674.695494,0.8050346170029641
674.813496,0.8068560526844472
674.931499,0.8060173585861807
675.049501,0.8048333835039488
675.167503,0.8060012384002114
675.285506,0.8017086631634781
675.403508,0.805670845627614
675.52151,0.8041576073275353
675.639513,0.8024545990266332
675.757515,0.7978537252706372
675.875518,0.7942396794495259
675.99352,0.7942079104977312
676.111522,0.7884076504370148
676.229525,0.7946925251155662
676.347527,0.7914963588401124
676.465529,0.7886599812559325
676.583532,0.7907764247732497
