nu,[0]HFC-272ca-HITRAN(x-sec)-X=0.01-T=296.0K-P=0.9211atm-L=15cm
602.763824,1.0
603.004878,1.0
603.245932,1.0
603.486986,1.0
603.72804,1.0
603.969094,1.0
604.210148,1.0
604.451202,1.0
604.692256,1.0
604.93331,1.0
605.174364,1.0
605.415418,1.0
605.656472,1.0
605.897526,1.0
606.13858,1.0
606.379634,1.0
606.620688,1.0
606.861742,1.0
607.102796,1.0
607.34385,1.0
607.584904,1.0
607.825958,1.0
608.067012,1.0
608.308066,1.0
608.54912,1.0
608.790174,1.0
609.031228,1.0
609.272282,1.0
609.513336,1.0
609.75439,1.0
609.995444,1.0
610.236498,1.0
610.477552,1.0
610.718606,1.0
610.95966,1.0
611.200714,1.0
611.441768,1.0
611.682822,1.0
611.923876,1.0
612.16493,1.0
612.405984,1.0
612.647038,1.0
612.888092,1.0
613.129146,1.0
613.3702,1.0
613.611254,1.0
613.852308,1.0
614.093362,1.0
614.334416,1.0
614.57547,1.0
614.816524,1.0
615.057578,1.0
615.298632,1.0
615.539686,1.0
615.78074,1.0
616.021794,1.0
616.262848,1.0
616.503902,1.0
616.744956,1.0
616.98601,1.0
617.227064,1.0
617.468118,1.0
617.709172,1.0
617.950226,1.0
618.19128,1.0
618.432334,1.0
618.673388,1.0
618.914442,1.0
619.155496,1.0
619.39655,1.0
619.637604,1.0
619.878658,1.0
620.119712,1.0
620.360766,1.0
620.60182,1.0
620.842874,1.0
621.083928,1.0
621.324982,1.0
621.566036,1.0
621.80709,1.0
622.048144,1.0
622.289198,1.0
622.530252,1.0
622.771306,1.0
623.01236,1.0
623.253414,1.0
623.494468,1.0
623.735522,1.0
623.976576,1.0
624.21763,1.0
624.458684,1.0
624.699738,1.0
624.940792,1.0
625.181846,1.0
625.4229,1.0
625.663954,1.0
625.905008,1.0
626.146062,1.0
626.387116,1.0
626.62817,1.0
626.869224,1.0
627.110278,1.0
627.351332,1.0
627.592386,1.0
627.83344,1.0
628.074494,1.0
628.315548,1.0
628.556602,1.0
628.797656,1.0
629.03871,1.0
629.279764,1.0
629.520818,1.0
629.761872,1.0
630.002926,1.0
630.24398,1.0
630.485034,1.0
630.726088,1.0
630.967142,1.0
631.208196,1.0
631.44925,1.0
631.690304,1.0
631.931358,1.0
632.172412,1.0
632.413466,1.0
632.65452,1.0
632.895574,1.0
633.136628,1.0
633.377682,1.0
633.618736,1.0
633.85979,1.0
634.100844,1.0
634.341898,1.0
634.582952,1.0
634.824006,1.0
635.06506,1.0
635.306114,1.0
635.547168,1.0
635.788222,1.0
636.029276,1.0
636.27033,1.0
636.511384,1.0
636.752438,1.0
636.993492,1.0
637.234546,1.0
637.4756,1.0
637.716654,1.0
637.957708,1.0
638.198762,1.0
638.439816,1.0
638.68087,1.0
638.921924,1.0
639.162978,1.0
639.404032,1.0
639.645086,1.0
639.88614,1.0
640.127194,1.0
640.368248,1.0
640.609302,1.0
640.850356,1.0
641.09141,1.0
641.332464,1.0
641.573518,1.0
641.814572,1.0
642.055626,1.0
642.29668,1.0
642.537734,1.0
642.778788,1.0
643.019842,1.0
643.260896,1.0
643.50195,1.0
643.743004,1.0
643.984058,1.0
644.225112,1.0
644.466166,1.0
644.70722,1.0
644.948274,1.0
645.189328,1.0
645.430382,1.0
645.671436,1.0
645.91249,1.0
646.153544,1.0
646.394598,1.0
646.635652,1.0
646.876706,1.0
647.11776,1.0
647.358814,1.0
647.599868,1.0
647.840922,1.0
648.081976,1.0
648.32303,1.0
648.564084,1.0
648.805138,1.0
649.046192,1.0
649.287246,1.0
649.5283,1.0
649.769354,1.0
650.010408,1.0
650.251462,1.0
650.492516,1.0
650.73357,1.0
650.974624,1.0
651.215678,1.0
651.456732,1.0
651.697786,1.0
651.93884,1.0
652.179894,1.0
652.420948,1.0
652.662002,1.0
652.903056,1.0
653.14411,1.0
653.385164,1.0
653.626218,1.0
653.867272,1.0
654.108326,1.0
654.34938,1.0
654.590434,1.0
654.831488,1.0
655.072542,1.0
655.313596,1.0
655.55465,1.0
655.795704,1.0
656.036758,1.0
656.277812,1.0
656.518866,1.0
656.75992,1.0
657.000974,1.0
657.242028,1.0
657.483082,1.0
657.724136,1.0
657.96519,1.0
658.206244,1.0
658.447298,1.0
658.688352,1.0
658.929406,1.0
659.17046,1.0
659.411514,1.0
659.652568,1.0
659.893622,1.0
660.134676,1.0
660.37573,1.0
660.616784,1.0
660.857838,1.0
661.098892,1.0
661.339946,1.0
661.581,1.0
661.822054,1.0
662.063108,1.0
662.304162,1.0
662.545216,1.0
662.78627,1.0
663.027324,1.0
663.268378,1.0
663.509432,1.0
663.750486,1.0
663.99154,1.0
664.232594,1.0
664.473648,1.0
