nu,[0]2-3-Dimethylfuran-HITRAN(x-sec)-X=0.01-T=278.1K-P=1.0atm-L=15cm
537.674353,0.9304973973019333
537.794156,0.954254377495265
537.913958,0.9433451977235047
538.033761,0.9347202428241738
538.153563,0.9511961320534777
538.273365,0.9432140818537851
538.393168,0.9742113569095617
538.51297,0.9595632940987683
538.632773,0.9524039661537027
538.752575,0.9561533221232773
538.872377,0.9589627954523489
538.99218,0.9336972843302694
539.111982,0.9333462801442836
539.231785,0.9511580849691423
539.351587,0.9758357457703789
539.471389,0.9624896173954399
539.591192,0.9362066939626866
539.710994,0.9577370660580045
539.830797,0.942539924825118
539.950599,0.9694251616569343
540.070401,0.950736815255632
540.190204,0.9445411735797347
540.310006,0.9581154469243988
540.429809,0.9703911901202597
540.549611,0.9488277535067592
540.669413,0.9664854836015868
540.789216,0.9522677821239329
540.909018,0.9618767067419273
541.028821,0.9464065929462816
541.148623,0.942367455800272
541.268425,0.9665202777052866
541.388228,0.9549808414610187
541.50803,0.9618334232640094
541.627833,0.9453046712595113
541.747635,0.9487916987371708
541.867437,0.9509707252819385
541.98724,0.9489862209732599
542.107042,0.9604513007855855
542.226845,0.9655484472186104
542.346647,0.9524611121060335
542.466449,0.9621249029482005
542.586252,0.9505485880013246
542.706054,0.9676169333864547
542.825857,0.9855927915479208
542.945659,0.9680795648407223
543.065461,0.9609191544821966
543.185264,0.9482121640751111
543.305066,0.9571836539853191
543.424868,0.9510021078336821
543.544671,0.9781512192401012
543.664473,0.9847081264951693
543.784276,0.9530518210964037
543.904078,0.9602861173680316
544.02388,0.9775459309914315
544.143683,0.9674108529279913
544.263485,0.9442824047511222
544.383288,0.9837189919514041
544.50309,0.9616833889529607
544.622892,0.9431527749309612
544.742695,0.9661482390204124
544.862497,0.9907519289045381
544.9823,0.9722891882460255
545.102102,0.9983256033687887
545.221904,0.9872174003737243
545.341707,0.9452772578215416
545.461509,0.9578338023867787
545.581312,0.9731101467166465
545.701114,0.9511457199944102
545.820916,0.9498463920881385
545.940719,0.9714426930652299
546.060521,0.9584613890395333
546.180324,0.9756610868043298
546.300126,0.9776739978965905
546.419928,0.9752435932091802
546.539731,0.9708134021124125
546.659533,0.9363181091883427
546.779336,0.9801300618010546
546.899138,0.9719557502423438
547.01894,0.977557661612987
547.138743,0.9678056370864778
547.258545,0.9963249695150714
547.378348,0.9493582964939189
547.49815,0.9636000079414331
547.617952,0.9868946330591342
547.737755,0.9615583782382694
547.857557,0.9836698072314347
547.97736,0.9705202607315511
548.097162,0.9665869699053027
548.216964,0.981260803509638
548.336767,0.9861616426864152
548.456569,0.9899864725873869
548.576372,0.9815454104086615
548.696174,0.9606655053085773
548.815976,0.9709182556218282
548.935779,0.9667116676672531
549.055581,0.9665744043563701
549.175384,0.9693068990013808
549.295186,0.9788097365768785
549.414988,0.9757606093107455
549.534791,0.9778695522509534
549.654593,0.9666246675322279
549.774395,0.9796097508930098
549.894198,0.9678182186415398
550.014,0.9760397167554704
550.133803,0.970990106231184
550.253605,0.970207803515907
550.373407,0.9770523949246264
550.49321,0.9912485191063961
550.613012,0.9796695089104154
550.732815,0.9934245137477015
550.852617,0.974202589046805
550.972419,0.9895677968656403
551.092222,0.9782099100739631
551.212024,0.9799262159489035
551.331827,0.9759040566634363
551.451629,0.9886014612599123
551.571431,0.987514597537166
551.691234,0.9720753081522843
551.811036,0.989462908238368
551.930839,0.9771110198270513
552.050641,0.9845889840201285
552.170443,0.9822396083838885
552.290246,0.9899349946292508
552.410048,0.9837426014905243
552.529851,0.9734702640885371
552.649653,0.9808007000954763
552.769455,0.9779693000323334
552.889258,0.9711289677447367
553.00906,0.9683787476476212
553.128863,0.9829519903072103
553.248665,0.9849119821756888
553.368467,0.9758503834163476
553.48827,0.9767065795897486
553.608072,0.9810890978937034
553.727875,0.9810400446651496
553.847677,0.9832567526599295
553.967479,0.9815071308841111
554.087282,0.972133634420544
554.207084,0.9955778068187106
554.326887,0.9799752134846291
554.446689,0.9937132448619955
554.566491,0.9847711498319902
554.686294,0.9926751583769671
554.806096,0.9708328185746188
554.925899,0.9854567891270701
555.045701,0.9825559404645199
555.165503,0.9895321730661855
555.285306,0.9892046921179873
555.405108,0.990183697535679
555.52491,0.9859447109883859
555.644713,0.9709920482133384
555.764515,0.9854085029274244
555.884318,0.9858520365413203
556.00412,0.9782676261612653
556.123922,0.9788919600480884
556.243725,0.991156039933784
556.363527,0.9758503834163476
556.48333,0.9925093954671063
556.603132,0.9878948638537867
556.722934,0.9932351850789765
556.842737,0.9765659439682954
556.962539,0.9797361287020685
557.082342,0.985794858781372
557.202144,0.9827947305698755
557.321946,0.9837563739833524
557.441749,0.9863727038606902
557.561551,0.9962046207279671
557.681354,0.9791416093268309
557.801156,0.9718925751717901
557.920958,0.9960464359943957
558.040761,0.9861212108879226
558.160563,0.996770725359798
558.280366,0.9830591379135921
558.400168,0.9829028439363644
558.51997,0.9779604983482407
558.639773,0.9933016347355744
558.759575,0.9797341692317706
558.879378,0.9927088106352385
558.99918,0.9899102465637373
559.118982,0.9890800601787576
559.238785,0.9950609374803687
559.358587,0.9921287418770314
559.47839,0.9919056372120433
559.598192,0.9872924317473087
559.717994,0.9884680090708676
559.837797,0.9926584815743918
559.957599,0.9925523720543664
560.077402,0.9924487549956286
560.197204,0.9866045286844475
560.317006,0.9904906030160933
560.436809,0.9875738501905801
560.556611,0.9864881162185333
560.676414,0.9921564226550749
560.796216,0.984102717179821
560.916018,0.986291824615068
561.035821,0.9883711439524471
561.155623,0.9891532548113788
561.275426,0.9959349846340279
561.395228,0.9857593708052432
561.51503,0.9909354331537402
561.634833,0.9956583523213038
561.754635,0.9922537579743567
561.874437,0.9829067755556034
561.99424,0.9939769119597515
562.114042,0.9869804966272213
562.233845,0.993789465590904
562.353647,0.990251527442108
562.473449,0.9960073917393771
562.593252,0.996195953785468
562.713054,0.9868936461649945
562.832857,0.9943756760659338
562.952659,0.9908281206574062
563.072461,0.9920349901407634
