nu,[0]HFE-263m1-HITRAN(x-sec)-X=0.01-T=298.0K-P=0.0atm-L=15cm
891.915888,0.9999991275103807
892.398005,0.9999991882703294
892.880121,0.9999992490302819
893.362238,0.9999992879102535
893.844355,0.9999994483201522
894.326472,0.9999995990000804
894.808588,0.9999996038600785
895.290705,0.9999995115001193
895.772822,0.999999516360117
896.254938,0.9999996476000621
896.737055,0.9999998250200153
897.219172,0.9999998784800074
897.701288,0.999999623300071
898.183405,0.9999998663300089
898.665522,0.9999996986400455
899.147638,0.9999996573200587
899.629755,0.9999997545400301
900.111872,0.9999996670500554
900.593988,0.9999996062900776
901.076105,0.9999996524600604
901.558222,0.9999995844100864
902.040339,0.999999465330143
902.522455,0.9999993073602399
903.004572,0.9999992368802911
903.486689,0.9999993438102153
903.968805,0.9999995260901123
904.450922,0.9999996889200484
904.933039,0.9999997278000371
905.415155,0.9999996281600692
905.897272,0.9999995212301146
906.379389,0.9999994629001442
906.861505,0.9999993924201845
907.343622,0.9999993268002266
907.825739,0.9999993146502348
908.307856,0.999999353530209
908.789972,0.9999993511002105
909.272089,0.999999300070245
909.754206,0.9999992393102893
910.236322,0.9999991979903217
910.718439,0.9999991882703294
911.200556,0.9999991834103334
911.682672,0.9999991809803354
912.164789,0.9999991469603638
912.646906,0.9999990862004176
913.129022,0.9999990813404219
913.611139,0.9999991469603638
914.093256,0.9999992223003024
914.575373,0.999999300070245
915.057489,0.9999993292302249
915.539606,0.9999992271602987
916.021723,0.9999990375904632
916.503839,0.999998955000546
916.985956,0.9999990424504585
917.468073,0.9999991032104021
917.950189,0.9999990132904868
918.432306,0.9999988529006579
918.914423,0.9999987119008296
919.396539,0.999998690100858
919.878656,0.9999988018007179
920.360773,0.9999988918006141
920.842889,0.9999988869006194
921.325006,0.9999988359006776
921.807123,0.9999987046008391
922.28924,0.9999985126011062
922.771356,0.9999984373012211
923.253473,0.9999984665011759
923.73559,0.999998422701244
924.217706,0.9999982988014471
924.699823,0.9999982210015824
925.18194,0.9999982113015997
925.664056,0.9999981384017328
926.146173,0.9999979901020198
926.62829,0.9999978565022973
927.110406,0.999997700902643
927.592523,0.9999975138030905
928.07464,0.9999974020033748
928.556757,0.9999973631034766
929.038873,0.9999972707037246
929.52099,0.9999971103041752
930.003107,0.9999969475046588
930.485223,0.9999967750052003
930.96734,0.9999965854058297
931.449457,0.9999963983064861
931.931573,0.9999962330070952
932.41369,0.9999960823076742
932.895807,0.999995977808089
933.377923,0.9999959098083648
933.86004,0.9999957882088696
934.342157,0.9999956376095153
934.824273,0.9999955233100204
935.30639,0.9999954140105157
935.788507,0.999995275411161
936.270624,0.9999951369118248
936.75274,0.9999949984125079
937.234857,0.999994821013411
937.716974,0.9999946508143069
938.19909,0.9999945439148845
938.681207,0.9999945002151239
939.163324,0.9999944273155275
939.64544,0.9999941745169681
940.127557,0.9999937857193087
940.609674,0.9999935159210217
941.09179,0.9999934187216567
941.573907,0.9999932364228731
942.056024,0.9999928937252497
942.538141,0.9999925972274006
943.020257,0.9999924101288032
943.502374,0.9999922035303926
943.984491,0.9999919240326108
944.466607,0.9999916688347044
944.948724,0.9999914890362185
945.430841,0.9999912703381038
945.912957,0.9999909568408896
946.395074,0.9999905898442758
946.877191,0.9999902520475116
947.359307,0.9999899890501099
947.841424,0.9999898050519689
948.323541,0.9999896420536439
948.805658,0.9999894260559046
949.287774,0.9999892360579317
949.769891,0.9999891780585576
950.252008,0.9999892090582226
950.734124,0.9999892530577488
951.216241,0.9999892770574912
951.698358,0.9999893190570417
952.180474,0.9999894350558094
952.662591,0.999989557054528
953.144708,0.9999896100539759
953.626824,0.999989620053872
954.108941,0.9999896350537164
954.591058,0.9999896180538927
955.073174,0.9999894720554192
955.555291,0.9999891490588719
956.037408,0.9999887770629776
956.519525,0.9999886410645132
957.001641,0.9999890250602251
957.483758,0.9999898850511565
957.965875,0.9999906627435925
958.447991,0.9999909908405827
958.930108,0.999990973840736
959.412225,0.9999908182421526
959.894341,0.9999907113431399
960.376458,0.9999907137431175
960.858575,0.9999907429428468
961.340691,0.9999907429428468
