nu,[0]Piperidine-PNNL(x-sec)-X=0.01-T=278.11K-P=1.0atm-L=15cm
586.01472,0.9932145260019819
586.138523,1.0000233812733377
586.262325,1.0020438858930372
586.386128,0.9996228711309761
586.50993,0.9975207783589813
586.633733,1.0020283543331758
586.757535,1.001765055880589
586.881338,1.0045189799327299
587.00514,1.0024708475247983
587.128943,1.000714525151562
587.252745,1.0044863335963878
587.376548,0.9977546246351415
587.50035,1.0048235962649479
587.624152,1.0031392170540772
587.747955,1.001808433246622
587.871757,1.0046576131174303
587.99556,1.0060676339658208
588.119362,1.0067291396016371
588.243165,1.0001979295854762
588.366967,1.000105195532662
588.49077,0.9965900272080727
588.614572,1.0009579685590466
588.738375,0.9999025587477073
588.862177,1.0021441955064274
588.98598,0.9997174499247932
589.109782,0.9977714868307831
589.233585,1.0029065157501156
589.357387,1.0043828768321423
589.48119,0.999366780568098
589.604992,1.0028821454178836
589.728795,1.0013761460211263
589.852597,1.0042108407806494
589.9764,1.0054690006810227
590.100202,1.0064852386809016
590.224004,0.9959688469991623
590.347807,0.9994200682254742
590.471609,0.9964357670119082
590.595412,1.0001665438668903
590.719214,0.9988856213815317
590.843017,0.9990757274032949
590.966819,1.0048616798009247
591.090622,1.0039854207512393
591.214424,0.9989004049981267
591.338227,1.0062545786988395
591.462029,1.0022663643298981
591.585832,1.0010895931758033
591.709634,1.0007065294744486
591.833437,1.0005016457821818
591.957239,1.001543289647645
592.081042,1.0026897107988701
592.204844,0.9990785647823898
592.328647,1.0068082716218576
592.452449,0.9961097865622517
592.576252,1.0017544372272758
592.700054,0.9998180565537167
592.823856,1.000927319695286
592.947659,1.0041318124972838
593.071461,1.0017511314430874
593.195264,1.0058983270306026
593.319066,0.9994922089695268
593.442869,0.9982705971434785
593.566671,1.0025302958086806
593.690474,1.0001147565840331
593.814276,0.9975794343052168
593.938079,1.003099794457506
594.061881,0.9994802551141918
594.185684,1.0016431484915034
594.309486,0.9985206952515432
594.433289,0.9987725539289299
594.557091,1.0019262528460284
594.680894,1.0000701234585347
594.804696,0.9986727815345064
594.928499,1.001788497457162
595.052301,0.9982939569487603
595.176104,1.0058197694389754
595.299906,1.0004014605637308
595.423708,1.0008273420587877
595.547511,1.0005783571840579
595.671313,1.0000958705952918
595.795116,0.998932270429297
595.918918,0.9988874193772684
596.042721,1.0019130275067782
596.166523,0.9981649857012446
596.290326,1.0031087220854045
596.414128,1.003293110413292
596.537931,1.004496679858907
596.661733,0.9973234882616558
596.785536,1.0016015811633692
596.909338,0.9989890113936856
597.033141,1.0002299764405278
597.156943,1.00397307180651
597.280746,0.9966957710195695
597.404548,0.999139690278793
597.528351,1.0039887339085944
597.652153,0.99699661919897
597.775956,1.0030162397247306
597.899758,1.0008266815129598
598.02356,1.000358504247293
598.147363,1.0005992394722782
598.271165,1.0012476777030106
598.394968,1.0008020114393206
598.51877,1.0040302999025883
598.642573,1.0030919703096235
598.766375,1.0054395408708912
598.890178,1.0060771916537423
599.01398,0.9996647662034104
599.137783,0.9963215820159338
599.261585,1.0008196857589065
599.385388,0.999910411013333
599.50919,1.0023243972324292
599.632993,1.0000718975845075
599.756795,0.9952329983906961
599.880598,0.994579146143536
600.0044,1.004046966943903
600.128203,1.0036593792385873
600.252005,0.9997621282959611
600.375808,1.0004020908168494
600.49961,1.000790922614466
600.623412,1.0022513304471876
600.747215,1.0006974431004132
600.871017,1.0009211039559305
600.99482,1.0000519193477626
601.118622,1.0065270086850284
601.242425,1.0004403069066412
601.366227,1.0000912201603058
601.49003,1.0035214859133683
601.613832,0.9978760587620764
601.737635,1.00378082937106
601.861437,1.0016103952960655
601.98524,1.0033019394315115
602.109042,1.003682262933307
602.232845,0.9983923935857619
602.356647,1.0016499596880712
602.48045,0.9979899229162076
602.604252,1.0012311572526227
602.728055,0.9999111979431361
602.851857,0.997872765776516
602.97566,0.9995813176719179
603.099462,0.9992130697921099
603.223264,1.0035937420615442
603.347067,1.0005545637136295
603.470869,1.0003093578412705
603.594672,1.0030610755527196
603.718474,0.9947918098979268
603.842277,0.9974302075842818
603.966079,1.0013341892396088
604.089882,0.9989535479132616
604.213684,1.0021020061238894
604.337487,1.003801105948606
604.461289,1.0034577643221947
604.585092,1.0051419748087431
604.708894,0.9984907400800155
604.832697,1.0011982172894145
604.956499,1.0018466028750554
605.080302,1.0058839427873736
605.204104,1.0007360907819478
605.327907,0.9981665827664994
605.451709,0.9982015192082804
605.575512,1.000241999277102
605.699314,0.9995527100639829
605.823116,0.9988179991140038
605.946919,0.9977146154768827
606.070721,1.0030827419059474
606.194524,0.9972737230612436
606.318326,0.9952194633139567
606.442129,0.9989708299591298
606.565931,0.9963233753963955
606.689734,1.001020019866778
606.813536,1.0016365376685392
606.937339,0.9993418466779744
607.061141,1.0021092212843081
607.184944,0.9977946353977999
607.308746,1.000611536912499
607.432549,1.0024478912052408
607.556351,1.0035371409706575
607.680154,1.000021986241694
607.803956,1.0005736344653575
607.927759,0.9985671275434148
608.051561,0.9993653015063573
608.175364,1.001267001969669
608.299166,1.002043485075563
608.422968,0.9970371977871401
