nu,[0]Methanol-HITRAN(x-sec)-X=0.01-T=203.9K-P=0.0987atm-L=15cm
881.854697,1.0
881.860497,1.0
881.866297,1.0
881.872097,1.0
881.877898,1.0
881.883698,1.0
881.889498,1.0
881.895298,1.0
881.901098,1.0
881.906898,1.0
881.912698,1.0
881.918498,1.0
881.924298,0.999977875244756
881.930099,0.9997821537319449
881.935899,1.0
881.941699,1.0
881.947499,0.9993204909708975
881.953299,0.9936441841913637
881.959099,0.9927222122946431
881.964899,0.9937539879402623
881.970699,0.9919058355931906
881.9765,0.9902594494860156
881.9823,0.993358850557535
881.9881,0.994344652028818
881.9939,0.9903403569880651
881.9997,0.9910373065524715
882.0055,0.9950164592505591
882.0113,0.9921134632120525
882.0171,0.9884205637451292
882.0229,0.9912185838531437
882.028701,0.9934183545348098
882.034501,0.9939218471641378
882.040301,0.9964641658359493
882.046101,0.9970671093517448
882.051901,0.9964614753863337
882.057701,1.0
882.063501,1.0
882.069301,1.0
882.075102,0.9997415334082462
882.080902,0.9972166806357134
882.086702,0.997630611442879
882.092502,0.999243236490051
882.098302,0.9987340020524043
882.104102,0.9966971663946257
882.109902,0.997369166723447
882.115702,1.0
882.121502,1.0
882.127303,1.0
882.133103,1.0
882.138903,1.0
882.144703,0.9971526613798567
882.150503,0.9915632904785234
882.156303,0.9881082721916499
882.162103,0.9918056581628409
882.167903,0.9965066161135984
882.173703,0.9942649087854721
882.179504,0.9939073360111008
882.185304,0.9999007809225383
882.191104,1.0
882.196904,0.9983284985172365
882.202704,0.9919486868508687
882.208504,0.988028238663004
882.214304,0.99062630952439
882.220104,0.9942408478658179
882.225905,0.9938394544582327
882.231705,0.9979901225142122
882.237505,1.0
882.243305,1.0
882.249105,1.0
882.254905,1.0
882.260705,1.0
882.266505,0.99848095491871
882.272305,0.997958586524612
882.278106,0.9942873794263279
882.283906,0.9945602493192798
882.289706,1.0
882.295506,1.0
882.301306,0.9951793567777374
882.307106,0.9989282747082068
882.312906,1.0
882.318706,1.0
882.324506,1.0
882.330307,1.0
882.336107,1.0
882.341907,1.0
882.347707,1.0
882.353507,1.0
882.359307,1.0
882.365107,1.0
882.370907,1.0
882.376708,1.0
882.382508,1.0
882.388308,1.0
882.394108,1.0
882.399908,1.0
882.405708,0.9998670988321428
882.411508,0.9980017990669533
882.417308,0.9970467693901824
882.423108,0.999648691723209
882.428909,1.0
882.434709,0.9955707382413755
882.440509,0.9946806978584841
882.446309,0.9997813439087284
882.452109,1.0
882.457909,1.0
