nu,[0]HFE-125-HITRAN(x-sec)-X=0.01-T=296.0K-P=0.9211atm-L=15cm
626.59076,0.9380941142385665
626.831814,0.9221752477552166
627.072868,0.9368229206836717
627.313922,0.9507273079350161
627.554976,0.9293758938433023
627.79603,0.9306723472574067
628.037084,0.9345361210729254
628.278138,0.9309143535271452
628.519192,0.9117959983034907
628.760246,0.9296761307426626
629.0013,0.9298295399601476
629.242354,0.9269756326571618
629.483408,0.9423099731387072
629.724462,0.9295339011754984
629.965516,0.9202020624104706
630.20657,0.9394666108841617
630.447624,0.9287589930835084
630.688678,0.9186565021509054
630.929732,0.9333014805980343
631.170786,0.921244320952156
631.41184,0.944808516559105
631.652894,0.9312197435163225
631.893948,0.9207967049916621
632.135002,0.9478339028897699
632.376056,0.9405137598423641
632.61711,0.9358781430771593
632.858164,0.9368632049353662
633.099218,0.9374742389204171
633.340272,0.9386364893679089
633.581326,0.9250264012362467
633.82238,0.9412203509677634
634.063434,0.9382779987050464
634.304488,0.9481903554461375
634.545542,0.9404977712443502
634.786596,0.9421610999242449
635.02765,0.9315839216282186
635.268704,0.9232418987471114
635.509758,0.9364772967974682
635.750812,0.9374845511937627
635.991866,0.9268977699742971
636.23292,0.9389960559959507
636.473974,0.9486987217066435
636.715028,0.9428566714503123
636.956082,0.9386383666427649
637.197136,0.936003559151021
637.43819,0.9421262406084491
637.679244,0.9363424537756598
637.920298,0.9507273079350161
638.161352,0.9566229086785051
638.402406,0.934623036973712
638.64346,0.9412241158566971
638.884514,0.9344277211701969
639.125568,0.9549464627695462
639.366622,0.9499442313051567
639.607676,0.9489055605725928
639.84873,0.943196160956479
640.089784,0.9466100922391552
640.330838,0.9386383666427649
640.571892,0.9475533855731255
640.812946,0.9400962644238355
641.054,0.9494086138170305
641.295054,0.9437244987273832
641.536108,0.9534445593452193
641.777162,0.9610075631111434
642.018216,0.9538136137971163
642.25927,0.9322549035763058
642.500324,0.9432527544239234
642.741378,0.9293591652277712
642.982432,0.930584868168346
643.223486,0.9446573592893597
643.46454,0.947559070910495
643.705594,0.9488448325600333
643.946648,0.9481163994827329
644.187702,0.9579075584291337
644.428756,0.9428368716681103
644.66981,0.9409276769517809
644.910864,0.9426228719881242
645.151918,0.952445872850154
645.392972,0.944479780398752
645.634026,0.9439217577604682
645.87508,0.9550066262918318
646.116134,0.9472824240541957
646.357188,0.9244077655305363
646.598242,0.9454190600451158
646.839296,0.9472132749612124
647.08035,0.9622836666548326
647.321404,0.9583463805734945
647.562458,0.9505542913099625
647.803512,0.9534912792732562
648.044566,0.947967556892463
648.28562,0.9511381108590868
648.526674,0.9400022594977179
648.767728,0.9457935201310972
649.008782,0.9430773257269751
649.249836,0.9603523793961436
649.49089,0.9519335947857164
649.731944,0.9385557701008015
649.972998,0.9469035868570647
650.214052,0.9464406641969065
650.455106,0.948895122668835
650.69616,0.9516842208532942
650.937214,0.9437339360195569
651.178268,0.9710357438386522
651.419322,0.9499622804170176
651.660376,0.9515538490457099
651.90143,0.9436273001098291
652.142484,0.9456904342556852
652.383538,0.9566420413280046
652.624592,0.943676370005241
652.865646,0.9589359448699861
