nu,[0]Octanoicacid-HITRAN(x-sec)-X=0.01-T=298.1K-P=1.0atm-L=15cm
682.601652,1.0
682.719654,0.9934750803423601
682.837657,0.9783644794504139
682.955659,1.0
683.073661,1.0
683.191664,1.0
683.309666,0.9751197451373617
683.427669,1.0
683.545671,0.9719985172362214
683.663673,1.0
683.781676,1.0
683.899678,1.0
684.01768,1.0
684.135683,0.9780289579791842
684.253685,1.0
684.371687,1.0
684.48969,1.0
684.607692,1.0
684.725695,0.9976869791647986
684.843697,0.9980165696028812
684.961699,1.0
685.079702,0.9835881660255915
685.197704,0.9807143934314169
685.315706,0.9847553936196429
685.433709,1.0
685.551711,0.9767915567586262
685.669713,0.9853050404664913
685.787716,0.9945603487753096
685.905718,1.0
686.02372,0.9962430749684892
686.141723,0.9828399401672945
686.259725,1.0
686.377728,0.9974398827042196
686.49573,0.9999346201373563
686.613732,0.993306104602988
686.731735,0.9962724645726954
686.849737,1.0
686.967739,1.0
687.085742,1.0
687.203744,0.999414861260483
687.321746,1.0
687.439749,1.0
687.557751,0.9800732159060169
687.675754,1.0
687.793756,1.0
687.911758,0.9679256524262738
688.029761,0.9851365677094028
688.147763,0.9924353570278726
688.265765,0.995090590738137
688.383768,1.0
688.50177,0.9650802697639195
688.619772,1.0
688.737775,0.9931726132333503
688.855777,0.9610709917034294
688.973779,0.9904231529027303
689.091782,0.9880815936284629
689.209784,1.0
689.327787,1.0
689.445789,1.0
689.563791,0.9806898758780518
689.681794,0.9982324639350165
689.799796,1.0
689.917798,0.9665599058490438
690.035801,0.9932463093753452
690.153803,0.9793570441778475
690.271805,0.9528802872071196
690.389808,0.9583875903538631
690.50781,1.0
690.625813,0.9580799973086845
690.743815,0.9786815208996972
690.861817,0.9890968746827035
690.97982,0.9958022353485126
691.097822,0.9929013155363677
691.215824,0.981467871384071
691.333827,0.9751324217764463
691.451829,0.9991379917427633
691.569831,1.0
691.687834,1.0
691.805836,1.0
691.923838,1.0
692.041841,0.9899904325411971
692.159843,0.993222869039041
692.277846,1.0
692.395848,1.0
692.51385,0.9493668407570365
692.631853,1.0
692.749855,1.0
692.867857,1.0
692.98586,0.9940536499394026
693.103862,0.9912181873657894
693.221864,0.9853148935661614
693.339867,0.9655098260531502
693.457869,1.0
693.575872,1.0
693.693874,0.9967863747830338
693.811876,1.0
693.929879,1.0
694.047881,1.0
694.165883,1.0
694.283886,1.0
694.401888,1.0
694.51989,1.0
694.637893,1.0
694.755895,1.0
694.873897,1.0
694.9919,1.0
695.109902,1.0
