nu,[0]Methanethiol-PNNL(x-sec)-X=0.01-T=278.14K-P=1.0atm-L=15cm
817.189654,0.9978813475192031
817.430708,0.9979988050660471
817.671762,0.9977055363151921
817.912816,0.9975811301916966
818.15387,0.9978023184460721
818.394924,0.9979357335346483
818.635978,0.997833949280913
818.877032,0.9981704756237632
819.118086,0.9978773560017961
819.35914,0.9977101257712149
819.600194,0.9982044139968834
819.841248,0.9980545947585576
820.082302,0.9974828732896046
820.323356,0.997969464332489
820.56441,0.9981074930538724
820.805464,0.9982547247671697
821.046518,0.9978563010117153
821.287572,0.9983700298466205
821.528626,0.9982178898474342
821.76968,0.9981065947575328
822.010734,0.9981693776368439
822.251788,0.9981418285422003
822.492842,0.9981564015192795
822.733896,0.9979363322962681
822.97495,0.998227971899036
823.216004,0.9980486064489541
823.457058,0.9982712959331411
823.698112,0.99858360403695
823.939166,0.9984663772031859
824.18022,0.9983399793609842
824.421274,0.9984297341595464
824.662328,0.9985411651356114
824.903382,0.9987469856788244
825.144436,0.9986488136753651
825.38549,0.9986351322803355
825.626544,0.9986522090871038
825.867598,0.998634932553329
826.108652,0.9987293080136256
826.349706,0.9986460174626015
826.59076,0.9985843030457174
826.831814,0.998500924737506
827.072868,0.9987867365998925
827.313922,0.9988284867580546
827.554976,0.9984978293894371
827.79603,0.9987096332400549
828.037084,0.9988412718445094
828.278138,0.9984781591759503
828.519192,0.9987592703422987
828.760246,0.9989366657409566
829.0013,0.9984456093185268
829.242354,0.998806313011778
829.483408,0.998895510398134
829.724462,0.998581307297302
829.965516,0.9987479844263094
830.20657,0.9989136904618613
830.447624,0.9986176563184357
830.688678,0.9987094334981482
830.929732,0.9991297688709284
