nu,[0]o-Toluidine-PNNL(x-sec)-X=0.01-T=298.15K-P=1.0atm-L=15cm
575.245505,0.8379557367520811
575.380508,0.8379724960344084
575.51551,0.8395829487666864
575.650513,0.8406583030210089
575.785516,0.8443231318629062
575.920518,0.8449481622131921
576.055521,0.844525793733005
576.190524,0.8480039374344596
576.325527,0.8408516766678207
576.460529,0.8428468584980976
576.595532,0.8385760534861622
576.730535,0.8470631752834938
576.865537,0.8433864531394034
577.00054,0.8443062455691325
577.135543,0.8445511298868573
577.270545,0.8406498964800114
577.405548,0.8427541504426993
577.540551,0.8440276704755132
577.675554,0.8425013621177112
577.810556,0.8479954574374853
577.945559,0.8394570207692074
578.080562,0.843934832537941
578.215564,0.8468175625782252
578.350567,0.8449819608156482
578.48557,0.8456328474846846
578.620572,0.8466990164178891
578.755575,0.8475546144287337
578.890578,0.8514623465483491
579.025581,0.8521778753994941
579.160583,0.8478428319918487
579.295586,0.8522204853585041
579.430589,0.8519222603810441
579.565591,0.8568777665672663
579.700594,0.8491919743786827
579.835597,0.850772941294466
579.970599,0.8502286208131711
580.105602,0.851709306436301
580.240605,0.8525955448791055
580.375608,0.8528257767561276
580.51061,0.8501095971381089
580.645613,0.8536022014326237
580.780616,0.8525358652797743
580.915618,0.85149640572339
581.050621,0.8499310928663144
581.185624,0.851300584070427
581.320626,0.8508410058523156
581.455629,0.8488184120996842
581.590632,0.8496336690360177
581.725635,0.8562695992779394
581.860637,0.8487759722400846
581.99564,0.851675238745402
582.130643,0.8551742753477272
582.265645,0.8527746087445779
582.400648,0.8588766195227636
582.535651,0.853303492939158
582.670653,0.8565779118266085
582.805656,0.8559699573585868
582.940659,0.8549776078820227
583.075662,0.8539693293060757
583.210664,0.852970769462207
583.345667,0.8564751286443035
583.48067,0.8591343211619336
583.615672,0.8565607804396863
583.750675,0.8579924320393786
583.885678,0.8561582914651978
584.02068,0.8602261148920817
584.155683,0.8560983624823342
584.290686,0.8582498683825112
584.425689,0.8594522596757613
584.560691,0.8592546083868055
584.695694,0.8601917065356577
584.830697,0.8619224306608487
584.965699,0.8591858707676759
585.100702,0.8569291807756713
585.235705,0.8558158966321436
585.370707,0.8540718117744176
585.50571,0.8510282114654655
585.640713,0.8503476611527142
585.775716,0.8528087204111565
585.910718,0.8581125593885823
586.045721,0.8605014312971225
586.180724,0.8585932369990091
586.315726,0.8571605828923606
586.450729,0.8587220356442159
586.585732,0.8608112675795742
586.720734,0.8600626874563502
586.855737,0.8615863464535712
586.99074,0.859443665196137
587.125743,0.8593577251266925
587.260745,0.8643132655714107
587.395748,0.8620000071704987
587.530751,0.8630609195066506
587.665753,0.8624224906740174
587.800756,0.8643651259231401
587.935759,0.8657319022910943
588.070761,0.8660869251457456
588.205764,0.8646071820446741
588.340767,0.8681853936273385
588.47577,0.8651261020143242
588.610772,0.8700365993499648
588.745775,0.8660869251457456
588.880778,0.8649444446075966
589.01578,0.8672829501699042
589.150783,0.8688194003489847
589.285786,0.8688628424050445
589.420788,0.8669621148365382
589.555791,0.868254851237096
589.690794,0.8670834980292406
589.825797,0.8655328068504207
