nu,[0]o-Xylene-PNNL(x-sec)-X=0.01-T=298.15K-P=1.0atm-L=15cm
672.689454,0.9995690029059433
672.807456,0.9991977719571166
672.925459,0.9988188980506075
673.043461,0.9994584866712947
673.161463,0.9998163768607927
673.279466,0.9991534185524505
673.397468,0.999897135290937
673.51547,0.9991780779631163
673.633473,0.9998167567910881
673.751475,0.9997714461224179
673.869477,0.9991639696682603
673.98748,0.9985959865504115
674.105482,0.9996867790639229
674.223484,0.999121146418229
674.341487,0.9991104558791568
674.459489,0.9996684949599425
674.577492,1.000238028324247
674.695494,0.9992438060588581
674.813496,0.9988512603071701
674.931499,0.9991687856502005
675.049501,0.9988727358401278
675.167503,0.9989671337738969
675.285506,0.9996807209803977
675.403508,0.9990886854995124
675.52151,0.9992922905445522
675.639513,0.9992986860356772
675.757515,0.9997176798598331
675.875518,0.9993287353989562
675.99352,0.9997792543679032
676.111522,0.9994733987031592
676.229525,0.998726411702832
676.347527,0.9994124426794452
676.465529,0.9988771308898347
676.583532,0.9991433771110524
676.701534,0.9993293749695515
676.819536,0.999133835337363
676.937539,0.9990305702009767
677.055541,0.9984728672557303
677.173543,0.9991408592729145
677.291546,0.999597231133166
677.409548,0.999203767161734
677.527551,0.9987167241036234
677.645553,0.9991822745198565
677.763555,0.9989843161563658
677.881558,0.998877929991859
677.99956,0.9994172998357195
678.117562,0.9992487323429652
678.235565,0.998730306743433
678.353567,0.9993608543406606
678.471569,0.9987638646455091
678.589572,0.9994629542607151
678.707574,0.9989831173759057
678.825577,0.9993284955600885
678.943579,0.9984274377737987
679.061581,0.9991308179577365
679.179584,0.9990364345276356
679.297586,0.9993227094648499
679.415588,0.9989916087684918
679.533591,0.9989802203290661
679.651593,0.9990881859552946
679.769595,0.9985608365903278
679.887598,0.9994088647893048
680.0056,0.9985306805084219
680.123602,0.9987650631628658
680.241605,0.9986591996770344
680.359607,0.9987463864308127
680.47761,0.9982643080585272
680.595612,0.9989908095755244
680.713614,0.9985847024795186
680.831617,0.9994265244999687
680.949619,0.9991404496252462
681.067621,0.9990873367306974
681.185624,0.9995471825527799
681.303626,0.9996594380044062
681.421628,0.9982282713674725
681.539631,0.9979980066673224
681.657633,0.9983089314704232
681.775636,0.9984406171029607
681.893638,0.9987058381506593
682.01164,0.9987819424350628
682.129643,0.9999008629144057
682.247645,0.9984470071433583
682.365647,0.9982101037782591
