nu,[0]HFC-236cb-HITRAN(x-sec)-X=0.01-T=296.0K-P=0.9211atm-L=15cm
336.458821,1.0
336.57935,1.0
336.699878,1.0
336.820407,1.0
336.940935,1.0
337.061464,1.0
337.181992,1.0
337.302521,1.0
337.423049,1.0
337.543578,1.0
337.664107,1.0
337.784635,1.0
337.905164,1.0
338.025692,1.0
338.146221,1.0
338.266749,1.0
338.387278,1.0
338.507806,1.0
338.628335,1.0
338.748863,1.0
338.869392,1.0
338.989921,1.0
339.110449,1.0
339.230978,1.0
339.351506,1.0
339.472035,1.0
339.592563,1.0
339.713092,1.0
339.83362,1.0
339.954149,1.0
340.074677,1.0
340.195206,1.0
340.315735,1.0
340.436263,1.0
340.556792,1.0
340.67732,1.0
340.797849,1.0
340.918377,1.0
341.038906,1.0
341.159434,1.0
341.279963,1.0
341.400491,1.0
341.52102,1.0
341.641549,1.0
341.762077,1.0
341.882606,1.0
342.003134,1.0
342.123663,1.0
342.244191,1.0
342.36472,1.0
342.485248,1.0
342.605777,1.0
342.726306,1.0
342.846834,1.0
342.967363,1.0
343.087891,1.0
343.20842,1.0
343.328948,1.0
343.449477,1.0
343.570005,1.0
343.690534,1.0
343.811062,1.0
343.931591,1.0
344.05212,1.0
344.172648,1.0
344.293177,1.0
344.413705,1.0
344.534234,1.0
344.654762,1.0
344.775291,1.0
344.895819,1.0
345.016348,1.0
345.136876,1.0
345.257405,1.0
345.377934,1.0
345.498462,1.0
345.618991,1.0
345.739519,1.0
345.860048,1.0
345.980576,1.0
346.101105,1.0
346.221633,1.0
346.342162,1.0
346.46269,1.0
346.583219,1.0
346.703748,1.0
346.824276,1.0
346.944805,1.0
347.065333,1.0
347.185862,1.0
347.30639,1.0
347.426919,1.0
347.547447,1.0
347.667976,1.0
347.788504,1.0
347.909033,1.0
348.029562,1.0
348.15009,1.0
348.270619,1.0
348.391147,1.0
348.511676,1.0
348.632204,1.0
348.752733,1.0
348.873261,1.0
348.99379,1.0
349.114318,1.0
349.234847,1.0
349.355376,1.0
349.475904,1.0
349.596433,1.0
349.716961,1.0
349.83749,1.0
349.958018,1.0
350.078547,1.0
350.199075,1.0
350.319604,1.0
350.440132,1.0
350.560661,1.0
350.68119,1.0
350.801718,1.0
350.922247,1.0
351.042775,1.0
351.163304,1.0
351.283832,1.0
351.404361,1.0
351.524889,1.0
351.645418,1.0
351.765947,1.0
351.886475,1.0
352.007004,1.0
352.127532,1.0
352.248061,1.0
352.368589,1.0
352.489118,1.0
352.609646,1.0
352.730175,1.0
352.850703,1.0
352.971232,1.0
353.091761,1.0
353.212289,1.0
353.332818,1.0
353.453346,1.0
353.573875,1.0
353.694403,1.0
353.814932,1.0
353.93546,1.0
354.055989,1.0
354.176517,1.0
354.297046,1.0
354.417575,1.0
354.538103,1.0
354.658632,1.0
354.77916,1.0
354.899689,1.0
355.020217,1.0
355.140746,1.0
355.261274,1.0
355.381803,1.0
355.502331,1.0
355.62286,1.0
355.743389,1.0
355.863917,1.0
355.984446,1.0
356.104974,1.0
356.225503,1.0
356.346031,1.0
356.46656,1.0
356.587088,1.0
356.707617,1.0
356.828145,1.0
356.948674,1.0
357.069203,1.0
357.189731,1.0
357.31026,1.0
357.430788,1.0
357.551317,1.0
357.671845,1.0
357.792374,1.0
357.912902,1.0
358.033431,1.0
358.153959,1.0
358.274488,1.0
358.395017,1.0
358.515545,1.0
358.636074,1.0
358.756602,1.0
358.877131,1.0
358.997659,1.0
359.118188,1.0
359.238716,1.0
359.359245,1.0
359.479773,1.0
359.600302,1.0
359.720831,1.0
359.841359,1.0
359.961888,1.0
360.082416,1.0
360.202945,1.0
360.323473,1.0
360.444002,1.0
360.56453,1.0
360.685059,1.0
360.805588,1.0
360.926116,1.0
361.046645,1.0
361.167173,1.0
361.287702,1.0
361.40823,1.0
361.528759,1.0
361.649287,1.0
361.769816,1.0
361.890344,1.0
362.010873,1.0
362.131402,1.0
362.25193,1.0
362.372459,1.0
362.492987,1.0
362.613516,1.0
362.734044,1.0
362.854573,1.0
362.975101,1.0
363.09563,1.0
363.216158,1.0
363.336687,1.0
363.457216,1.0
363.577744,1.0
363.698273,1.0
363.818801,1.0
363.93933,1.0
364.059858,1.0
364.180387,1.0
364.300915,1.0
364.421444,1.0
364.541972,1.0
364.662501,1.0
364.78303,1.0
364.903558,1.0
365.024087,1.0
365.144615,1.0
365.265144,1.0
365.385672,1.0
365.506201,1.0
365.626729,1.0
365.747258,1.0
365.867786,1.0
365.988315,1.0
366.108844,1.0
366.229372,1.0
366.349901,1.0
366.470429,1.0
366.590958,1.0
366.711486,1.0
366.832015,1.0
366.952543,1.0
367.073072,1.0
367.1936,1.0
367.314129,1.0
367.434658,1.0
367.555186,1.0
367.675715,1.0
367.796243,1.0
367.916772,1.0
368.0373,1.0
368.157829,1.0
368.278357,1.0
368.398886,1.0
368.519414,1.0
368.639943,1.0
368.760472,1.0
368.881,1.0
369.001529,1.0
369.122057,1.0
369.242586,1.0
369.363114,1.0
369.483643,1.0
369.604171,1.0
369.7247,1.0
369.845228,1.0
369.965757,1.0
370.086286,1.0
370.206814,1.0
370.327343,1.0
370.447871,1.0
370.5684,1.0
370.688928,1.0
370.809457,1.0
370.929985,1.0
371.050514,1.0
371.171043,1.0
371.291571,1.0
371.4121,1.0
371.532628,1.0
371.653157,1.0
371.773685,1.0
371.894214,1.0
372.014742,1.0
372.135271,1.0
372.255799,1.0
372.376328,1.0
372.496857,1.0
372.617385,1.0
372.737914,1.0
372.858442,1.0
372.978971,1.0
373.099499,1.0
373.220028,1.0
373.340556,1.0
373.461085,1.0
373.581613,1.0
373.702142,1.0
373.822671,1.0
373.943199,1.0
374.063728,1.0
