nu,[0]2-(Perfluorononyl)ethanol-HITRAN(x-sec)-X=0.01-T=296.0K-P=0.9211atm-L=15cm
662.251716,0.3995845086904962
662.311981,0.42821066352310605
662.372246,0.43844978022996195
662.432511,0.4255767377460734
662.492776,0.4226714988956558
662.553041,0.43665144973385045
662.613306,0.437849515306406
662.673571,0.4205045412433427
662.733836,0.41435590522862353
662.794101,0.42806509664527975
662.854366,0.434860495208076
662.914631,0.4302667129084776
662.974896,0.4395033234486756
663.035161,0.46093879985198877
663.095426,0.4629945481589012
663.155691,0.44572192854693193
663.215956,0.4438937708581057
663.276221,0.46220350401704835
663.336486,0.4660184748693392
663.396751,0.44863304370049195
663.457016,0.44404472040016546
663.517281,0.4614091972897476
663.577545,0.4722862572523586
663.63781,0.4685792662716028
663.698075,0.47358209608571195
663.75834,0.4904215262666478
663.818605,0.4936245850468185
663.87887,0.4783081925340841
663.939135,0.4718000528456427
663.9994,0.4811000626761384
664.059665,0.4882391166505761
664.11993,0.4867376536113292
664.180195,0.4859060434529818
664.24046,0.48407762640089913
664.300725,0.47472005812454254
664.36099,0.47082914511508844
664.421255,0.48407762640089913
664.48152,0.4987202308890157
664.541785,0.495147292534543
664.60205,0.4904215262666478
664.662315,0.503873517372571
664.72258,0.5166291361939256
664.782845,0.5068146115258436
664.84311,0.4982068135065424
664.903375,0.5150403664158817
664.96364,0.5315276818787179
665.023905,0.5139856151541551
665.08417,0.4899166521493986
665.144435,0.5007741890306459
665.2047,0.5318945625384859
665.264965,0.5410844026566315
665.32523,0.5297129621462422
665.385495,0.5302588475799904
665.44576,0.538865109533124
665.506025,0.5328048803403256
665.56629,0.5201801942653826
665.626555,0.5251979709218156
665.68682,0.5359202051406357
665.747084,0.5309858000499155
665.807349,0.5235776139324931
665.867614,0.5394150323578101
665.927879,0.5585953220077226
665.988144,0.5513750664721382
666.048409,0.5313469931856976
666.108674,0.533353952090485
666.168939,0.5502404029398986
666.229204,0.5532639974302707
666.289469,0.5498663666526501
666.349734,0.5612830248798651
666.409999,0.574508721949023
666.470264,0.5719578380624858
666.530529,0.5639836597377305
666.590794,0.5711747923331397
666.651059,0.5762866994604086
666.711324,0.5626317219286608
666.771589,0.5530759196461795
666.831854,0.5692190188643922
666.892119,0.585640007412361
666.952384,0.5725472581349178
667.012649,0.5526999558629935
667.072914,0.563594645237948
667.133179,0.5890583700417457
667.193444,0.5947346138970185
667.253709,0.5846335723818578
667.313974,0.5808399694011175
667.374239,0.5780643987463165
667.434504,0.5595569327097104
667.494769,0.5446183526443822
667.555034,0.5620525096006305
667.615299,0.5816362654974757
667.675564,0.5705867851727089
667.735829,0.5578305703910429
667.796094,0.5790537345091736
667.856358,0.6043873370965525
667.916623,0.5918867281440585
667.976888,0.563594645237948
668.037153,0.5626317219286608
668.097418,0.5796504671202567
668.157683,0.5828356711680914
668.217948,0.5802478146825746
668.278213,0.5939203853498866
668.338478,0.609168723232834
668.398743,0.5971840032072246
668.459008,0.57608503440904
668.519273,0.579847581786672
668.579538,0.6004655547839323
668.639803,0.6056276019747495
668.700068,0.5949368580453005
668.760333,0.6010843529316989
668.820598,0.6228808689929465
668.880863,0.6347271864776971
