nu,[0]Vinylchloride-HITRAN(x-sec)-X=0.01-T=278.1K-P=1.0atm-L=15cm
626.183324,0.9207828931446763
626.302526,0.9209366767284033
626.421728,0.9136186742482963
626.540931,0.9003335258765078
626.660133,0.9020548062103673
626.779336,0.8988581890009805
626.898538,0.8860073789727991
627.01774,0.894249911328866
627.136943,0.9132341217404206
627.256145,0.9202407117087215
627.375348,0.9254575639923425
627.49455,0.93196967721767
627.613752,0.9337374341767112
627.732955,0.9342146959355696
627.852157,0.9348885076112587
627.971359,0.9330943106660549
628.090562,0.9331801592916124
628.209764,0.9359155789515949
628.328967,0.9358191846113566
628.448169,0.9307756576215713
628.567371,0.9335805794639344
628.686574,0.9365447255902449
628.805776,0.9355375454256125
628.924978,0.9345697649788707
629.044181,0.9321085510454187
629.163383,0.9278854419412886
629.282586,0.9238218767535574
629.401788,0.9180274379260268
629.52099,0.9138544182759244
629.640193,0.8949029520950152
629.759395,0.8623534996344419
629.878598,0.8727640801867019
629.9978,0.8677947980907932
630.117002,0.8160415550567788
630.236205,0.8366411784436737
630.355407,0.8948850542149528
630.474609,0.9184727892223805
630.593812,0.9334666895806638
630.713014,0.9383887220414419
630.832217,0.9410453002627036
630.951419,0.9424494453354197
631.070621,0.9446809760185497
631.189824,0.9443872259155167
631.309026,0.9435263373903191
631.428229,0.9439491318883662
631.547431,0.9450702647686453
631.666633,0.9415780826658491
631.785836,0.9383042708568184
631.905038,0.938569848542941
632.02424,0.9363845901341408
632.143443,0.9354711246178539
632.262645,0.9341605130545241
632.381848,0.9306909608904874
632.50105,0.9216221085649148
632.620252,0.9145482970730884
632.739455,0.8997844898987211
632.858657,0.8741703621089814
632.97786,0.8531584436748951
633.097062,0.851215458268381
633.216264,0.8218231936047674
633.335467,0.7902546845261201
633.454669,0.8287721589844976
633.573871,0.9000274645110904
633.693074,0.9247128704327015
633.812276,0.939183873988323
633.931479,0.9425964789172132
634.050681,0.9421309512514286
634.169883,0.9471081401227832
634.289086,0.9460820311504311
634.408288,0.9460082396299081
634.527491,0.9509983038328588
634.646693,0.9499366317817044
634.765895,0.9426021345130535
634.885098,0.9419312406598341
635.0043,0.9469954409598418
635.123502,0.9418474125098234
635.242705,0.9380734763950703
635.361907,0.9337906587273446
635.48111,0.9303541117360206
635.600312,0.9226576715526192
635.719514,0.9169347180912854
635.838717,0.9095821142979174
635.957919,0.8873107675758046
636.077122,0.8538156286602737
636.196324,0.8439432719284633
636.315526,0.8542426432193475
636.434729,0.8265126965599748
636.553931,0.7850561775518295
636.673133,0.8476308977767314
636.792336,0.9108509559424033
636.911538,0.9320498300564334
637.030741,0.9385538929911383
637.149943,0.9414189694153269
637.269145,0.9447745040647375
637.388348,0.9456024891348109
637.50755,0.9470465800943978
637.626753,0.9496402977830961
637.745955,0.9486939782248937
637.865157,0.9469859710527818
637.98436,0.9451638313563271
638.103562,0.9462201692108121
638.222764,0.9474737944316121
638.341967,0.9451373671395499
638.461169,0.940316272689674
638.580372,0.9366318282999381
638.699574,0.93095717657233
638.818776,0.9227942349934544
638.937979,0.9159055783729773
639.057181,0.9041228787558888
639.176384,0.8762358404693665
639.295586,0.8521097038963587
639.414788,0.8688280885864292
639.533991,0.8523994704532066
639.653193,0.8006110743149774
639.772395,0.8131334807065337
639.891598,0.8985706003971309
640.0108,0.925143887049395
640.130003,0.9337355667037103
640.249205,0.942723738031664
640.368407,0.9447008145273498
640.48761,0.9448737105959161
640.606812,0.9452451189411397
640.726015,0.9458379734711887
640.845217,0.9469907059944744
640.964419,0.9478651819246665
641.083622,0.9454200054646485
641.202824,0.9453859709570765
641.322026,0.9459070221634986
641.441229,0.9460054016094462
641.560431,0.9420923246742776
641.679634,0.9397090245397867
641.798836,0.9352971431694512
641.918038,0.9315336174546756
642.037241,0.9249329782876602
642.156443,0.9103146226950001
642.275646,0.8822410155882536
642.394848,0.8665634039742424
642.51405,0.8822145487547906
642.633253,0.8642268385662759
642.752455,0.8120770939817608
642.871657,0.8175362783572127
642.99086,0.8985256729903055
643.110062,0.9256204588579329
643.229265,0.93421656436683
643.348467,0.9389575579468703
643.467669,0.9424230571203871
643.586872,0.9457708213590004
643.706074,0.9473743149059632
643.825277,0.9463195275448004
643.944479,0.9428199007571588
644.063681,0.945579794947403
644.182884,0.9475874981090281
644.302086,0.9474264219262131
644.421288,0.947925847237579
644.540491,0.9474216848059462
644.659693,0.9435584178311548
644.778896,0.9420310906633007
644.898098,0.942694514048759
645.0173,0.9368725736142589
645.136503,0.928693053535881
645.255705,0.9137228327140804
645.374907,0.8854759339948521
645.49411,0.8940710792304062
645.613312,0.9038878373641173
645.732515,0.8724150443664451
645.851717,0.8098550483369698
645.970919,0.8608973530105319
646.090122,0.9189716553768317
646.209324,0.9334573549604412
646.328527,0.9400812230039365
646.447729,0.9444618354534019
646.566931,0.9449672577237714
646.686134,0.9476746801691674
646.805336,0.9497048755189635
646.924538,0.9473288420302055
647.043741,0.9471867533608176
647.162943,0.9506274868083838
647.282146,0.9487717743207045
647.401348,0.9469357821263343
647.52055,0.9500705822900746
647.639753,0.9479884124081246
647.758955,0.9444618354534019
647.878158,0.945487132668024
647.99736,0.9428830718067162
648.116562,0.936789195665581
648.235765,0.9233767019047195
648.354967,0.9011982610678295
648.474169,0.906725972186102
648.593372,0.9176456179359139
648.712574,0.8997754920988111
648.831777,0.8509346035107361
648.950979,0.8511558752717314
649.070181,0.9181651523700408
649.189384,0.9382845666740252
649.308586,0.9417645335842487
649.427789,0.9446630272505192
649.546991,0.948428381096324
649.666193,0.9471583381844466
649.785396,0.9479012014859469
649.904598,0.9513702168739188
650.0238,0.95139970980778
650.143003,0.9501864979718267
650.262205,0.9521677992560024
650.381408,0.951435863683672
650.50061,0.9476092928721235
650.619812,0.9512608155896727
650.739015,0.9514149323249167
650.858217,0.9459344538648992
650.97742,0.9464898803910547
651.096622,0.9432263437165511
651.215824,0.9268875741549045
651.335027,0.9091528928442005
651.454229,0.9301996857711821
651.573431,0.9291891080612398
651.692634,0.9131866348007612
651.811836,0.8749662191985556
651.931039,0.8751062249937922
652.050241,0.9275356950611061
652.169443,0.9485241772004365
652.288646,0.9522230265899364
