nu,[0]Ethyl2-2-2-trifluoroacetate-PNNL(x-sec)-X=0.01-T=278.13K-P=1.0atm-L=15cm
561.921238,0.9871838355527167
562.041241,0.9894361931005016
562.161243,0.9886627564506417
562.281246,0.989195789315821
562.401248,0.9890909401192591
562.52125,0.9887685490253837
562.641253,0.9903732368337195
562.761255,0.9896024323446481
562.881258,0.9895173301949113
563.00126,0.987574837764924
563.121262,0.9906416643511873
563.241265,0.9886558358355687
563.361267,0.988820955147232
563.48127,0.9877466907374701
563.601272,0.9898736205621996
563.721274,0.9878217623386509
563.841277,0.987708169367703
563.961279,0.9905640010891418
564.081282,0.9882120290073675
564.201284,0.9910535596975742
564.321286,0.9877595315279147
564.441289,0.9887774479823702
564.561291,0.9896321208629439
564.681294,0.9888446871349383
564.801296,0.9879738986042429
564.921298,0.989463897701771
565.041301,0.9895212882721482
565.161303,0.986297742383769
565.281306,0.9885678493816347
565.401308,0.9881645959683771
565.52131,0.9896044115514919
565.641313,0.9879679707786347
565.761315,0.9898607522887762
565.881318,0.9901142880913112
566.00132,0.9896855624403801
566.121322,0.9880756651566865
566.241325,0.9895400893552351
566.361327,0.9886113473239552
566.48133,0.9893293397618309
566.601332,0.9867258885049516
566.721334,0.9881606433178987
566.841337,0.990281532517964
566.961339,0.9883671904757781
567.081342,0.9901828063707523
567.201344,0.989621234969487
567.321346,0.9865374418574748
567.441349,0.9874168384311655
567.561351,0.9888733640466784
567.681354,0.9881833712740654
567.801356,0.9885984954599772
567.921358,0.9865542131365419
568.041361,0.9879165977798637
568.161363,0.987508672467356
568.281366,0.9874701603801204
568.401368,0.9884482399083785
568.52137,0.988011442325716
568.641373,0.9885243533531815
568.761375,0.9888743529205369
568.881378,0.986876869115615
569.00138,0.9878593002788362
569.121382,0.9876577975355579
569.241385,0.9875708874734735
569.361387,0.9869607572146836
569.48139,0.9886874733285127
569.601392,0.9872667624777853
569.721394,0.9896004531417625
569.841397,0.9863845404041557
569.961399,0.9892808638118531
570.081402,0.9874326372269704
570.201404,0.9874760852188571
570.321406,0.9890118160090562
570.441409,0.9871591562653204
570.561411,0.9880993792572184
570.681414,0.9861202247672047
570.801416,0.9870624194081897
570.921418,0.986709114307428
571.041421,0.9873427849453236
571.161423,0.9865828236235729
571.281426,0.9867663450957347
571.401428,0.9864999541469552
571.52143,0.9867870674065652
571.641433,0.9862415250146634
571.761435,0.9848489498258862
571.881438,0.9867416762454693
572.00144,0.9881092603004161
572.121442,0.9858806266649347
572.241445,0.9852873051353813
572.361447,0.9856686851147348
572.48145,0.9853592337340181
572.601452,0.9864249829993798
572.721454,0.9857771146336117
572.841457,0.9855632242076867
572.961459,0.9857810577499564
573.081462,0.9845387712623797
573.201464,0.9859368234622482
573.321466,0.9833954016365777
573.441469,0.9859585143109628
573.561471,0.9837465364688002
573.681474,0.9852597174770665
573.801476,0.9847071417875352
573.921478,0.9853306587305795
574.041481,0.9842355800146798
574.161483,0.9831505666647892
574.281486,0.9843950390944789
574.401488,0.9839374018102146
574.52149,0.9842119586442171
574.641493,0.982370254939607
574.761495,0.9828419058491406
574.881498,0.9830306296119651
575.0015,0.9849129670881634
575.121502,0.9831692467030156
575.241505,0.9811901552751523
575.361507,0.9806437845370405
575.48151,0.9837209593913554
575.601512,0.9820245214625299
575.721514,0.9816779279838017
575.841517,0.9825638009434855
575.961519,0.9818890114289756
576.081522,0.9813010360273429
576.201524,0.9809664694209059
576.321526,0.9812931856504562
576.441529,0.9799448347238843
576.561531,0.9809429265081558
576.681534,0.9816239371825233
576.801536,0.9790250984078582
576.921538,0.9798086318581761
577.041541,0.9796842040632624
577.161543,0.9792806573075283
577.281546,0.9786981586269727
577.401548,0.9787461160116918
577.52155,0.9785601719148981
577.641553,0.9770260148660957
577.761555,0.9802359215640534
577.881558,0.9793531267575056
578.00156,0.9764233757482094
578.121562,0.9778519507574268
578.241565,0.9783586092811477
578.361567,0.9748876942531695
578.48157,0.9775156275372767
578.601572,0.9770523949246264
578.721574,0.9752094602807475
578.841577,0.9746011193996267
578.961579,0.9772517339450797
579.081582,0.97344982142764
579.201584,0.9748087315479678
579.321586,0.9755332835732529
579.441589,0.9756523058940628
579.561591,0.9744422723635497
579.681594,0.9731373941822173
579.801596,0.9734858397373675
579.921598,0.9727170896202526
580.041601,0.9728017196884041
580.161603,0.9718556439556311
580.281606,0.9739882880511885
580.401608,0.973101388764737
580.52161,0.9709250520734052
580.641613,0.9743594482904718
580.761615,0.9701602644982501
580.881618,0.971404807538973
581.00162,0.9709337904381964
581.121622,0.9724632435882099
581.241625,0.9707988400205968
581.361627,0.9713202989968919
581.48163,0.9697373668213217
581.601632,0.97067555639659
581.721634,0.9705299659826845
581.841637,0.9709056337665474
581.961639,0.9690209956389947
582.081642,0.969626823062618
582.201644,0.9684426627541413
582.321646,0.9685027080606173
582.441649,0.9697247603174954
582.561651,0.9692758816768926
582.681654,0.9695414996564734
582.801656,0.9700826547815203
582.921658,0.967671121451976
583.041661,0.9687119272404163
583.161663,0.9698149489139097
583.281666,0.9685056135730997
583.401668,0.9675782294832024
583.52167,0.9674398756889184
583.641673,0.9682518983404904
583.761675,0.968474621889335
583.881678,0.9691062732387703
584.00168,0.9697218511475783
584.121682,0.9680940861431044
584.241685,0.9685443545724575
584.361687,0.968305153659407
584.48169,0.9682925657742308
584.601692,0.9667339022913067
584.721694,0.9678375751994777
584.841697,0.966807376859879
584.961699,0.968474621889335
585.081702,0.9689347566080766
585.201704,0.968727426755248
585.321706,0.9667890076942264
585.441709,0.9662448586752166
585.561711,0.9661289162488602
585.681714,0.9658845165509148
585.801716,0.966522210747775
585.921718,0.9649364835160661
586.041721,0.9661192550080041
586.161723,0.9655899666945031
586.281726,0.9675830673864446
586.401728,0.9659927016750223
586.52173,0.9652269731140958
586.641733,0.9655677583806658
586.761735,0.9672599486057777
586.881738,0.966637233734586
587.00174,0.9664729193719677
587.121742,0.966170460685458
587.241745,0.9656199004474415
587.361747,0.9665415413852957
587.48175,0.9645476924598689
587.601752,0.9667551706711084
587.721754,0.9662284326522407
587.841757,0.964797542666421
587.961759,0.967021064901824
588.081762,0.9665280098984369
588.201764,0.9660303761250346
588.321766,0.9670046256834545
588.441769,0.9655194811996863
588.561771,0.9642921211860565
588.681774,0.9663791760454133
588.801776,0.9678801609896669
588.921778,0.9663182960750617
589.041781,0.9657290216614245
589.161783,0.9659511648818977
589.281786,0.9639710653684619
589.401788,0.9669707811138389
589.52179,0.9659714500693539
589.641793,0.9668547515820164
589.761795,0.9666894335545901
589.881798,0.9674737366771313
590.0018,0.9669862527701097
590.121802,0.9664709864280618
590.241805,0.96726575218288
590.361807,0.9670423395992727
590.48181,0.9685656627826476
590.601812,0.9679934095934168
590.721814,0.9681870276364944
590.841817,0.9674495501360474
590.961819,0.9678995187864641
591.081822,0.9693185307539591
591.201824,0.9679256524262738
591.321826,0.9688223666950511
591.441829,0.9677243448272852
591.561831,0.9686828663185152
591.681834,0.9680853733355368
591.801836,0.9707221499415332
591.921838,0.9695618602417516
592.041841,0.9688620892263919
592.161843,0.9691595755495985
592.281846,0.971114400919472
592.401848,0.9708803905482327
592.52185,0.9705746113879562
592.641853,0.97096583178196
592.761855,0.9722007139555363
592.881858,0.972158910223623
593.00186,0.970426124831925
593.121862,0.9725235381784253
593.241865,0.9717924753917745
593.361867,0.9727540535719688
593.48187,0.9723057173027222
593.601872,0.9727598901137998
593.721874,0.9708600022741088
593.841877,0.9732668300629388
593.961879,0.9732084358049803
594.081882,0.9727345986854469
594.201884,0.9739697824495194
594.321886,0.9759352860929177
594.441889,0.9740175081381292
594.561891,0.976946878963939
594.681894,0.9759528530861699
594.801896,0.9740671842977755
594.921898,0.9768501660102916
595.041901,0.9774491587345691
595.161903,0.9766596987990763
595.281906,0.9771999409757065
595.401908,0.977077798617141
595.52191,0.9786139942044528
595.641913,0.9779957055599072
