nu,[0]2-(Perfluoroheptyl)ethanol-HITRAN(x-sec)-X=0.01-T=296.0K-P=0.9211atm-L=15cm
618.556563,0.8023422632464575
618.797621,0.8346606866605438
619.03868,0.7529473303823395
619.279739,0.7633871281699657
619.520797,0.8314949946753873
619.761856,0.8159517954225929
620.002915,0.7769960595434502
620.243973,0.7822350563775667
620.485032,0.7574710198153205
620.726091,0.7962357250342126
620.967149,0.8412049085455229
621.208208,0.7727806772151565
621.449267,0.7456268537229531
621.690325,0.7439213218073025
621.931384,0.7749242471648065
622.172443,0.7717998687003291
622.413501,0.7932712978734705
622.65456,0.8236414312752219
622.895619,0.7683192055185375
623.136677,0.7739716762919759
623.377736,0.7805472521405854
623.618795,0.791963479478866
623.859853,0.8156988895684446
624.100912,0.713816037785801
624.341971,0.7814844710620408
624.583029,0.7967295442518726
624.824088,0.7372708138099564
625.065147,0.7655582291180455
625.306205,0.7442263920843768
625.547264,0.7542359717916887
625.788323,0.7270936446838011
626.029381,0.7635932705225368
626.27044,0.7466266634298406
626.511499,0.7118628589192887
626.752557,0.730562860616075
626.993616,0.7464251014428073
627.234675,0.7701345801430424
627.475733,0.7178102648062172
627.716792,0.7170999842909264
627.957851,0.728862630687904
628.198909,0.7168992244030209
628.439968,0.753768490423377
628.681027,0.7211125869532028
628.922085,0.6846483022097014
629.163144,0.7320108080750348
629.404203,0.7112295828245142
629.645261,0.6679646673720483
629.88632,0.7046317169264776
630.127379,0.7158461567375137
630.368437,0.6778766091557609
630.609496,0.6827749335487541
630.850555,0.6732490219639916
631.091613,0.6286692470071646
631.332672,0.6516940993027796
631.57373,0.6388727395963322
631.814789,0.6716351617182258
632.055848,0.7358639705186147
632.296906,0.6748667601259853
632.537965,0.6496899694212758
632.779024,0.6450290012621803
633.020082,0.6931422734984555
633.261141,0.7126677186099489
633.5022,0.6691078641078951
633.743258,0.6730201562059074
633.984317,0.6862865686004912
634.225376,0.6962336297818741
634.466434,0.7027036686544829
634.707493,0.6732490219639916
634.948552,0.7080149993430815
635.18961,0.720795367208405
635.430669,0.6910037695634786
635.671728,0.7261417756196276
635.912786,0.6762516560175303
636.153845,0.7075337127994987
636.394904,0.7345259160911474
636.635962,0.734173428255272
636.877021,0.7518112378791691
637.11808,0.7535650004033516
637.359138,0.7204710822627464
637.600197,0.6971881235336044
637.841256,0.7635932705225368
638.082314,0.7802507005331459
638.323373,0.8129952597639266
638.564432,0.7958297483472998
638.80549,0.7741574517864537
639.046549,0.7549075406103785
639.287608,0.7689725544771986
639.528666,0.7779056769555376
639.769725,0.7644566186180338
640.010784,0.7241331461373284
640.251842,0.7552699832091363
640.492901,0.7939458651271312
640.73396,0.7744439430412283
640.975018,0.8004989966101956
641.216077,0.7560709938519774
641.457136,0.8296428267720272
641.698194,0.7878795942298051
641.939253,0.7923437131978079
642.180312,0.798667951255072
642.42137,0.7526612647527062
642.662429,0.8268681734415478
642.903488,0.7536705068886898
643.144546,0.7779056769555376
643.385605,0.7927003481055831
643.626664,0.7089927345242835
643.867722,0.7359890780274398
644.108781,0.7610319026413559
644.34984,0.770319434623927
644.590898,0.7723789357248447
644.831957,0.6844087172337445
645.073016,0.7010192020182195
645.314074,0.7115425926980793
645.555133,0.6776461702854758
645.796192,0.7046317169264776
646.03725,0.6769485540641108
646.278309,0.6979065972512896
646.519368,0.6552751861832263
646.760426,0.6004655547839323
647.001485,0.6156725693689657
647.242544,0.5812408872807663
647.483602,0.5945324385000587
647.724661,0.5812408872807663
647.96572,0.5479835558814271
648.206778,0.5509947489009236
648.447837,0.5212528699421826
648.688896,0.4999185969071555
648.929954,0.4688980085327541
