nu,[0]Diiodomethane-PNNL(x-sec)-X=0.01-T=298.15K-P=1.0atm-L=15cm
589.262585,0.6269051661175042
589.393988,0.6549541799949355
589.525391,0.6837588376940302
589.656793,0.7130597936659413
589.788196,0.740884897321983
589.919598,0.7679351419396743
590.051001,0.7942714496721041
590.182404,0.8197220168828657
590.313806,0.8433780193170413
590.445209,0.8649617436694788
590.576612,0.8853254158804752
590.708014,0.9041319200298826
590.839417,0.920696343620612
590.970819,0.9348782238942355
591.102222,0.950191248916194
591.233625,0.9596899648136725
591.365027,0.9677717644819538
591.49643,0.9785865933962282
591.627833,0.9844294935237962
591.759235,0.9900741892746501
591.890638,0.9926980894379782
592.02204,0.9952200604458139
592.153443,0.9993536489748761
592.284846,0.9979365318835545
592.416248,1.0005745449877792
592.547651,1.0002504413552011
592.679054,0.9991196477376334
592.810456,1.0002146130260812
592.941859,0.9996101060284172
593.073261,1.0011320402744261
593.204664,0.9991182489711057
593.336067,0.9994209677039404
593.467469,1.0006078946931334
593.598872,0.9994373583422136
593.730275,1.0005855013390328
593.861677,1.0012750121377254
593.99308,0.9996322276448384
594.124482,1.0014007801773175
594.255885,1.000878805923841
594.387288,1.0018646362762071
594.51869,0.9999470264031506
594.650093,1.0003897459312168
594.781496,1.0009724625353675
594.912898,1.0000300494514758
595.044301,1.000923386058649
595.175704,1.0010614629534664
595.307106,0.9995762897905351
595.438509,1.0014192061211908
595.569911,1.0007369013785095
595.701314,1.0003767809641226
595.832717,1.0004050420073702
595.964119,1.000254562395509
596.095522,1.0005852912160995
596.226925,0.9993762845913727
596.358327,1.0009324244376334
596.48973,1.0012055260630777
596.621132,1.000709451541781
596.752535,1.0016139009385838
596.883938,1.0012827219850016
597.01534,1.000934556425968
597.146743,1.0007184579673738
597.278146,1.002278491826278
597.409548,1.001634534397467
597.540951,1.000128888305384
597.672353,1.001174489172844
597.803756,1.000206341285435
597.935159,0.999921482082693
598.066561,1.0011729874122366
598.197964,1.001197416331161
598.329367,1.0016744002452613
598.460769,1.001027027031442
598.592172,1.0015843537643292
598.723574,1.0011705845999501
598.854977,1.0001694843608517
598.98638,0.9992943390958475
599.117782,1.0014481475544494
599.249185,1.0010913951386928
599.380588,1.0014284192202674
599.51199,1.0017436183377757
599.643393,1.0016459530962456
599.774795,1.000511630838432
599.906198,1.0013050508386678
600.037601,1.0001758754642762
600.169003,1.0008313153512227
600.300406,1.0004975437338433
600.431809,1.0005550639910366
600.563211,1.0008328065909935
600.694614,1.000357023717802
600.826017,1.0008452970623603
600.957419,1.000616740106019
601.088822,0.9992628318420503
601.220224,1.0008491803496462
601.351627,1.001646854578009
601.48303,1.0009477788587924
601.614432,1.0010779806038754
601.745835,1.000983683499566
601.877238,1.0009178009217374
602.00864,1.0010887923044491
602.140043,1.0015388828668654
602.271445,1.00018538718208
602.402848,0.9990846292076836
602.534251,1.0020784570034487
602.665653,1.0013616261722782
602.797056,1.0015697307395126
602.928459,1.000687866471707
603.059861,1.0002589735278555
603.191264,1.0001937487668684
603.322666,0.9998143772300386
603.454069,0.9999971747039912
603.585472,1.000899013870931
603.716874,1.000642116068314
603.848277,1.0018523134169668
603.97968,1.0014986218130268
604.111082,1.0015145457677088
604.242485,1.000520345332688
604.373887,1.0019353704164142
604.50529,1.0019141296117147
604.636693,0.9992228121670343
604.768095,1.0012598929991918
604.899498,1.0012837232682243
605.030901,1.0003577139643867
605.162303,1.0008867729508448
605.293706,1.0005555042353615
605.425109,0.999739883836077
605.556511,1.000569191928283
605.687914,1.0015191527452152
605.819316,1.0001077057998533
605.950719,1.0014330258015909
606.082122,1.0010195193568932
606.213524,1.0009514022963102
606.344927,1.001308255019957
606.47633,1.0012083294424754
606.607732,1.0014312232237668
606.739135,1.0013745438205746
606.870537,0.9997572194759623
607.00194,1.0019344686749865
607.133343,1.0014355293872848
607.264745,1.0005405560477914
607.396148,1.0018311745561694
607.527551,1.0001884777597014
607.658953,1.0000921772480615
607.790356,1.0005926555509437
607.921758,1.0019877730066027
608.053161,1.0017484267186838
608.184564,0.999637175836612
608.315966,1.0008346080916668
608.447369,1.000080545243594
608.578772,1.0008228683705673
608.710174,1.0012758131580555
608.841577,1.0013438020939671
608.972979,1.0012012208885717
609.104382,1.0007366812164153
609.235785,1.0006725460577495
609.367187,1.0013444029004286
609.49859,1.0009242368438889
609.629993,1.0010339341417582
609.761395,1.0008918474596475
609.892798,1.0003981292324138
610.0242,1.000381062585908
610.155603,1.0009794693671292
610.287006,1.001664583884239
610.418408,1.0009044587763767
610.549811,1.0005599967396612
610.681214,1.000013086085622
610.812616,1.0002295063325495
610.944019,1.0016328316202059
611.075422,1.0004380859316253
611.206824,1.0016072903086528
611.338227,1.0001483209984718
611.469629,1.001423412090689
611.601032,1.0000389367580158
611.732435,1.0002956136851164
611.863837,1.000962582985918
611.99524,1.0005397055886802
612.126643,1.001172787177659
612.258045,1.000973933965969
612.389448,1.0013993782172066
612.52085,1.00133098497533
612.652253,1.000512471268555
612.783656,1.0004492508829645
612.915058,1.001012211941074
613.046461,1.0011436534734497
613.177864,1.0011424521017864
613.309266,1.000896851931396
613.440669,1.0017012454789123
613.572071,1.0004045217968838
613.703474,1.0010108105249582
613.834877,1.0011934115495051
613.966279,1.000519704999872
614.097682,1.001298642506849
614.229085,1.000513771935613
614.360487,0.9999485963212144
614.49189,1.0008809377979682
614.623292,1.0006097858438416
614.754695,1.0011259333876064
614.886098,1.0005551840576514
615.0175,1.0013978761192657
615.148903,1.0015419876422147
615.280306,1.0002076815628305
615.411708,1.0012184416976695
615.543111,1.0012695051403029
615.674513,1.0000428819194032
615.805916,1.0006639202975796
615.937319,1.0002984645316777
616.068721,1.0015006248122733
616.200124,1.000937198896685
616.331527,1.0019022069045125
616.462929,1.0011701841317964
616.594332,1.000398619427617
616.725735,1.0005408762208206
616.857137,0.9999181513497836
616.98854,1.0001103460876817
617.119942,1.0004976838035091
617.251345,1.0002035107054945
617.382748,1.0011142202827075
617.51415,0.9998633893320872
617.645553,1.0010586599852944
617.776956,1.0001567822890587
617.908358,0.9995950220257264
618.039761,1.001463770267408
618.171163,1.0007031570991267
618.302566,1.0011278355286868
618.433969,1.000021093222459
618.565371,1.0014804948520215
618.696774,1.0011054105163322
618.828177,1.000011061061173
618.959579,1.0008952705156193
619.090982,1.000796637146949
619.222384,1.0009123159072173
619.353787,1.0003630158743206
619.48519,1.0006184211435547
619.616592,1.000894109477779
619.747995,0.9997482117039949
619.879398,1.000058216694526
620.0108,0.9995362175803303
620.142203,1.000144610455084
620.273605,1.000487508793805
620.405008,1.001180796591994
620.536411,1.0004024009415455
620.667813,1.000634571255203
620.799216,1.000289541909169
620.930619,1.0011128187237803
621.062021,0.9996766622849098
621.193424,1.000760659154552
621.324826,1.000921334167811
621.456229,0.9996652560392658
621.587632,1.0006029016721965
621.719034,1.0006884868983765
621.850437,1.0004993846510173
621.98184,1.0005754354995207
622.113242,1.0003543827787456
622.244645,1.0003174103640124
622.376048,0.9995420348980449
622.50745,1.0010993037919536
622.638853,1.0009447059538281
622.770255,1.0002780086372403
622.901658,1.001090594265897
623.033061,1.0006996046092247
623.164463,1.0006880465955392
623.295866,1.000132288749385
