nu,[0]Methylvinylether-HITRAN(x-sec)-X=0.01-T=278.1K-P=1.0atm-L=15cm
656.50713,0.9977148150198257
656.626133,0.9970270280595883
656.745135,0.9969256355667303
656.864137,0.9967360383421131
656.98314,0.9966793256750222
657.102142,0.9968090020905603
657.221144,0.9969733894483702
657.340147,0.9967492950195798
657.459149,0.9966988607812488
657.578152,0.9964388559675738
657.697154,0.9960469340177383
657.816156,0.9962814310652256
657.935159,0.9965193714799189
658.054161,0.9969058966345621
658.173163,0.9968634293479252
658.292166,0.9970045952038276
658.411168,0.9970519540468633
658.530171,0.9972750195179263
658.649173,0.9970108763525629
658.768175,0.9970157617178261
658.887178,0.9968852608960824
659.00618,0.9970225414480569
659.125183,0.9968222597384513
659.244185,0.9968256489398961
659.363187,0.9968637284069988
659.48219,0.9967000568205994
659.601192,0.9968384083898628
659.720194,0.996371698251922
659.839197,0.9965143888955179
659.958199,0.9959399643214002
660.077202,0.9960703413957233
660.196204,0.9951304946708941
660.315206,0.9944501575933695
660.434209,0.9932159165032917
660.553211,0.9918208329054974
660.672213,0.9902392483992979
660.791216,0.9890088489780587
660.910218,0.989568786433932
