nu,[0]3-3-3-Trifluoropropan-1-ol-HITRAN(x-sec)-X=0.01-T=298.0K-P=0.0atm-L=15cm
852.864471,0.9999902860471808
853.346588,0.9999904707454036
853.828704,0.9999905995441846
854.310821,0.9999907283429821
854.792938,0.9999908936414631
855.275054,0.9999909227411986
855.757171,0.9999906967432756
856.239288,0.999990363846428
856.721404,0.9999901377486323
857.203521,0.9999900843491604
857.685638,0.99998998205018
858.167755,0.9999896640534163
858.649871,0.9999891850584819
859.131988,0.9999886820640483
859.614105,0.9999882490690427
860.096221,0.9999879410727095
860.578338,0.9999877290752884
861.060455,0.9999875110779872
861.542571,0.9999872430813702
862.024688,0.9999868180868822
862.506805,0.9999862830940777
862.988921,0.9999858970994469
863.471038,0.9999857581014168
863.953155,0.9999856851024591
864.435271,0.9999854421059672
864.917388,0.9999850191122146
865.399505,0.9999847791158388
865.881622,0.9999848831142613
866.363738,0.9999849831127546
866.845855,0.9999847841157627
867.327972,0.999984558119227
867.810088,0.9999844681206209
868.292205,0.9999843241228679
868.774322,0.999984198124851
869.256438,0.9999842171245509
869.738555,0.9999841931249299
870.220672,0.9999840501272006
870.702788,0.9999838501304106
871.184905,0.9999837241324534
871.667022,0.99998368813304
872.149139,0.9999837311323395
872.631255,0.9999839531287524
873.113372,0.9999842321243143
873.595489,0.9999843241228679
874.077605,0.9999842711237
874.559722,0.9999842421241566
875.041839,0.9999843071231345
875.523955,0.9999844481209317
876.006072,0.9999846211182563
876.488189,0.9999848401149122
876.970305,0.9999851481102904
877.452422,0.9999855101049795
877.934539,0.9999857831010611
878.416655,0.9999860940966879
878.898772,0.9999865460905046
879.380889,0.9999870000844996
879.863006,0.9999874280790273
880.345122,0.9999879890721318
880.827239,0.9999885990649912
881.309356,0.999989066059776
881.791472,0.9999895160549569
882.273589,0.9999899990500098
882.755706,0.9999904537455657
883.237822,0.9999909762407143
883.719939,0.9999915716355189
884.202056,0.9999920455316369
884.684172,0.9999924393285821
885.166289,0.9999928257257352
885.648406,0.999993122223652
886.130523,0.9999933020224315
886.612639,0.9999934843212271
887.094756,0.999993790519279
887.576873,0.9999941964168408
888.058989,0.9999945245149905
888.541106,0.9999947067140095
889.023223,0.9999948404133107
889.505339,0.9999949376128139
889.987456,0.9999951029119908
890.469573,0.9999953897106274
890.951689,0.9999956035096645
891.433806,0.9999956813093256
891.915923,0.9999957566090032
892.398039,0.999995868408535
892.880156,0.9999960240079043
893.362273,0.9999961844072794
893.84439,0.9999962938068679
894.326506,0.9999963861065301
894.808623,0.9999964371063471
895.29074,0.9999965368059969
895.772856,0.999996816305068
896.254973,0.999997001004497
896.73709,0.9999970885042384
897.219206,0.9999971079041822
897.701323,0.9999971517040565
898.18344,0.9999972270038447
898.665556,0.9999972999036453
899.147673,0.9999973680034637
899.62979,0.9999974409032745
900.111906,0.9999975138030905
900.594023,0.9999975818029239
901.07614,0.9999976547027503
901.558257,0.9999977714024834
902.040373,0.9999977082026261
902.52249,0.9999976790026935
903.004607,0.9999975089031028
903.486723,0.9999975381030305
903.96884,0.9999976717027105
904.450957,0.9999977398025542
904.933073,0.9999977592025105
905.41519,0.9999977301025762
905.897307,0.999997645002773
906.379423,0.9999976013028768
906.86154,0.9999975770029355
907.343657,0.9999975138030905
907.825774,0.9999975113030968
908.30789,0.9999976013028768
908.790007,0.9999976839026822
909.272124,0.9999976717027105
909.75424,0.9999975940028945
910.236357,0.9999975381030305
910.718474,0.9999975235030665
911.20059,0.9999975041031147
911.682707,0.9999974311032996
912.164824,0.9999973072036256
912.64694,0.9999972173038717
913.129057,0.9999971687040081
913.611174,0.9999971784039807
914.09329,0.9999972319038312
914.575407,0.9999971978039262
915.057524,0.999997039904381
915.539641,0.9999969086047784
916.021757,0.9999968916048311
916.503874,0.9999969281047183
916.985991,0.9999969888045337
917.468107,0.9999969961045116
917.950224,0.9999968697048994
918.432341,0.9999967604052475
