nu,[0]Halon-1201-HITRAN(x-sec)-X=0.01-T=296.0K-P=0.9211atm-L=15cm
560.885151,0.9987877353871284
561.00568,1.0
561.126208,0.9924311888081263
561.246736,0.9872539280932967
561.367264,0.9822376439066363
561.487792,0.9672193245410476
561.608321,0.964605567057637
561.728849,0.9757723185083123
561.849377,0.9834062190454913
561.969905,0.9784632992531545
562.090434,0.9659279823321323
562.210962,0.9845151426154143
562.33149,0.9961981454189771
562.452018,0.9735588539133451
562.572546,0.9560529312950651
562.693075,0.9608134591885512
562.813603,0.9807614688521026
562.934131,0.9834868616617551
563.054659,0.9771667167425284
563.175188,0.9746527746278064
563.295716,0.972105442953924
563.416244,0.9721258573825768
563.536772,0.9609777723384464
563.6573,0.9694920543008583
563.777829,0.9708939829688471
563.898357,0.9621633887140286
564.018885,0.9832508531371121
564.139413,0.9898241281184929
564.259941,0.9722454362169825
564.38047,0.9845348331151709
564.500998,0.9949158681714937
564.621526,0.9624270576035245
564.742054,0.9558894602209888
564.862583,0.9744997661536693
564.983111,0.9684562210463277
565.103639,0.964605567057637
565.224167,0.9621970650219656
565.344695,0.9318680980590179
565.465224,0.9410744731191887
565.585752,0.9682373746709431
565.70628,0.9439472439919903
565.826808,0.9364117456810082
565.947337,0.9594654236342487
566.067865,0.9646393288433118
566.188393,0.9415253557695866
566.308921,0.9221826251867085
566.429449,0.9350970109957193
566.549978,0.9594318429320873
566.670506,0.9720626712554183
566.791034,0.9696016130929495
566.911562,0.9833049334212288
567.032091,0.9649036762333535
567.152619,0.9188402518256906
567.273147,0.9421705215823524
567.393675,0.9633177144971153
567.514203,0.9462788366799759
567.634732,0.9582821735169565
567.75526,0.95001357976523
567.875788,0.9222462579831525
567.996316,0.9326661186550433
568.116845,0.9472843186209384
568.237373,0.9437858428134617
568.357901,0.9400755825335199
568.478429,0.9424937415003022
568.598957,0.9424937415003022
568.719486,0.948550736249223
568.840014,0.9318364150822976
568.960542,0.9197218422822503
569.08107,0.9398819469086721
569.201599,0.9449181207039434
569.322127,0.9473487361447757
569.442655,0.9366037297665691
569.563183,0.9198165785108373
569.683711,0.9173309194628354
569.80424,0.9255686255635825
569.924768,0.9339774355361483
570.045296,0.9281090892812185
570.165824,0.9209201000174131
570.286353,0.9150084305803918
570.406881,0.9137867955510436
570.527409,0.9350334265608669
570.647937,0.9570362590523065
570.768465,0.9572324715965109
570.888994,0.9438509662833497
571.009522,0.9424616972578463
571.13005,0.9546132446039917
571.250578,0.9499157334056882
571.371106,0.9317721205878425
571.491635,0.925663964041863
571.612163,0.9375351767264043
571.732691,0.9353541980353403
571.853219,0.9139750550209867
571.973748,0.9161061836601181
572.094276,0.9220249454398041
572.214804,0.9375033010722847
572.335332,0.9377273911389373
572.45586,0.9304322647637876
572.576389,0.950827139543417
572.696917,0.9402683177826273
572.817445,0.9233526944225686
572.937973,0.9339129933163784
573.058502,0.9472511642499916
573.17903,0.9486474933588492
573.299558,0.9294130696225666
573.420086,0.922087645267864
573.540614,0.9244595338149044
573.661143,0.9279494682456647
573.781671,0.9496232044115769
573.902199,0.9523268245567211
574.022727,0.9497856038642887
574.143256,0.9534693492260293
574.263784,0.9462788366799759
574.384312,0.9329534240623506
574.50484,0.9327621882127621
574.625368,0.947218958257912
574.745897,0.9510553654429199
574.866425,0.9510553654429199
574.986953,0.9486474933588492
