nu,[0]HFE-227ea-HITRAN(x-sec)-X=0.01-T=298.0K-P=0.0atm-L=15cm
848.525416,0.9999991250803827
849.007533,0.9999991007804043
849.489649,0.9999989307005717
849.971766,0.9999987119008296
850.453883,0.9999986147009595
850.935999,0.9999987362007986
851.418116,0.9999990521704492
851.900233,0.9999990521704492
852.382349,0.9999985175010989
852.864466,0.9999979342021338
853.346583,0.9999977398025542
853.8287,0.9999975697029532
854.310816,0.9999970350043956
854.792933,0.9999964274063817
855.27505,0.999996135807466
855.757166,0.9999963302067337
856.239283,0.9999966218057061
856.7214,0.9999964031064689
857.203516,0.9999958441086357
857.685633,0.9999955525098901
858.16775,0.9999956254095685
858.649866,0.9999958441086357
859.131983,0.9999960143079429
859.6141,0.999995917108335
860.096216,0.9999955282099985
860.578333,0.9999951636116954
861.06045,0.9999949692126544
861.542566,0.9999946290144238
862.024683,0.9999939242184577
862.5068,0.9999931951231533
862.988917,0.999992563227653
863.471033,0.9999918827329451
863.95315,0.9999911779389146
864.435267,0.9999903030470157
864.917383,0.9999891610587417
865.3995,0.9999879210729509
865.881617,0.9999864140922893
866.363733,0.9999844461209628
866.84585,0.9999823561556545
867.327967,0.9999803871923336
867.810083,0.9999782492365513
868.2922,0.9999752113072448
868.774317,0.9999712984118985
869.256433,0.9999674095310809
869.73855,0.9999635696636008
870.220667,0.9999591718334923
870.702783,0.999954068054904
871.1849,0.9999487453135664
871.667017,0.9999434965963775
872.149134,0.9999381989097661
872.63125,0.9999330712398294
873.113367,0.9999283565665134
873.595484,0.999924200872899
