nu,[0]3-3-Dimethyl-2-pentanol-HITRAN(x-sec)-X=0.01-T=298.1K-P=1.0atm-L=15cm
568.053161,0.9385454460441128
568.187764,0.9433301043210887
568.322366,0.9403059292675633
568.456969,0.941508408465709
568.591572,0.929673341718454
568.726175,0.9356675941826059
568.860777,0.9421252984826795
568.99538,0.9471365537931898
569.129983,0.9304834399456542
569.264585,0.9425276718857395
569.399188,0.9483136282049013
569.533791,0.9381447726885013
569.668393,0.9395013717918372
569.802996,0.9434376500829732
569.937599,0.9411827029066909
570.072201,0.9462362550904182
570.206804,0.9398753677580708
570.341407,0.9358790789557704
570.47601,0.9448954429411808
570.610612,0.9425257868322807
570.745215,0.9417824272803764
570.879818,0.9378877562336468
571.01442,0.9464056465401619
571.149023,0.9478936183066679
571.283626,0.9426916859694591
571.418228,0.9403811567509639
571.552831,0.9453160149836287
571.687434,0.9375886177545325
571.822036,0.9472303249536111
571.956639,0.9524944488283463
572.091242,0.9438198197153835
572.225845,0.9473932625817375
572.360447,0.9469783951953168
572.49505,0.9444486130802624
572.629653,0.9451014526019791
572.764255,0.9529069682286939
572.898858,0.9404262961298244
573.033461,0.9422129202097855
573.168063,0.9498378435090783
573.302666,0.9489055605725928
573.437269,0.9470825685482177
573.571871,0.949156104710955
573.706474,0.9489653435060516
573.841077,0.9492111573615397
573.97568,0.9495567331137906
574.110282,0.9448907184757772
574.244885,0.955052467710079
574.379488,0.9460886537478281
574.51409,0.9523792039724925
574.648693,0.952978438931429
574.783296,0.9513968556129319
574.917898,0.949156104710955
575.052501,0.9474813742522868
575.187104,0.9446932569510639
575.321706,0.949910983838895
575.456309,0.9491076989839713
575.590912,0.9464983988383112
575.725515,0.9423900728906153
575.860117,0.9495738252888157
575.99472,0.9513683141353877
576.129323,0.9560079978632381
576.263925,0.9495253982586258
576.398528,0.9550620182825089
576.533131,0.9454994240806427
576.667733,0.9495130545086831
576.802336,0.9514539411368171
576.936939,0.9496364992295021
577.071541,0.9491997668959943
577.206144,0.9524439679603133
577.340747,0.9548509728978424
577.47535,0.9585639498950684
577.609952,0.9541446445516182
577.744555,0.9552654681590457
577.879158,0.9587595168880021
578.01376,0.9534178632713045
578.148363,0.9554192782808019
578.282966,0.9545426058375576
578.417568,0.9581135306954212
578.552171,0.9604493798849049
578.686774,0.9554746942059884
578.821376,0.9555004923710056
578.955979,0.95917474965022
579.090582,0.9615189551529404
579.225185,0.9584125087551502
579.359787,0.9582907980953287
579.49439,0.9621758969193851
579.628993,0.9547268503395068
579.763595,0.9595421839385107
579.898198,0.9623346690407165
580.032801,0.9583607558770176
580.167403,0.9551747222500695
580.302006,0.9569290769936
580.436609,0.960302442370789
580.571211,0.9623250457421427
580.705814,0.9589071772231569
580.840417,0.9662583861979305
580.97502,0.9587921152657456
581.109622,0.961325709264817
581.244225,0.9658342918619073
581.378828,0.9612978312234819
581.51343,0.9631924913339127
581.648033,0.9629160947537063
581.782636,0.966769672107429
581.917238,0.9631154390167398
582.051841,0.966682666752239
582.186444,0.9644956082907613
582.321046,0.9611046297768018
582.455649,0.970330057400983
582.590252,0.9683129001316221
582.724854,0.9649007815266669
582.859457,0.9684242625183518
582.99406,0.9706182882281902
583.128663,0.9697868246881944
583.263265,0.9668247795492864
583.397868,0.9722201581642569
583.532471,0.9730128405673634
583.667073,0.9625319678703089
583.801676,0.9701466823496224
583.936279,0.9692875130572608
584.070881,0.9647657048728395
584.205484,0.9702796015498616
584.340087,0.9767769049951633
584.474689,0.972620795395023
584.609292,0.9724330976949224
584.743895,0.9745962464062122
584.878498,0.975043688763478
585.0131,0.9729739208321406
585.147703,0.976674348804433
585.282306,0.9745046386646813
585.416908,0.9703989532808333
585.551511,0.9772018953775428
585.686114,0.9744617614038867
585.820716,0.9727268168397848
585.955319,0.9756484032926445
586.089922,0.9779702780021223
586.224524,0.9771188367464776
586.359127,0.9784544931230887
586.49373,0.977910623634641
586.628333,0.9771823515350744
586.762935,0.9747229521539402
586.897538,0.9769820496846507
587.032141,0.9785631075998174
587.166743,0.9740457550554436
587.301346,0.980506504017066
587.435949,0.9823289962553379
587.570551,0.9775635269765527
587.705154,0.9818693738451234
587.839757,0.9849218313447563
587.974359,0.9818222452462743
588.108962,0.9794667383095521
588.243565,0.9803819875980158
588.378168,0.9778490172059748
588.51277,0.9797508248542199
588.647373,0.9829775473911988
588.781976,0.9857771146336117
588.916578,0.9834514567720272
589.051181,0.9841499552439501
589.185784,0.9890207171554554
589.320386,0.983920675016562
589.454989,0.9843792888998553
589.589592,0.9876271806183989
589.724194,0.9831977590245966
589.858797,0.9820510364825606
589.9934,0.9851345974382376
590.128003,0.9852350862920207
590.262605,0.9860166875794016
590.397208,0.9883286449069931
590.531811,0.9888792973046624
590.666413,0.9853572630175214
590.801016,0.98786720318485
590.935619,0.9924825980751951
591.070221,0.9895776925930876
591.204824,0.9888694085611333
591.339427,0.9947994698243537
591.474029,0.9875452109641953
591.608632,0.9866262342228386
591.743235,0.9906984297448675
591.877838,0.9916872436367442
592.01244,0.9868966068503741
592.147043,0.9918153779059177
592.281646,0.9932625987483915
592.416248,0.9916337931348161
592.550851,0.9920259626634281
592.685454,0.9961415629712741
592.820056,0.991749226026401
592.954659,0.9950749679385017
593.089262,0.9938652946199693
593.223864,0.9942043598962595
593.358467,0.9870476135829426
593.49307,0.9934871014635599
593.627673,0.995319786492062
593.762275,0.9952816664742424
593.896878,0.9961498309805589
594.031481,0.9947752964909442
594.166083,0.9923552707260862
594.300686,0.9919487860457423
594.435289,0.9959310009020568
594.569891,0.9950531760353261
594.704494,0.9951564679157544
