nu,[0]1-Ethoxy-1-1-2-3-3-3-hexafluoropropane-HITRAN(x-sec)-X=0.01-T=298.0K-P=0.0atm-L=15cm
880.827167,0.9999648826166297
881.309284,0.9999646396251928
881.7914,0.9999643966338149
882.273517,0.9999643966338149
882.755634,0.9999646636243444
883.23775,0.999964979613228
883.719867,0.9999652226047476
884.201984,0.9999652466039133
884.684101,0.9999653196013789
885.166217,0.999965708587964
885.648334,0.9999663165672995
886.130451,0.9999671425398182
886.612567,0.9999681145083531
887.094684,0.9999689654815807
887.576801,0.9999695974621665
888.058917,0.9999703744388456
888.541034,0.9999713954091191
889.023151,0.999972416380435
889.505268,0.9999734853515195
889.987384,0.9999747733181981
890.469501,0.9999761852835749
890.951618,0.9999775682515955
891.433734,0.9999788202242946
891.915851,0.9999799472010601
892.397968,0.9999811261781129
892.880084,0.9999821471593638
893.362201,0.9999827541487114
893.844318,0.9999833791381281
894.326435,0.9999843371226641
894.808551,0.9999851561101716
895.290668,0.9999856641027599
895.772785,0.9999862370947097
896.254901,0.9999868370866319
896.737018,0.9999871780822015
897.219135,0.9999873060805685
897.701251,0.9999870460839027
898.183368,0.9999864310920584
898.665485,0.999985761101374
899.147602,0.9999855271047333
899.629718,0.9999854111064189
900.111835,0.9999847041169833
900.593952,0.9999835011361078
901.076068,0.9999825381524599
901.558185,0.999982008161855
902.040302,0.9999812501757801
902.522418,0.9999806791866493
903.004535,0.9999800181996389
903.486652,0.999979158217193
903.968769,0.9999782052375092
904.450885,0.999977063263051
904.933002,0.9999758842907884
905.415119,0.9999748703157558
905.897235,0.999973923340002
906.379352,0.9999728533684765
906.861469,0.9999718813953353
907.343585,0.9999709334224411
907.825702,0.9999697674570125
908.307819,0.9999686734906853
908.789936,0.9999680665098848
909.272052,0.9999678225177063
909.754169,0.9999675555263333
910.236286,0.999967118540607
910.718402,0.9999668755486267
911.200519,0.9999668025510475
911.682636,0.9999667295534735
912.164752,0.9999667775518778
912.646869,0.9999672885350316
913.128986,0.9999679445137881
913.611103,0.9999684544975699
914.093219,0.9999689164831025
914.575336,0.9999696454607083
915.057453,0.9999705444338237
915.539569,0.9999714194084329
916.021686,0.9999724403797733
916.503803,0.9999735823489523
916.985919,0.9999747733181981
917.468036,0.9999759862883338
917.950153,0.9999771142618825
918.43227,0.9999781422388844
918.914386,0.999979247215342
919.396503,0.9999804671907678
919.87862,0.9999815541701265
920.360736,0.9999823851551431
920.842853,0.9999830951428887
921.32497,0.9999836851330889
921.807086,0.9999841371258167
922.289203,0.9999846311181024
922.77132,0.999985345107384
923.253437,0.9999860620971335
923.735553,0.9999865000911246
924.21767,0.9999867130882718
924.699787,0.9999868540864083
925.181903,0.999986896085857
925.66402,0.9999868470865003
926.146137,0.999986723088139
926.628253,0.9999866500891108
927.11037,0.9999867890872649
927.592487,0.9999868740861456
928.074604,0.9999865260907739
928.55672,0.9999860400974403
929.038837,0.9999859480987289
929.520954,0.9999861840954405
930.00307,0.9999863370933384
930.485187,0.9999862780941462
930.967304,0.9999861740955787
931.44942,0.9999861330961464
931.931537,0.9999860790968966
932.413654,0.9999858920995174
932.895771,0.999985712102073
933.377887,0.9999858041007628
933.860004,0.9999860600971614
934.342121,0.9999861350961187
934.824237,0.9999859650984901
935.306354,0.9999856881024162
935.788471,0.9999854401059963
936.270587,0.999985345107384
936.752704,0.9999854301061419
937.234821,0.9999854301061419
937.716938,0.9999852161092828
938.199054,0.99998503211202
938.681171,0.9999848881141857
939.163288,0.9999846181183023
939.645404,0.9999845291196753
940.127521,0.9999847061169527
940.609638,0.9999846911171821
941.091755,0.9999843631222572
941.573871,0.9999840061279034
942.055988,0.9999838041311545
942.538105,0.9999836661333991
943.020221,0.9999835081359922
943.502338,0.999983204141052
943.984455,0.9999827741483667
944.466571,0.9999825071530016
944.948688,0.999982349155778
945.430805,0.9999820251615493
945.912922,0.9999815731697761
946.395038,0.9999812111765122
946.877155,0.9999809541813739
947.359272,0.9999806451873068
947.841388,0.9999802121957811
948.323505,0.9999797802044228
948.805622,0.9999796022080378
949.287738,0.9999797432051717
949.769855,0.9999799572008596
950.251972,0.9999800081998387
950.734089,0.9999799982000387
951.216205,0.9999801591968314
951.698322,0.9999802971941029
952.180439,0.9999802631947733
952.662555,0.9999803561929421
953.144672,0.9999806181878298
953.626789,0.9999807961843956
954.108905,0.9999809661811454
954.591022,0.999981454171976
955.073139,0.999982118159882
955.555256,0.9999827111494539
956.037372,0.9999832331405654
956.519489,0.9999837221324859
957.001606,0.9999842951233229
957.483722,0.9999850611115864
957.965839,0.9999858680998562
