nu,[0]Dichloromethanol-HITRAN(x-sec)-X=0.01-T=295.0K-P=0.9211atm-L=15cm
1006.659661,1.0
1007.141778,1.0
1007.623894,1.0
1008.106011,1.0
1008.588128,1.0
1009.070244,0.9999371729737003
1009.552361,1.0
1010.034478,1.0
1010.516594,0.9956820492720817
1010.998711,0.9906062000144189
1011.480828,0.9951449241676804
1011.962944,0.9924670162207232
1012.445061,0.9851434636895127
1012.927177,0.986044296433176
1013.409294,0.9912159075665803
1013.891411,0.9852823787111717
1014.373527,0.9773660790870117
1014.855644,0.9806369200545744
1015.337761,0.9851227758939978
1015.819877,0.9820461262396538
1016.301994,0.9796597122643096
1016.784111,0.9843202279143686
1017.266227,0.9895984739428354
1017.748344,0.9882564995492525
1018.23046,0.9896529033556974
1018.712577,0.9972246584010696
1019.194694,0.9962058161742292
1019.67681,0.9909161101011941
1020.158927,0.9919145644029504
1020.641044,0.995158657262392
1021.12316,0.9902249890567885
1021.605277,0.9853493801909486
1022.087394,0.9855730798892072
1022.56951,0.9817594106333076
1023.051627,0.9722065471773197
1023.533743,0.9671535558631392
1024.01586,0.96884755640405
1024.497977,0.9664893495512531
1024.980093,0.9629642417621093
1025.46221,0.9673199205817034
1025.944327,0.9695162919051846
1026.426443,0.9657821382183078
1026.90856,0.9671574244850999
1027.390677,0.969717002550444
1027.872793,0.9666817000700556
1028.35491,0.9662429261874317
1028.837026,0.9671738663010712
1029.319143,0.9672338329397284
1029.80126,0.9688533695068277
1030.283376,0.9758181808850395
1030.765493,0.9848115262768448
1031.24761,0.992333935317122
1031.729726,1.0
1032.211843,1.0
1032.69396,1.0
1033.176076,1.0
1033.658193,1.0
1034.140309,1.0
1034.622426,1.0
1035.104543,0.9920133640137039
1035.586659,0.9899250953288011
1036.068776,0.9884976635559548
1036.550893,0.9870071454603879
1037.033009,0.9868344343225977
1037.515126,0.9864506303823524
1037.997243,0.9898340264092654
1038.479359,0.9936581946731344
1038.961476,0.9914475817942576
1039.443592,0.9902249890567885
1039.925709,0.9915737019477335
1040.407826,0.9922998988468694
1040.889942,0.992415806243915
1041.372059,0.9950457131644916
1041.854176,0.9971369064922709
1042.336292,0.9958224503390717
1042.818409,0.9985612360147423
1043.300526,1.0
1043.782642,1.0
1044.264759,1.0
1044.746875,1.0
1045.228992,1.0
1045.711109,1.0
1046.193225,1.0
1046.675342,1.0
1047.157459,1.0
1047.639575,1.0
1048.121692,1.0
1048.603809,1.0
1049.085925,1.0
1049.568042,1.0
1050.050158,1.0
1050.532275,1.0
1051.014392,1.0
1051.496508,1.0
1051.978625,1.0
1052.460742,1.0
1052.942858,0.9973713609380275
1053.424975,0.9991946744488247
1053.907092,0.994772212692305
1054.389208,0.9893679243584763
1054.871325,0.9869696399014705
1055.353441,0.9807036056324221
1055.835558,0.9777082170853492
1056.317675,0.973703924990105
1056.799791,0.9625011673401482
1057.281908,0.9566630876844229
1057.764025,0.9520059444881739
1058.246141,0.9415601928522322
1058.728258,0.9333117469707859
1059.210375,0.9218027642018677
1059.692491,0.910592311000236
1060.174608,0.9036438205917756
1060.656724,0.8939101609192273
1061.138841,0.8832473438441448
1061.620958,0.8710986917457983
1062.103074,0.8611901078760624
1062.585191,0.8508324974847989
1063.067308,0.837252149481234
1063.549424,0.8250015614356289
1064.031541,0.8117198586579434
1064.513658,0.7979175561218589
1064.995774,0.7854016782745372
1065.477891,0.7725797803568039
1065.960007,0.7553530674768402
1066.442124,0.7413147352033655
1066.924241,0.7307382167445166
1067.406357,0.7165122033269384
