nu,[0]HFC-1345zfc-HITRAN(x-sec)-X=0.01-T=298.0K-P=0.9211atm-L=15cm
805.178608,1.0
805.29761,1.0
805.416612,1.0
805.535614,1.0
805.654616,1.0
805.773618,1.0
805.89262,1.0
806.011622,1.0
806.130624,1.0
806.249626,1.0
806.368628,1.0
806.48763,1.0
806.606632,1.0
806.725634,1.0
806.844636,1.0
806.963638,1.0
807.08264,1.0
807.201642,1.0
807.320644,1.0
807.439646,1.0
807.558648,1.0
807.67765,1.0
807.796652,1.0
807.915654,1.0
808.034656,1.0
808.153658,1.0
808.27266,1.0
808.391662,1.0
808.510664,1.0
808.629666,1.0
808.748668,1.0
808.86767,1.0
808.986672,1.0
809.105674,1.0
809.224676,1.0
809.343678,1.0
809.46268,1.0
809.581682,1.0
809.700684,1.0
809.819686,1.0
809.938688,1.0
810.05769,1.0
810.176692,1.0
810.295694,1.0
810.414696,1.0
810.533698,1.0
810.6527,1.0
810.771702,1.0
810.890704,1.0
811.009706,1.0
811.128708,1.0
811.24771,1.0
811.366712,1.0
811.485714,1.0
811.604716,1.0
811.723718,1.0
811.84272,1.0
811.961722,1.0
812.080724,1.0
812.199726,1.0
812.318728,1.0
812.43773,1.0
812.556732,1.0
812.675734,1.0
812.794736,1.0
812.913738,1.0
813.03274,1.0
813.151742,1.0
813.270744,1.0
813.389746,1.0
813.508748,1.0
813.62775,1.0
813.746752,1.0
813.865754,1.0
813.984756,1.0
814.103758,1.0
814.22276,1.0
