nu,[0]CFC-113a-HITRAN(x-sec)-X=0.01-T=295.0K-P=0.0036atm-L=15cm
781.547136,1.0
781.666338,1.0
781.78554,1.0
781.904742,1.0
782.023944,1.0
782.143146,1.0
782.262348,1.0
782.38155,1.0
782.500752,1.0
782.619954,1.0
782.739156,1.0
782.858358,1.0
782.97756,1.0
783.096762,1.0
783.215964,1.0
783.335166,1.0
783.454368,1.0
783.57357,1.0
783.692772,1.0
783.811974,1.0
783.931176,1.0
784.050378,1.0
784.16958,1.0
784.288782,1.0
784.407984,1.0
784.527186,1.0
784.646388,1.0
784.76559,1.0
784.884792,1.0
785.003994,1.0
785.123196,1.0
785.242398,1.0
785.3616,1.0
785.480802,1.0
785.600004,1.0
785.719206,1.0
785.838408,1.0
785.95761,1.0
786.076812,1.0
786.196014,1.0
786.315216,1.0
786.434418,1.0
786.55362,1.0
786.672822,1.0
786.792024,1.0
786.911226,1.0
787.030428,1.0
787.14963,1.0
787.268832,1.0
787.388034,1.0
787.507236,1.0
787.626438,1.0
787.74564,1.0
787.864842,1.0
787.984044,1.0
788.103246,1.0
788.222448,1.0
788.34165,1.0
788.460852,1.0
788.580054,1.0
788.699256,1.0
788.818458,1.0
788.93766,1.0
789.056862,1.0
789.176064,1.0
789.295266,1.0
789.414468,1.0
789.53367,1.0
789.652872,1.0
789.772074,1.0
789.891276,1.0
790.010478,1.0
790.12968,1.0
790.248882,1.0
790.368084,1.0
790.487286,1.0
790.606488,1.0
790.72569,1.0
790.844892,1.0
790.964094,1.0
791.083296,1.0
791.202498,1.0
791.3217,1.0
791.440902,1.0
791.560104,1.0
791.679306,1.0
791.798508,1.0
791.91771,1.0
792.036912,1.0
792.156114,1.0
792.275316,1.0
792.394518,1.0
792.51372,1.0
792.632922,1.0
792.752124,1.0
792.871326,1.0
792.990528,1.0
793.10973,1.0
793.228932,1.0
793.348134,1.0
793.467336,1.0
793.586538,1.0
793.70574,1.0
793.824942,1.0
793.944144,1.0
794.063346,1.0
794.182548,1.0
794.30175,1.0
794.420952,1.0
794.540154,1.0
794.659356,1.0
794.778558,1.0
794.89776,1.0
795.016962,1.0
795.136164,1.0
795.255366,1.0
795.374568,1.0
795.49377,1.0
795.612972,1.0
795.732174,1.0
795.851376,1.0
795.970578,1.0
796.08978,1.0
796.208982,1.0
796.328184,1.0
796.447386,1.0
796.566588,1.0
796.68579,1.0
796.804992,1.0
796.924194,1.0
797.043396,1.0
797.162598,1.0
797.2818,1.0
797.401002,1.0
797.520204,1.0
797.639406,1.0
797.758608,1.0
797.87781,1.0
797.997012,1.0
798.116214,1.0
798.235416,1.0
798.354618,1.0
798.47382,1.0
798.593022,1.0
798.712224,1.0
798.831426,1.0
798.950628,1.0
799.06983,1.0
799.189032,1.0
799.308234,1.0
799.427436,1.0
799.546638,1.0
799.66584,1.0
799.785042,1.0
799.904244,1.0
800.023446,1.0
800.142648,1.0
800.26185,1.0
800.381052,1.0
800.500254,1.0
800.619456,1.0
800.738658,1.0
800.85786,1.0
800.977062,1.0
801.096264,1.0
801.215466,1.0
801.334668,1.0
801.45387,1.0
801.573072,1.0
801.692274,1.0
801.811476,1.0
801.930678,1.0
802.04988,1.0
802.169082,1.0
802.288284,1.0
802.407486,1.0
802.526688,1.0
802.64589,1.0
802.765092,1.0
802.884294,1.0
803.003496,1.0
803.122698,1.0
803.2419,1.0
803.361102,1.0
803.480304,1.0
803.599506,1.0
803.718708,1.0
803.83791,1.0
803.957112,1.0
804.076314,1.0
804.195516,1.0
804.314718,1.0
804.43392,1.0
804.553122,1.0
804.672324,1.0
804.791526,1.0
804.910728,1.0
805.02993,1.0
805.149132,1.0
805.268334,1.0
805.387536,1.0
805.506738,1.0
805.62594,1.0
805.745142,1.0
805.864344,1.0
805.983546,1.0
806.102748,1.0
806.22195,1.0
806.341152,1.0
806.460354,1.0
806.579556,1.0
806.698758,1.0
806.81796,1.0
806.937162,1.0
807.056364,1.0
807.175566,1.0
807.294768,1.0
807.41397,1.0
807.533172,1.0
807.652374,1.0
807.771576,1.0
807.890778,1.0
808.00998,1.0
808.129182,1.0
808.248384,1.0
808.367586,1.0
808.486788,1.0
808.60599,1.0
808.725192,1.0
808.844394,1.0
808.963596,1.0
809.082798,1.0
809.202,1.0
809.321202,1.0
809.440404,1.0
809.559606,1.0
809.678808,1.0
809.79801,1.0
809.917212,1.0
810.036414,1.0
810.155616,1.0
810.274818,1.0
810.39402,1.0
810.513222,1.0
810.632424,1.0
810.751626,1.0
810.870828,1.0
810.99003,1.0
811.109232,1.0
811.228434,1.0
811.347636,1.0
811.466838,1.0
811.58604,1.0
811.705242,1.0
811.824444,1.0
811.943646,1.0
812.062848,1.0
812.18205,1.0
812.301252,1.0
812.420454,1.0
812.539656,1.0
812.658858,1.0
812.77806,1.0
812.897262,1.0
813.016464,1.0
813.135666,1.0
813.254868,1.0
813.37407,1.0
813.493272,1.0
813.612474,1.0
813.731676,1.0
813.850878,1.0
813.97008,1.0
814.089282,1.0
814.208484,1.0
814.327686,1.0
814.446888,1.0
814.56609,1.0
814.685292,1.0
814.804494,1.0
814.923696,1.0
815.042898,1.0
815.1621,1.0
815.281302,1.0
815.400504,1.0
815.519706,1.0
815.638908,1.0
815.75811,1.0
815.877312,1.0
815.996514,1.0
816.115716,1.0
816.234918,1.0
816.35412,1.0
816.473322,1.0
816.592524,1.0
816.711726,1.0
816.830928,1.0
816.95013,1.0
817.069332,1.0
817.188534,1.0
817.307736,1.0
817.426938,1.0
817.54614,1.0
817.665342,1.0
817.784544,1.0
817.903746,1.0
818.022948,1.0
818.14215,1.0
818.261352,1.0
818.380554,1.0
818.499756,1.0
818.618958,1.0
818.73816,1.0
818.857362,1.0
818.976564,1.0
819.095766,1.0
819.214968,1.0
819.33417,1.0
819.453372,1.0
819.572574,1.0
819.691776,1.0
819.810978,1.0
819.93018,1.0
820.049382,1.0
820.168584,1.0
820.287786,1.0
820.406988,1.0
820.52619,1.0
820.645392,1.0
820.764594,1.0
820.883796,1.0
821.002998,1.0
821.1222,1.0
821.241402,1.0
821.360604,1.0
821.479806,1.0
821.599008,1.0
821.71821,1.0
821.837412,1.0
821.956614,1.0
822.075816,1.0
822.195018,1.0
822.31422,1.0
822.433422,1.0
822.552624,1.0
822.671826,1.0
822.791028,1.0
822.91023,1.0
823.029432,1.0
823.148634,1.0
823.267836,1.0
823.387038,1.0
823.50624,1.0
823.625442,1.0
823.744644,1.0
823.863846,1.0
823.983048,1.0
824.10225,1.0
824.221452,1.0
824.340654,1.0
824.459856,1.0
824.579058,1.0
824.69826,1.0
824.817462,1.0
824.936664,1.0
825.055866,1.0
825.175068,1.0
825.29427,1.0
825.413472,1.0
825.532674,1.0
825.651876,1.0
825.771078,1.0
825.89028,1.0
826.009482,1.0
826.128684,1.0
826.247886,1.0
826.367088,1.0
826.48629,1.0
826.605492,1.0
826.724694,1.0
826.843896,1.0
826.963098,1.0
827.0823,1.0
827.201502,1.0
827.320704,1.0
827.439906,1.0
827.559108,1.0
827.67831,1.0
827.797512,1.0
827.916714,1.0
828.035916,1.0
828.155118,1.0
