nu,[0]Furfurylalcohol-HITRAN(x-sec)-X=0.01-T=298.1K-P=1.0atm-L=15cm
611.426229,0.9106897495903845
611.561231,0.9106624293077031
611.696234,0.9111515863591548
611.831237,0.9119181871537335
611.966239,0.9122629573859463
612.101242,0.9142913451050532
612.236245,0.9127036868219545
612.371247,0.9138599014188834
612.50625,0.9151081719351302
612.641253,0.9127146393319112
612.776256,0.915614366704164
612.911258,0.9157462246665148
613.046261,0.9149818957206622
613.181264,0.9170823564654683
613.316266,0.9161941340753018
613.451269,0.918054061107761
613.586272,0.9167999385942617
613.721274,0.9180017335176284
613.856277,0.9193558658231683
613.99128,0.9172795503696934
614.126283,0.9184140088448625
614.261285,0.9210296960301485
614.396288,0.9178484400284935
614.531291,0.9211393050855856
614.666293,0.9207396173656873
614.801296,0.9213447420559905
614.936299,0.9222573250046503
615.071301,0.9218820426485134
615.206304,0.9227361007878966
615.341307,0.9208040713947676
615.47631,0.9223680025241693
615.611312,0.9240925962219115
615.746315,0.9212148416055576
615.881318,0.9232751360537342
616.01632,0.9238477441282481
616.151323,0.9240353042570151
616.286326,0.9236925507438438
616.421328,0.9228939021527635
616.556331,0.9244123875809191
616.691334,0.9233231476090986
616.826337,0.923962308351355
616.961339,0.9246083837819495
617.096342,0.9221669482153348
617.231345,0.923268673150402
617.366347,0.923936437768911
617.50135,0.9232105090561817
617.636353,0.9255945418479247
617.771355,0.9252826690408414
617.906358,0.9262195290731305
618.041361,0.924809045572247
618.176364,0.9266373482918943
618.311366,0.9271193250160938
618.446369,0.9250060508792742
618.581372,0.927639584876674
618.716374,0.9282919447824823
618.851377,0.9242866760447863
618.98638,0.9282529573395435
619.121382,0.9274243974556886
619.256385,0.9267930364438459
619.391388,0.9283717813226556
619.526391,0.9268328894012454
619.661393,0.9278511108150665
619.796396,0.92712952338476
619.931399,0.9272686032439963
620.066401,0.9290748248295111
620.201404,0.925602872236288
620.336407,0.9283922057265124
620.471409,0.9283532140727023
620.606412,0.9259824472214596
620.741415,0.9289410476869211
620.876418,0.9279364770440478
621.01142,0.9278223478764591
621.146423,0.928420986330987
621.281426,0.9280719656601246
621.416428,0.9286131893674855
621.551431,0.9268532799491075
621.686434,0.9285500458175135
621.821436,0.9284906205162111
621.956439,0.9270312528637108
622.091442,0.9287562068107085
622.226445,0.9283420739009747
622.361447,0.9279578198284609
622.49645,0.9287134850078043
622.631453,0.9289930698421983
622.766455,0.9302982921639203
622.901458,0.9304918143342984
623.036461,0.9300908587744503
623.171463,0.9314367429960194
623.306466,0.9295999004254275
623.441469,0.9316165276360774
623.576472,0.9324134003817606
623.711474,0.9306155779757046
623.846477,0.9330075369302042
623.98148,0.9320731315934527
624.116482,0.9332398847330008
624.251485,0.9332473506819424
624.386488,0.9339428790103331
624.52149,0.9344828540321494
624.656493,0.9334928270138945
624.791496,0.9351961365324455
624.926499,0.9349193594410623
625.061501,0.9339914453027544
625.196504,0.9362432067357457
625.331507,0.9347968930267008
625.466509,0.9335553731285758
625.601512,0.9336991517267056
625.736515,0.9331195045525588
625.871517,0.9329814130849057
626.00652,0.932012548808861
626.141523,0.9302620112380086
626.276526,0.930056446049315
626.411528,0.926293629599438
626.546531,0.9253132038727419
626.681534,0.923590950151397
626.816536,0.9173180769198609
626.951539,0.914655305483716
627.086542,0.9103146226950001
627.221544,0.9033095342249482
627.356547,0.8989121221102976
627.49155,0.8962015025971503
627.626553,0.893829712624972
627.761555,0.889282785609933
627.896558,0.8914463704699241
628.031561,0.8944913914032678
628.166563,0.8944735017543369
628.301566,0.8982920866828639
628.436569,0.9004505768430198
628.571571,0.9012252974212048
