nu,[0]3-Methoxyphenol-HITRAN(x-sec)-X=0.01-T=323.1K-P=1.0atm-L=15cm
697.04294,0.8817382815021945
697.283994,0.8763234684347387
697.525048,0.8741616204490686
697.766102,0.8966497153923099
698.007156,0.909072890909767
698.24821,0.9024788716168504
698.489264,0.9067069311406177
698.730318,0.9116492109644617
698.971372,0.9127511486476659
699.212426,0.9201413310785076
699.45348,0.9171951645328675
699.694534,0.9347136998053747
699.935588,0.9221770921075565
700.176642,0.9337215607752545
700.417696,0.9396122394947745
700.65875,0.9403068695739627
700.899804,0.9414500367539259
701.140858,0.9475619135919717
701.381912,0.9597907375504541
701.622966,0.9451165743461943
701.86402,0.9426077901428275
702.105074,0.9493782332274803
702.346128,0.957216198782813
702.587182,0.950634141224082
702.828236,0.9608490099442262
703.06929,0.9750388135572222
703.310344,0.965555206081397
703.551398,0.9648843783528083
703.792452,0.9779164911159852
704.033506,0.9799428748361747
704.27456,0.9662554874271201
704.515614,0.96922935755116
704.756668,0.9713047579964363
704.997722,0.9761500154752241
705.238776,0.9632820724010618
705.47983,0.9838134335077536
705.720884,0.969717002550444
705.961938,0.974948139163986
706.202992,0.9711309100046144
706.444046,0.985317849515276
706.6851,0.9882634173689617
706.926154,0.9761714910117946
707.167208,0.9931537431329653
707.408262,0.9959228343013325
707.649316,0.964232336927874
707.89037,0.9692312960118136
708.131424,0.9911331444937048
708.372478,0.9699681917817059
708.613532,0.985655871505117
708.854586,0.976690952409493
709.09564,0.9899993424951847
709.336694,0.9794011162364494
