nu,[0]Valeraldehyde-HITRAN(x-sec)-X=0.01-T=278.1K-P=1.0atm-L=15cm
630.916618,0.9999074502829893
631.034621,0.9988813261825945
631.152623,0.9999995964500814
631.270625,0.9989892111915079
631.388628,0.999266009502908
631.50663,0.9982435443768626
631.624632,0.9994785959783454
631.742635,0.9993155043740891
631.860637,0.9989449569496908
631.97864,0.9997116815717488
632.096642,0.9990218586923868
632.214644,0.9988810265182416
632.332647,0.9986303388432048
632.450649,0.9993973816474191
632.568651,0.998603276327721
632.686654,0.9994452039562706
632.804656,0.999624020697939
632.922658,0.9991744809285102
633.040661,0.9988024176747532
633.158663,0.9987887341753632
633.276666,0.9982953545612784
633.394668,0.997882644765798
633.51267,0.9985656296938469
633.630673,0.9985237906704963
633.748675,0.998547655674279
633.866677,0.9976339036293289
633.98468,0.9992038770741544
634.102682,0.9985858009232954
634.220684,0.9988113070558281
634.338687,0.9982616127485341
634.456689,0.9987466860547736
634.574691,0.9966050758311004
634.692694,0.9977975290064383
634.810696,0.9963591440476156
634.928699,0.9976457755434198
635.046701,0.9964476246680884
635.164703,0.9980246535698349
635.282706,0.997472000785541
635.400708,0.997455941615605
635.51871,0.996806809113168
635.636713,0.9971412939043117
635.754715,0.9968940335249779
635.872717,0.9967773040682951
635.99072,0.9970237378758244
636.108722,0.9969077907575652
636.226725,0.9975782372106139
636.344727,0.9959876709882568
636.462729,0.9971281317261028
636.580732,0.9964971493457125
636.698734,0.9962789403647614
636.816736,0.9961264217345905
636.934739,0.9970684055398296
637.052741,0.9964797107981868
637.170743,0.996821761327446
637.288746,0.9956525775196073
637.406748,0.9965525561275104
637.52475,0.997108588206248
637.642753,0.9969547462203023
637.760755,0.9965467761394469
637.878758,0.9961939613955528
637.99676,0.9963502764906943
638.114762,0.996217471850464
638.232765,0.9966597909516798
638.350767,0.9957676816104568
638.468769,0.9962916928168135
638.586772,0.9954870142629322
638.704774,0.9967274664490425
638.822776,0.9956789626625132
638.940779,0.996003507318124
639.058781,0.9944981906959715
639.176784,0.9959086922974939
639.294786,0.9950881030147698
639.412788,0.996216276390215
639.530791,0.9950081011474056
639.648793,0.9951045221039266
639.766795,0.9943992430487243
639.884798,0.9944453842440691
640.0028,0.9949478054834531
640.120802,0.9937650186707488
640.238805,0.9950042206233781
640.356807,0.9952917188698382
640.474809,0.9947571917453017
640.592812,0.9930925667466404
640.710814,0.9938757302603498
640.828817,0.9932230676836347
640.946819,0.9929679414499146
641.064821,0.9936406070787395
641.182824,0.9940776069210466
641.300826,0.9941867626348255
641.418828,0.9928004418871774
641.536831,0.99291084743475
641.654833,0.9929375570957892
641.772835,0.9930549292515958
641.890838,0.9929720126268206
642.00884,0.993991523527752
