nu,[0]Diethylamine-HITRAN(x-sec)-X=0.01-T=278.1K-P=1.0atm-L=15cm
635.51191,0.9734819458017964
635.640113,0.9754503667681633
635.768315,0.9744257069857256
635.896518,0.9741285524634632
636.02472,0.9732746162287239
636.152923,0.9739298505070493
636.281126,0.9733700018149317
636.409328,0.9735578803549779
636.537531,0.974278579812352
636.665733,0.9734274323392227
636.793936,0.9732483381688412
636.922138,0.9726159323032038
637.050341,0.972667482313679
637.178544,0.9733057615147652
637.306746,0.9730576001874929
637.434949,0.9739093981949387
637.563151,0.9725342359961832
637.691354,0.9720286496573058
637.819556,0.9716000795294659
637.947759,0.9720996103387641
638.075962,0.9724476843007871
638.204164,0.9717944189786689
638.332367,0.9728678724545115
638.460569,0.9710338017691067
638.588772,0.9705202607315511
638.716974,0.9710425411126495
638.845177,0.971856615811761
638.973379,0.9725809187598884
639.101582,0.9703863381764389
639.229785,0.971376637208026
639.357987,0.9707658334211514
639.48619,0.970505703036823
639.614392,0.9708396144281342
639.742595,0.9707580673255485
639.870797,0.9715378991141705
639.999,0.9698828383364357
640.127203,0.9708289352511111
640.255405,0.969377660987789
640.383608,0.9692400191327317
640.51181,0.9698488930311403
640.640013,0.9702184758604434
640.768215,0.9701942207017377
640.896418,0.9682722318438566
641.02462,0.9686247470901304
641.152823,0.9682983755470548
641.281026,0.9680253539030117
641.409228,0.9694804204660098
641.537431,0.9686034375800998
641.665633,0.9689919254451806
641.793836,0.9673634509575556
641.922038,0.9679266203524102
642.050241,0.967465996918197
642.178444,0.9671409829486372
642.306646,0.9675492025717238
642.434849,0.9671293773264756
642.563051,0.9671100349323537
642.691254,0.9660033276531835
642.819456,0.9664197648231657
642.947659,0.9665792372404741
643.075862,0.9659048003387414
643.204064,0.9672125540294726
643.332267,0.9652482083410909
643.460469,0.9654152107264237
643.588672,0.9651449323081647
643.716874,0.9653765948903165
643.845077,0.965976279938679
643.973279,0.9649229744998602
644.101482,0.9660593574710364
644.229685,0.9648168388102352
644.357887,0.9640915692829707
644.48609,0.964376018250069
644.614292,0.9641773772510348
644.742495,0.964799472263436
644.870697,0.9639720293400093
644.9989,0.96427862119086
645.127103,0.9629806122933683
645.255305,0.9632252404353496
645.383508,0.9628159566871217
645.51171,0.962787072641684
645.639913,0.9633658815870074
645.768115,0.962585871169788
645.896318,0.9623808622134578
646.02452,0.9615151090848119
646.152723,0.9608566967670529
646.280926,0.9617228187802137
646.409128,0.961429538048071
646.537331,0.9618151486025772
646.665533,0.9602774748318668
646.793736,0.96070297199388
646.921938,0.9600508760875099
647.050141,0.9594730993883408
647.178344,0.9601161617667718
647.306546,0.9594260863582994
647.434749,0.9608009686947702
647.562951,0.9586646043940762
647.691154,0.9591872190030161
647.819356,0.9584930187872596
647.947559,0.9585792870409636
648.075762,0.9592044845283474
648.203964,0.9585975002204421
648.332167,0.9583712979033133
648.460369,0.9572927791418893
648.588572,0.9572008834461555
648.716774,0.9568391298879428
648.844977,0.956620995434601
648.973179,0.9581058658178352
649.101382,0.9565741221542294
649.229585,0.9561628837043064
649.357787,0.9553208751629865
649.48599,0.9555176915346604
649.614192,0.9551804533155962
649.742395,0.9549817964423376
649.870597,0.9560902180864733
649.9988,0.9549149500562374
650.127003,0.9538288749370258
650.255205,0.9528431256005746
650.383408,0.9528355028860607
650.51161,0.9540225218531351
650.639813,0.9535685151948898
