nu,[0]Methylbutylether-PNNL(x-sec)-X=0.01-T=278.12K-P=1.0atm-L=15cm
639.294786,1.000425550520943
639.412788,1.0003208714682401
639.530791,1.000196859374264
639.648793,1.0007015559753563
639.766795,0.999822975670656
639.884798,0.9997626581700295
640.0028,1.00080097060577
640.120802,1.0001590526475312
640.238805,0.999702484266586
640.356807,1.0000142241011616
640.474809,1.000521275817042
640.592812,1.0000966696722116
640.710814,1.0001389196484407
640.828817,1.0002764582075285
640.946819,1.0000104900550202
641.064821,1.00022773592789
641.182824,1.0002554526224656
641.300826,1.000317630433867
641.418828,1.0002297463876597
641.536831,0.9999272696449805
641.654833,1.0002604239044188
641.772835,1.0007590079008266
641.890838,1.0000208882181558
642.00884,0.9995231637225706
642.126843,1.0003411881914552
642.244845,1.000171724743006
642.362847,1.0000731316739906
642.48085,0.9999856091035499
642.598852,1.0004452090761555
642.716854,0.9997821637297665
642.834857,1.0005619678447963
642.952859,0.999860269763179
643.070861,1.0004563540978622
643.188864,1.0002530720173213
643.306866,1.0000367776762822
643.424868,0.9997173799445741
643.542871,1.0006549643955704
643.660873,0.9995947221472646
643.778876,1.0001830467510124
643.896878,1.000400270086701
644.01488,1.000385074122012
644.132883,1.000281459602323
644.250885,0.9998242054536725
644.368887,0.9998035992891453
644.48689,1.000577226531153
644.604892,1.000140359849522
644.722894,1.0000894149972825
644.840897,0.9996748028880471
644.958899,0.9993714176407179
645.076902,0.9999358420582087
645.194904,1.0002879314443032
645.312906,1.000110246076652
645.430909,1.0004070528235256
645.548911,0.9997065630610426
645.666913,0.9996478920045755
645.784916,1.000294443339933
645.902918,1.0000639300434382
646.02092,0.999863459322527
646.138923,1.000026204343328
646.256925,1.000169804415138
646.374927,1.0004355348177587
646.49293,0.9998725581214062
646.610932,1.0001221174557295
646.728935,1.0001236976499235
646.846937,1.0002029905998042
646.964939,1.0003353362126213
647.082942,1.0001534917786579
647.200944,1.0003837836260987
647.318946,1.0004400467921952
647.436949,0.9997776747179292
647.554951,1.0006374430805436
647.672953,0.9998621694994964
647.790956,0.9997518108040354
647.908958,0.9997331356146364
648.026961,0.9999636666600717
648.144963,1.0001766856070635
648.262965,0.9993553478775234
648.380968,0.999831644173433
648.49897,0.9994083151145803
648.616972,1.0005613474965684
648.734975,0.9998999450058348
648.852977,0.9998558503905535
648.970979,0.9996619871392233
649.088982,1.0002946534017882
649.206984,0.9992953383906863
649.324986,1.0001174668986959
649.442989,0.9998434522548773
649.560991,0.9997853430421023
649.678994,1.0000501642581843
649.796996,1.0003418284100205
649.914998,0.9995861556572033
650.033001,0.9999874230790902
650.151003,1.0001111061718335
650.269005,1.0000155071202341
650.387008,1.000004576910474
650.50501,1.0001049255042957
650.623012,0.9999050065121671
650.741015,0.9992071144999607
650.859017,1.0001454205725464
650.97702,0.9995632354094358
651.095022,1.000338537290819
651.213024,0.9999274496319053
651.331027,0.9998614096045363
651.449029,0.9996256600826772
651.567031,1.0000041087084408
651.685034,0.9995664040299143
651.803036,0.9993472431385169
651.921038,0.9997150106171914
652.039041,0.999648701719696
652.157043,0.9996822804835389
652.275046,0.9992003199146837
652.393048,0.9996240706791413
652.51105,0.9999380839168798
652.629053,0.9998674487856886
652.747055,0.9995298305643064
652.865057,0.9997747453736338
652.98306,0.999260903266646
653.101062,0.9999140796913611
653.219064,0.999262412151749
653.337067,0.999540875429957
