nu,[0]Propene-HITRAN(x-sec)-X=0.01-T=150.0K-P=0.5189atm-L=15cm
823.396089,0.994299708666274
823.426222,0.9944588093473757
823.456354,0.9964051769034215
823.486486,0.9973603899133978
823.516619,0.9958117950958587
823.546751,0.9981655846004156
823.576883,0.9997815338672018
823.607016,0.9929827367824672
823.637148,0.9892798745314839
823.66728,0.9942277239732439
823.697413,0.996638163668873
823.727545,0.9959407610736905
823.757677,0.9971833741548015
823.78781,0.9951331815268569
823.817942,0.9899953825057348
823.848074,0.9900599323089748
823.878207,0.9944473731368265
823.908339,0.9962442704608965
823.938471,0.9951445261097903
823.968604,0.9945382697806446
823.998736,0.9946216155797925
824.028868,0.9941633995204213
824.059001,0.9935691668873962
824.089133,0.9938302117942847
824.119265,0.9945118154145131
824.149398,0.9946140564842386
824.17953,0.995049792860279
824.209662,0.996556940968404
824.239795,0.9972665427162869
824.269927,0.9962025287004602
824.300059,0.9944550304110802
824.330192,0.9938567474151886
824.360324,0.9958004429061021
824.390456,0.9972407138473158
824.420589,0.9958573047347818
824.450721,0.9949967581197079
824.480853,0.9933269642502102
824.510986,0.9896944696505244
824.541118,0.9915316601140641
824.57125,0.9966134473488977
824.601383,0.9964669559395197
824.631515,0.9953985194010191
824.661647,0.9947163080648864
824.69178,0.9909917198848714
824.721912,0.9913088879794232
824.752044,0.9952960981630358
824.782177,0.9942277239732439
824.812309,0.9913465584329004
824.842441,0.9907237919493039
824.872574,0.9919206151002479
824.902706,0.9952658416215534
824.932838,0.9957587197416508
824.962971,0.9943527062531191
824.993103,0.9958383836257431
825.023235,0.9938264352466554
825.053368,0.991739308583728
825.0835,0.9979485071937888
825.113632,0.9996303783269279
825.143765,0.9937318274734213
825.173897,0.9942391576578131
825.204029,0.9953681602091573
825.234162,0.992763411121323
825.264294,0.9971309236887803
825.294426,1.0
825.324559,0.9936939670120409
825.354691,0.9937053945583698
825.384823,0.9990844693541556
825.414956,0.9954932858508775
825.445088,0.9928542531293992
825.47522,0.9980808439395751
825.505353,0.9978763581249389
825.535485,0.9953719426153527
825.565617,0.9993036625555252
825.59575,0.9971054971744158
825.625882,0.9896905108805634
825.656014,0.9927672829061764
825.686147,0.9969760812801557
825.716279,0.9933951088172897
825.746411,0.9935955961787434
825.776544,0.9957435843241402
825.806676,0.9945118154145131
825.836808,0.9968488752481018
825.866941,0.998287967202988
825.897073,0.9950839236535138
825.927205,0.995102830427677
825.957338,0.9956146438790442
825.98747,0.9935577409076765
826.017602,0.9930621785790393
826.047735,0.9929184928777101
826.077867,0.9953075441339788
826.107999,0.9995518404535034
826.138132,0.9983861037334955
826.168264,0.9972661438097495
826.198396,0.9974188369447281
826.228529,0.9919848936387086
826.258661,0.9914183345219941
826.288793,0.9978109993640045
826.318926,0.9972589635193632
826.349058,0.9954515755560371
826.37919,0.9982986489413842
826.409323,0.9966791263391769
826.439455,0.9937242751402314
826.469587,0.9937886705596496
826.49972,0.9933382882421492
826.529852,0.9954667065349807
826.559984,0.9967053393448991
826.590117,0.9914674109441843
826.620249,0.990327680712624
826.650381,0.9969559425667156
826.680514,0.9989775230861124
826.710646,0.9937204989951606
826.740778,0.9911918213126756
826.77091,0.9942353795561925
826.801043,0.9951710968233549
826.831175,0.9938567474151886
826.861307,0.9967725195487185
826.89144,0.9974883594604946
826.921572,0.9929184928777101
826.951704,0.9948072292904803
826.981837,0.9986234483176392
827.011969,0.9932021108980015
827.042101,0.989897377814179
827.072234,0.9933836848392262
827.102366,0.9934290835109751
827.132498,0.9937962233822465
827.162631,0.9974112565903727
827.192763,0.9966081653116241
827.222895,0.9949550686289436
827.253028,0.9955312148676115
827.28316,0.9931870143406499
827.313292,0.9930584049499306
827.343425,0.9965292370705311
827.373557,0.9948943782208335
827.403689,0.9937204989951606
827.433822,0.9972566698263848
827.463954,0.994401927930305
827.494086,0.9897093151789104
827.524219,0.9939475900733485
827.554351,0.9971180607828307
827.584483,0.9947049683636109
827.614616,0.9948451321679614
827.644748,0.995129400027952
827.67488,0.9940271090612716
827.705013,0.9954287799759672
827.735145,0.9966864021233558
827.765277,0.9984777597847665
827.79541,1.0
827.825542,0.998291061900483
827.855674,0.9927899182582688
827.885807,0.9931756920732235
827.915939,0.9967949471827182
827.946071,0.9977391595583144
827.976204,0.9951710968233549
828.006336,0.9944511520440243
828.036468,0.9975643709694872
828.066601,0.9966268020585685
828.096733,0.993243726938298
828.126865,0.994977753863119
828.156998,0.9958914632261491
828.18713,0.9952468322255187
828.217262,0.9982564218016443
828.247395,0.9979234590006144
828.277527,0.9946936287916072
828.307659,0.9953340196667758
828.337792,0.9954629237686832
828.367924,0.9962404847398616
828.398056,0.9979850327775662
828.428189,0.992884436357477
828.458321,0.9900637935502403
828.488453,0.995724565803307
828.518586,0.996378174689009
828.548718,0.9941822888044598
828.57885,0.9967338455252409
828.608983,0.9946822893488739
828.639115,0.9914561082801249
828.669247,0.9960469340177383
828.69938,0.9978919251175479
828.729512,0.9947087482496724
828.759644,0.9968799774182009
828.789777,0.9989219814798999
828.819909,0.9943034870123458
828.850041,0.9913201889651616
828.880174,0.9928390625755343
828.910306,0.9939438130796826
828.940438,0.9932248554867655
828.970571,0.990078842634275
829.000703,0.9887527288551611
829.030835,0.9942126118266921
829.060968,0.998059185820253
829.0911,0.9958838944797898
829.121232,0.9953188907046573
829.151365,0.9941255226164591
829.181497,0.9917695570939273
829.211629,0.9955349978934158
829.241762,0.9978269644677149
829.271894,0.9958952476208996
829.302026,0.9983728252866176
829.332159,0.9954629237686832
829.362291,0.9869350965685858
829.392423,0.9916977555772399
829.422556,1.0
829.452688,0.9998578401056756
829.48282,0.995383289920178
829.512953,0.9930773725466051
829.543085,0.9923022803694845
829.573217,0.9944171423961927
829.60335,0.9960204395216717
829.633482,0.9983256033687887
829.663614,0.9992111812811926
829.693747,0.9941141896500995
829.723879,0.993701618485045
829.754011,0.9980432170010307
829.784144,0.995049792860279
829.814276,0.9930130232178048
829.844408,0.997433299622718
829.874541,0.9976885754652424
829.904673,0.994023331765434
829.934805,0.9927748279661978
829.964938,0.9957094309049324
829.99507,0.9992751228504715
830.025202,0.9968157804148209
830.055335,0.9941937219665217
830.085467,0.9958307156997106
