nu,[0]Methylbromide-PNNL(x-sec)-X=0.01-T=278.18K-P=1.0atm-L=15cm
636.038721,0.9807026249293068
636.157723,0.978302844429732
636.276726,0.9787930969527939
636.395728,0.9831731793878677
636.51473,0.9811224554901077
636.633733,0.9813255688599026
636.752735,0.9846244298615745
636.871737,0.9840741786148339
636.99074,0.9836875134473204
637.109742,0.98585992338916
637.228745,0.9863431131234377
637.347747,0.98653842839541
637.466749,0.9872233236958965
637.585752,0.9880865340487821
637.704754,0.9877664458688356
637.823756,0.988580700847211
637.942759,0.9899508337158773
638.061761,0.9898439247990214
638.180764,0.9897122843113096
638.299766,0.991076354191583
638.418768,0.9913758035877381
638.537771,0.9909714047628445
638.656773,0.992747824858121
638.775776,0.9925367891044516
638.894778,0.9925664663981192
639.01378,0.9939087274823453
639.132783,0.9932262460025366
639.251785,0.9934114999718118
639.370787,0.9949904896598774
639.48979,0.9943463424161634
639.608792,0.9947693278570712
639.727795,0.9956140465104372
639.846797,0.9950235238924994
639.965799,0.9956477983987051
640.084802,0.9962087051752851
640.203804,0.9956668154532669
640.322806,0.9967398259462552
640.441809,0.9967201903650952
640.560811,0.9967121169642505
640.679814,0.997356300744182
640.798816,0.9969920330250699
640.917818,0.9973754501689902
641.036821,0.997684584718922
641.155823,0.9976280176066612
641.274825,0.9977701897286932
641.393828,0.9976674246916415
641.51283,0.9980907249888411
641.631833,0.9983104289349435
641.750835,0.998468573831632
641.869837,0.9986720824638041
641.98884,0.9986543062589449
642.107842,0.9986679879166598
642.226845,0.9988761320132031
642.345847,0.9987490830496965
642.464849,0.9987569731986187
642.583852,0.9989337688288265
642.702854,0.998910194270063
642.821856,0.9992167868716433
642.940859,0.9993684195309621
643.059861,0.9991163106835829
643.178864,0.9994753076991738
643.297866,0.9992537086140432
643.416868,0.9994718994941856
643.535871,0.9995102699569235
643.654873,0.9994813845275182
643.773875,0.9995259723866068
643.892878,0.9995650546161797
644.01188,0.9996708941672094
644.130883,0.9996695346157178
644.249885,0.9998289946230866
644.368887,0.9995754401510499
644.48789,0.9998014297176888
644.606892,0.999818906399426
644.725895,0.9997160603185036
644.844897,0.9999403347800401
644.963899,0.999915707552808
645.082902,0.999878497382041
645.201904,1.0000016713013966
645.320906,1.0000134550905189
645.439909,0.9999680345109071
645.558911,1.000250801445425
645.677914,0.9997323258311245
645.796916,1.0000874768258745
645.915918,1.0000496572328796
646.034921,0.999772085976348
646.153923,0.9998805871302844
646.272925,0.9999284165622165
646.391928,0.9999512491883594
646.51093,0.9999446645310636
646.629933,0.9999749593135232
646.748935,0.99990068793177
646.867937,1.0000734466970767
646.98694,0.999753040499519
647.105942,0.9999367120027698
647.224944,1.0000948024934724
647.343947,0.9999244608532251
647.462949,0.9999138367122693
647.581952,0.9999979670020666
647.700954,0.9999349201177874
647.819956,1.0000999419938683
647.938959,0.9999976171028391
648.057961,0.9997798242422405
648.176964,0.9998099480621581
648.295966,1.0000534064260724
648.414968,1.0000749348074724
648.533971,0.9999246458392674
648.652973,1.0000998749871746
648.771975,1.0000029690044074
648.890978,1.0000758888794152
649.00998,0.9999780322412948
649.128983,0.9999731133614521
649.247985,1.0000280733940503
649.366987,0.9998082083943619
649.48599,1.0000648591032606
649.604992,1.0000456350412468
649.723994,1.0000337315688965
649.842997,1.000083788510061
649.961999,0.9999899350506519
650.081002,0.9999933979217939
650.200004,0.9997829435601584
650.319006,0.9998459318697136
650.438009,1.0001938587881867
650.557011,1.0000773249894228
650.676014,0.9999714014089475
650.795016,1.0000420128825165
650.914018,1.0000641480573986
651.033021,0.999908108222308
651.152023,1.0000773609922073
651.271025,0.9998892061380933
651.390028,0.9999724823786167
651.50903,1.0000266303545815
651.628033,1.0001506913528013
651.747035,1.000048931197092
651.866037,0.9999756162972873
651.98504,0.9997467420752039
652.104042,1.0001652436512283
652.223044,1.0000153111172139
652.342047,0.9999556549832693
