nu,[0]HCFE-235ca2-HITRAN(x-sec)-X=0.01-T=298.0K-P=0.0atm-L=15cm
716.859964,0.9999951215118998
716.978966,0.9999951452117846
717.097968,0.9999951636116954
717.21697,0.9999951393118132
717.335972,0.9999951636116954
717.454974,0.9999951913115618
717.573976,0.9999952907110887
717.692978,0.9999953602107639
717.81198,0.9999953839106541
717.930982,0.9999954337104255
718.049984,0.9999955525098901
718.168986,0.9999955525098901
718.287988,0.9999955282099985
718.40699,0.9999954600103058
718.525992,0.9999954310104379
718.644994,0.9999955441099275
718.763996,0.9999956429094922
718.882998,0.9999957146091824
719.002,0.9999958545085925
719.121002,0.9999958494086137
719.240004,0.9999959480082093
719.359006,0.9999960143079429
719.478008,0.9999960315078745
719.59701,0.9999960220079123
719.716012,0.9999960143079429
719.835014,0.9999960935076304
719.954016,0.9999962043072037
720.073018,0.9999963341067194
720.19202,0.9999964166064204
720.311022,0.9999964646062495
720.430024,0.999996512606081
720.549026,0.9999965246060392
720.668028,0.999996500306124
720.78703,0.9999964413063321
720.906032,0.9999964568062771
721.025034,0.9999965063061029
721.144036,0.9999964517062953
721.263038,0.9999964760062093
721.38204,0.9999964907061576
721.501042,0.9999965800058482
721.620044,0.9999966279056856
721.739046,0.9999966164057243
721.858048,0.9999966073057552
721.97705,0.9999967233053684
722.096052,0.9999967749052007
722.215054,0.999996816305068
722.334056,0.9999967944051379
722.453058,0.9999968441049798
722.57206,0.9999969413046779
722.691062,0.9999970588043253
722.810064,0.9999970108044677
722.929066,0.9999969871045388
723.048068,0.9999969391046846
723.16707,0.9999969621046144
723.286072,0.9999968699048988
723.405074,0.9999968406049909
723.524076,0.9999967920051456
723.643078,0.999996856104942
723.76208,0.9999969085047787
723.881082,0.9999969995045015
724.000084,0.999997028804414
724.119086,0.9999970836042527
724.238088,0.999997117304155
724.35709,0.9999971727039968
724.476092,0.9999971409040872
724.595094,0.9999971322041121
724.714096,0.9999971610040299
724.833098,0.9999972432038
724.9521,0.9999972537037711
725.071102,0.9999972412038055
725.190104,0.9999971808039739
725.309106,0.9999972633037447
725.428108,0.9999972567037628
725.54711,0.9999971708040022
725.666112,0.9999971322041121
725.785114,0.999997141004087
725.904116,0.9999971647040194
726.023118,0.9999971899039484
726.14212,0.9999971252041322
726.261122,0.9999971079041822
726.380124,0.9999970536043407
726.499126,0.999997010704468
726.618128,0.999996977404568
726.73713,0.9999969213047392
726.856132,0.9999969621046144
726.975134,0.9999969405046802
727.094136,0.9999970148044557
727.213138,0.9999971093041781
727.33214,0.9999971322041121
727.451142,0.9999971322041121
727.570144,0.9999971322041121
727.689146,0.9999970846042497
727.808148,0.9999971306041168
727.92715,0.9999972029039119
728.046152,0.9999971837039657
728.165154,0.9999971357041021
728.284156,0.9999971079041822
728.403158,0.9999971957039321
728.52216,0.9999971862039587
728.641162,0.999997095504218
728.760164,0.9999970173044482
728.879166,0.999997010704468
728.998168,0.9999970515043468
729.11717,0.9999970836042527
729.236172,0.9999969802045596
729.355174,0.999997001004497
729.474176,0.9999969967045099
729.593178,0.9999969244047296
729.71218,0.9999968892048385
729.831182,0.9999968892048385
729.950184,0.9999968533049508
730.069186,0.999996853904949
730.188188,0.9999967367053245
730.30719,0.9999967045054301
730.426192,0.9999967343053324
730.545194,0.9999966778055185
