nu,[0]HFC-161-HITRAN(x-sec)-X=0.01-T=296.0K-P=0.9211atm-L=15cm
461.747108,0.9980223581157716
461.867635,0.9955192685647111
461.988161,0.9951647277487163
462.108688,0.9959968341169803
462.229215,0.9987857378136552
462.349741,0.998065174193333
462.470268,0.9946875611789778
462.590795,0.9965053206558395
462.711321,0.99882918593824
462.831848,0.9972015230573656
462.952375,0.996593016982639
463.072901,0.996593016982639
463.193428,0.9976815916696574
463.313955,0.9977393591061663
463.434481,0.9979933160877139
463.555008,0.9996651160861398
463.675535,1.0
463.796061,1.0
463.916588,0.9964131481767217
464.037115,0.9957307393147529
464.157641,0.995758022710791
464.278168,0.9935604235171984
464.398694,0.9945581607449492
464.519221,0.9968313308622885
464.639748,0.9982470382353822
464.760274,0.999679291437989
464.880801,0.9980661722590063
465.001328,0.9966077666684378
465.121854,0.9974123537433583
465.242381,0.9982621118794652
465.362908,0.9985746168249562
465.483434,0.9972029191404752
465.603961,0.996324371720269
465.724488,0.9957614082938236
465.845014,0.9962800362721985
465.965541,0.9976952600010912
466.086068,0.9960855813885323
466.206594,0.9957307393147529
466.327121,0.9973822323451107
466.447648,0.9977396584280189
466.568174,0.9971739009577448
466.688701,0.997694960692558
466.809228,0.9985596383180428
466.929754,0.9972043152255393
467.050281,0.999833603845376
467.170808,1.0
467.291334,1.0
467.411861,1.0
467.532387,1.0
467.652914,1.0
467.773441,1.0
467.893967,1.0
468.014494,1.0
468.135021,1.0
468.255547,1.0
468.376074,1.0
468.496601,1.0
468.617127,1.0
468.737654,1.0
468.858181,1.0
468.978707,1.0
469.099234,1.0
469.219761,1.0
469.340287,1.0
469.460814,1.0
469.581341,1.0
469.701867,1.0
469.822394,1.0
469.942921,1.0
470.063447,1.0
470.183974,1.0
470.304501,1.0
470.425027,1.0
470.545554,1.0
470.66608,1.0
470.786607,1.0
470.907134,1.0
471.02766,1.0
471.148187,1.0
471.268714,1.0
471.38924,1.0
471.509767,1.0
471.630294,1.0
471.75082,1.0
471.871347,1.0
471.991874,1.0
472.1124,1.0
472.232927,1.0
472.353454,1.0
472.47398,1.0
472.594507,1.0
472.715034,1.0
472.83556,1.0
472.956087,1.0
473.076614,1.0
473.19714,1.0
473.317667,1.0
473.438194,1.0
473.55872,1.0
473.679247,1.0
473.799773,1.0
473.9203,1.0
474.040827,1.0
474.161353,1.0
474.28188,1.0
474.402407,1.0
474.522933,1.0
474.64346,1.0
474.763987,1.0
474.884513,1.0
475.00504,1.0
475.125567,1.0
475.246093,1.0
475.36662,1.0
475.487147,1.0
475.607673,1.0
475.7282,1.0
475.848727,1.0
475.969253,1.0
476.08978,1.0
476.210307,1.0
476.330833,1.0
476.45136,1.0
476.571886,1.0
476.692413,1.0
476.81294,1.0
476.933466,1.0
477.053993,1.0
477.17452,1.0
477.295046,1.0
477.415573,1.0
477.5361,1.0
477.656626,1.0
477.777153,1.0
477.89768,1.0
478.018206,1.0
478.138733,1.0
478.25926,1.0
478.379786,1.0
478.500313,1.0
478.62084,1.0
478.741366,1.0
478.861893,1.0
478.98242,1.0
479.102946,1.0
479.223473,1.0
479.344,1.0
479.464526,1.0
479.585053,1.0
479.705579,1.0
479.826106,1.0
479.946633,1.0
480.067159,1.0
480.187686,1.0
480.308213,1.0
480.428739,1.0
480.549266,1.0
480.669793,1.0
480.790319,1.0
480.910846,1.0
481.031373,1.0
481.151899,1.0
481.272426,1.0
481.392953,1.0
481.513479,1.0
481.634006,1.0
481.754533,1.0
481.875059,1.0
481.995586,1.0
482.116113,1.0
482.236639,1.0
482.357166,1.0
482.477693,1.0
482.598219,1.0
482.718746,1.0
482.839272,1.0
482.959799,1.0
483.080326,1.0
483.200852,1.0
483.321379,1.0
483.441906,1.0
483.562432,1.0
483.682959,1.0
483.803486,1.0
483.924012,1.0
484.044539,1.0
484.165066,1.0
484.285592,1.0
484.406119,1.0
484.526646,1.0
484.647172,1.0
484.767699,1.0
484.888226,1.0
485.008752,1.0
485.129279,1.0
485.249806,1.0
485.370332,1.0
485.490859,1.0
485.611386,1.0
485.731912,1.0
485.852439,1.0
485.972965,1.0
486.093492,1.0
486.214019,1.0
486.334545,1.0
486.455072,1.0
486.575599,1.0
486.696125,1.0
486.816652,1.0
486.937179,1.0
487.057705,1.0
487.178232,1.0
487.298759,1.0
487.419285,1.0
487.539812,1.0
487.660339,1.0
487.780865,1.0
487.901392,1.0
488.021919,1.0
488.142445,1.0
488.262972,1.0
488.383499,1.0
488.504025,1.0
488.624552,1.0
488.745079,1.0
488.865605,1.0
488.986132,1.0
489.106658,1.0
489.227185,1.0
489.347712,1.0
489.468238,1.0
489.588765,1.0
489.709292,1.0
489.829818,1.0
489.950345,1.0
490.070872,1.0
490.191398,1.0
490.311925,1.0
490.432452,1.0
490.552978,1.0
490.673505,1.0
490.794032,1.0
490.914558,1.0
491.035085,1.0
491.155612,1.0
491.276138,1.0
491.396665,1.0
491.517192,1.0
491.637718,1.0
491.758245,1.0
491.878772,1.0
491.999298,1.0
492.119825,1.0
492.240351,1.0
492.360878,1.0
492.481405,1.0
492.601931,1.0
492.722458,1.0
492.842985,1.0
492.963511,1.0
493.084038,1.0
493.204565,1.0
493.325091,1.0
493.445618,1.0
493.566145,1.0
493.686671,1.0
493.807198,1.0
493.927725,1.0
494.048251,1.0
494.168778,1.0
494.289305,1.0
494.409831,1.0
494.530358,1.0
494.650885,1.0
494.771411,1.0
494.891938,1.0
495.012465,1.0
495.132991,1.0
495.253518,1.0
495.374044,1.0
495.494571,1.0
495.615098,1.0
495.735624,1.0
495.856151,1.0
495.976678,1.0
496.097204,1.0
496.217731,1.0
496.338258,1.0
496.458784,1.0
