nu,[0]1-1-2-Trifluoro-2-(trifluoromethoxy)-ethane-HITRAN(x-sec)-X=0.01-T=298.0K-P=0.0atm-L=15cm
844.186308,0.9999999513930011
844.668424,0.9999997812700239
845.150541,0.9999996597500579
845.632658,0.9999997569700295
846.114775,0.9999998541800106
846.596891,0.9999998541800106
847.079008,0.9999998541800106
847.561125,0.9999999027870047
848.043241,0.9999998055700189
848.525358,0.9999997812700239
849.007475,0.9999999027870047
849.489591,0.9999999513930011
849.971708,0.9999999756970003
850.453825,0.9999999270900026
850.935941,0.9999999270900026
851.418058,0.9999999027870047
851.900175,0.9999999027870047
852.382292,0.9999998541800106
852.864408,0.9999996597500579
853.346525,0.9999996597500579
853.828642,0.9999998541800106
854.310758,0.9999999756970003
854.792875,0.9999999756970003
855.274992,0.9999999756970003
855.757108,0.9999999756970003
856.239225,0.9999998784800074
856.721342,0.9999997569700295
857.203459,0.9999998298800145
857.685575,0.9999999027870047
858.167692,0.9999997569700295
858.649809,0.9999996597500579
859.131925,0.9999996840600499
859.614042,0.9999998055700189
860.096159,0.9999999756970003
860.578275,0.9999999027870047
861.060392,0.9999999270900026
861.542509,0.9999997326600357
862.024625,0.9999997326600357
862.506742,0.9999998055700189
862.988859,0.9999998541800106
863.470976,0.9999999270900026
863.953092,0.9999998784800074
864.435209,0.9999996840600499
864.917326,0.999999465330143
865.399442,0.9999994167201701
865.881559,0.9999994896301302
866.363676,0.9999995382401066
866.845792,0.9999996111500756
867.327909,0.9999995625400957
867.810026,0.9999992709002657
868.292143,0.999998955000546
868.774259,0.999998979300521
869.256376,0.9999991493903617
869.738493,0.9999991250803827
870.220609,0.9999989307005717
870.702726,0.999998906400598
871.184843,0.9999990521704492
871.666959,0.9999991250803827
872.149076,0.9999990035704964
872.631193,0.9999987848007383
873.11331,0.9999984932011352
873.595426,0.9999982016016171
874.077543,0.9999980557018902
874.55966,0.9999980071019858
875.041776,0.9999978127023922
875.523893,0.9999975211030725
876.00601,0.9999972051039058
876.488126,0.999996816305068
876.970243,0.9999963545066448
877.45236,0.999995819808737
877.934476,0.9999953338108867
