nu,[0]1-Butene-HITRAN(x-sec)-X=0.01-T=278.1K-P=1.0atm-L=15cm
605.425109,0.9706988528895003
605.544611,0.9704532971438309
605.664113,0.9710600200356995
605.783616,0.9694746036009376
605.903118,0.9700622832596716
606.02262,0.970426124831925
606.142123,0.9689861115110698
606.261625,0.9691489148529014
606.381128,0.9688775911438345
606.50063,0.9684145783241476
606.620132,0.9680950542376746
606.739635,0.9680902137745045
606.859137,0.9676846689425085
606.97864,0.9680950542376746
607.098142,0.9670268670456199
607.217644,0.9670597465180473
607.337147,0.9666159679493683
607.456649,0.9664033358268106
607.576152,0.9666159679493683
607.695654,0.965398798807343
607.815156,0.9654461045074648
607.934659,0.9652124948180865
608.054161,0.9645573379850211
608.173663,0.965034912057155
608.293166,0.9646345056587257
608.412668,0.9640934974680374
608.532171,0.9643046570651149
608.651673,0.9636000079414331
608.771175,0.9633427610832965
608.890678,0.9632551008806376
609.01018,0.9628092169990138
609.129683,0.9622932895396135
609.249185,0.9619209540881185
609.368687,0.9618247668021541
609.48819,0.9614516511817461
609.607692,0.9609729674615969
609.727195,0.9607327542476344
609.846697,0.9603206882905296
609.966199,0.9601680094393819
610.085702,0.9596842066911581
610.205204,0.9590059497491086
610.324706,0.9586780257924873
610.444209,0.9590069087555378
610.563711,0.9587134975356648
610.683214,0.958078081150606
610.802716,0.9578539171078326
610.922218,0.9574421284643796
611.041721,0.9569108955138618
611.161223,0.956672654363133
611.280726,0.9562919744070328
611.400228,0.9562986684742829
611.51973,0.9562642423418919
611.639233,0.9556294936448658
611.758735,0.9546772058340575
611.878238,0.9552740655869475
611.99774,0.9543230862839314
612.117242,0.9541265159755937
612.236745,0.95333873287261
612.356247,0.9527411768404912
612.47575,0.9524858764168828
612.595252,0.9521420910724845
612.714754,0.952857418354654
612.834257,0.9524020613476752
612.953759,0.951606185946659
613.073261,0.9516604290451717
613.192764,0.9511913760847074
613.312266,0.9504079172201949
613.431769,0.9509479022584092
613.551271,0.9491570538675344
613.670773,0.9501560924903819
613.790276,0.9498530410361544
613.909778,0.9489425686111072
614.029281,0.9492282433161454
614.148783,0.9492870972916854
614.268285,0.9480130604272701
614.387788,0.9473638938458152
614.50729,0.9471583381844466
614.626793,0.9474624248142968
614.746295,0.9467530411554549
614.865797,0.9459855357046051
614.9853,0.9465495111318679
615.104802,0.9454237871522337
615.224304,0.944805682137807
615.343807,0.9441558793862744
615.463309,0.944814185427211
615.582812,0.9444693911783084
615.702314,0.9445345618146608
615.821816,0.9436225819851238
615.941319,0.9425653737466471
616.060821,0.9425531204764348
616.180324,0.9419858742561513
616.299826,0.9415592512925102
616.419328,0.9413427175670458
616.538831,0.9419905841972974
616.658333,0.9419594990209271
616.777836,0.9418869709318698
616.897338,0.9402119033760095
617.01684,0.9391031076481625
617.136343,0.9387688464438643
617.255845,0.9391650904986788
617.375348,0.9384844425727542
617.49485,0.9393923959534302
617.614352,0.9394262146884181
617.733855,0.9383905988207627
617.853357,0.9377020728411751
617.972859,0.9375033010722847
618.092362,0.9366936480406348
618.211864,0.9360934198059419
618.331367,0.9352531852367417
618.450869,0.9366393213845368
618.570371,0.9365587738664906
618.689874,0.93632185446827
618.809376,0.9352326098929962
618.928879,0.9356675941826059
619.048381,0.9347417416369942
619.167883,0.9335413699030034
619.287386,0.9332156208114301
619.406888,0.9343165308873307
619.526391,0.9333621471659154
619.645893,0.9335367022078231
619.765395,0.9329170395883141
619.884898,0.9330420588477222
620.0044,0.9315066033714755
620.123902,0.9315531798660467
620.243405,0.9299048592032725
