nu,[0]Isoprene-HITRAN(x-sec)-X=0.01-T=278.1K-P=1.0atm-L=15cm
762.952504,0.9867387160248808
763.193558,0.986445698141531
763.434612,0.9865986090750342
763.675666,0.986603542080412
763.91672,0.9865147517572492
764.157774,0.9866370871711061
764.398828,0.9861734766971314
764.639882,0.9862434974996859
764.880936,0.9862967560865198
765.12199,0.9863944042988791
765.363044,0.9867199681673816
765.604098,0.9863707311172553
765.845152,0.9866933270878973
766.086206,0.9864585220189619
766.32726,0.986732795610346
766.568314,0.9867308221467281
766.809368,0.9867683186303985
767.050422,0.9867870674065652
767.291476,0.9870722900817371
767.53253,0.9870693288693086
767.773584,0.9868689741322421
768.014638,0.9869479268082376
768.255692,0.9869953014457066
768.496746,0.9873032920237894
768.7378,0.9870219506786087
768.978854,0.9873704309303439
769.219908,0.9873575951981743
769.460962,0.9875689123336737
769.702016,0.9872322087457924
769.94307,0.9873358735700187
770.184124,0.9878326284378001
770.425178,0.9875027474330963
770.666232,0.987714095634498
770.907286,0.9879037549475712
771.14834,0.9879343804386672
771.389394,0.9879640189146554
771.630448,0.9884986520541127
771.871502,0.9884502168068352
772.112556,0.9882604525831568
772.35361,0.9885589523110271
772.594664,0.9887250441663405
772.835718,0.9888219439686816
773.076772,0.9891245697829242
773.317826,0.9888219439686816
773.55888,0.989173038074307
773.799934,0.9892185410806196
774.040988,0.9893689137268954
774.282042,0.9895757134396815
774.523096,0.989721191761952
774.76415,0.9897904746702487
775.005204,0.9901162683218676
775.246258,0.9902541020994263
775.487312,0.9900171626437305
775.728366,0.9900231027645268
775.96942,0.9899706329305431
776.210474,0.9886973602526805
776.451528,0.990671384046911
776.692582,0.9909253256638704
776.933636,0.9910314594496117
777.17469,0.9917258210208469
777.415744,0.9915406830932257
777.656798,0.9917985171878098
777.897852,0.9917889959677467
778.138906,0.9923353245856039
778.37996,0.9919079185976324
778.621014,0.9923541791358887
778.862068,0.992687963969106
779.103122,0.9924453806755978
779.344176,0.9928612031334961
779.58523,0.9927512994815886
779.826284,0.9929869073187199
780.067338,0.992909655942448
780.308392,0.9929333867668072
780.549446,0.9932257493895378
780.7905,0.9934019632671883
781.031554,0.9932671677668544
781.272608,0.9936261993943928
781.513662,0.9935175026340002
781.754716,0.9939065408855501
781.99577,0.9935592312454056
782.236824,0.9943104471611154
782.477878,0.9942600368993553
782.718932,0.9943201914512445
782.959986,0.9942984160774929
783.20104,0.9939770113574475
783.442094,0.9946221128907246
783.683148,0.9948762713079233
783.924202,0.9947271505317357
784.165256,0.9944993840945163
784.40631,0.9950566587275369
784.647364,0.9950520814774344
784.888418,0.9949764603928798
785.129472,0.9953258579612776
785.370526,0.9953627852356046
785.61158,0.9956131504581984
785.852634,0.9956834432279265
786.093688,0.9956929022655674
786.334742,0.9957947668597543
786.575796,0.9958498358330048
786.81685,0.9955646652783948
787.057904,0.9954961727855925
787.298958,0.9960411569622744
787.540012,0.9962920913335703
787.781066,0.9962426764713389
788.02212,0.9964400516949183
788.263174,0.9965753774423488
788.504228,0.9963868432168368
788.745282,0.9964729347591919
788.986336,0.9965088084305654
789.22739,0.9965153854104051
789.468444,0.9967554748843664
