nu,[0]Tribromomethane-PNNL(x-sec)-X=0.01-T=278.25K-P=1.0atm-L=15cm
656.99514,0.30541004360989576
657.113142,0.29870464594426466
657.231145,0.2862756846797935
657.349147,0.2775927964704827
657.467149,0.2675630605646196
657.585152,0.25784413616707735
657.703154,0.24949909276739507
657.821156,0.24091767532754574
657.939159,0.23431240263989755
658.057161,0.22666094782096644
658.175164,0.21919358277463033
658.293166,0.21498220966978945
658.411168,0.20777489934198098
658.529171,0.2002277120204188
658.647173,0.1902150509067079
658.765175,0.18162702641808265
658.883178,0.17192447455953253
659.00118,0.163049735328782
659.119182,0.15449400283494785
659.237185,0.14907585628522937
659.355187,0.14099934979465878
659.473189,0.13380122177191375
659.591192,0.12983381402129426
659.709194,0.12369950514949285
659.827197,0.11936132997939494
659.945199,0.11381283250305689
660.063201,0.10888097128349856
660.181204,0.10407952589356234
660.299206,0.09871681325384608
660.417208,0.09420330623308278
660.535211,0.08913528564054551
660.653213,0.08419666218735034
660.771215,0.07876394008418602
660.889218,0.07442971661652542
661.00722,0.06979450480744721
661.125223,0.06601323676626299
661.243225,0.061562645290739064
661.361227,0.057452313827383576
661.47923,0.05369153096789113
661.597232,0.0504435696584476
661.715234,0.047052089675736694
661.833237,0.043464967942449285
661.951239,0.040518363008926805
662.069241,0.03740690372571222
662.187244,0.03517217471612634
662.305246,0.03232546400686052
662.423248,0.03029416982492304
662.541251,0.02781722071182209
662.659253,0.02593919846881787
662.777256,0.02314214187311366
662.895258,0.021469971382472447
663.01326,0.019720432460548686
663.131263,0.018324798998015035
663.249265,0.016607514588447565
663.367267,0.015483195569290899
663.48527,0.013849585148143936
663.603272,0.012629751729727466
663.721274,0.011696097965810536
663.839277,0.010591536925631967
663.957279,0.009689620673764762
664.075282,0.008958970125070041
664.193284,0.008135647069894175
664.311286,0.007489149794341003
664.429289,0.006756164037918572
664.547291,0.00623111493447235
664.665293,0.005737108162759718
664.783296,0.0051942657616606555
664.901298,0.004782461054586556
665.0193,0.004361235021152499
665.137303,0.003932814309882847
665.255305,0.003614506309201724
665.373307,0.003324619657962164
665.49131,0.003084394232194261
665.609312,0.002832770700973005
665.727315,0.0025752723074283787
665.845317,0.002414652245424749
665.963319,0.0022134564073000287
666.081322,0.0020479827391291245
666.199324,0.001860332581468514
666.317326,0.0017188496844599175
666.435329,0.0015991228800846893
666.553331,0.0014788359809753012
666.671333,0.0013789954219633697
666.789336,0.0013101678764732552
666.907338,0.0012460210060136925
667.025341,0.0011791045317400075
667.143343,0.001151948986777645
667.261345,0.0011135524150892519
667.379348,0.0010489139326277882
667.49735,0.0010245518310583732
667.615352,0.0009696261239446101
667.733355,0.0008952567583445114
667.851357,0.0008527023638720902
667.969359,0.0007988798491810369
668.087362,0.000758854878327085
668.205364,0.0007486791779899249
668.323366,0.0007424166124937354
668.441369,0.0007549945705995358
668.559371,0.0007880098249290884
668.677374,0.000799679128603322
668.795376,0.0008445555882689539
668.913378,0.0008487040661218019
669.031381,0.0008991146509300839
669.149383,0.0009265894229044364
669.267385,0.0009450242211050502
669.385388,0.0008850202781986811
669.50339,0.0008966006511496522
669.621392,0.0008383289439141039
669.739395,0.0008220576759337855
669.857397,0.0009142559434989451
669.9754,0.0009958638564837525
670.093402,0.001144142306462347
670.211404,0.001339043132928384
670.329407,0.00154226987953711
670.447409,0.0017222908238211535
670.565411,0.0020485972261193035
670.683414,0.0023439915786498443
670.801416,0.002734518253333651
670.919418,0.00285409635245948
671.037421,0.0029175822565814533
671.155423,0.002523268989660624
671.273425,0.002533382278712988
671.391428,0.002389431039896215
671.50943,0.0025346492865779163
671.627433,0.0031191336250531512
671.745435,0.0037721882811025255
671.863437,0.004871272901316772
671.98144,0.006278023985536408
672.099442,0.00800411095430328
672.217444,0.010171149975945417
672.335447,0.012628488817701138
672.453449,0.01585611577133392
672.571451,0.019206625141780374
672.689454,0.023105144052266217
672.807456,0.02772280276287105
672.925459,0.032705893106237095
673.043461,0.038925722503831535
673.161463,0.04537018988774258
673.279466,0.05282345306788258
673.397468,0.06039795694665293
673.51547,0.06892061113856995
673.633473,0.07896899278139828
673.751475,0.08829250994985711
673.869477,0.10074124300474359
673.98748,0.11324518863280815
674.105482,0.1255438724782091
674.223484,0.1382626696141464
674.341487,0.1517076447542326
674.459489,0.16597800490115913
674.577492,0.18046832524778253
674.695494,0.19390246579031
674.813496,0.21180272076105636
674.931499,0.22809341933962587
675.049501,0.2441188700457975
675.167503,0.2612441155937104
675.285506,0.275188214240772
675.403508,0.29449301333262756
675.52151,0.3114239848215478
675.639513,0.3293942227826566
675.757515,0.3465251084217016
675.875518,0.3634185785803846
675.99352,0.37745270609841064
676.111522,0.3978660054926879
676.229525,0.41371828822567813
676.347527,0.4311108626622966
676.465529,0.44545457560370727
676.583532,0.4653851205220941
676.701534,0.4777823427926775
676.819536,0.49701255084256946
676.937539,0.5080679909026143
677.055541,0.5236404470160746
677.173543,0.5350420163158727
677.291546,0.5483672786578472
677.409548,0.5585673929398546
677.527551,0.5721008453971734
677.645553,0.581845692247608
677.763555,0.5918748905278721
677.881558,0.601830159834051
677.99956,0.6181649177029258
678.117562,0.6261157630365752
678.235565,0.6303122168848709
678.353567,0.6366023962523063
678.471569,0.6436565516671994
678.589572,0.6502229336816842
678.707574,0.6502034272862711
678.825577,0.6601290056209737
678.943579,0.6608026807226012
679.061581,0.6648658420214024
679.179584,0.673302884040203
679.297586,0.667210293599371
679.415588,0.6768808625933344
679.533591,0.673168236928555
679.651593,0.6706351705057256
679.769595,0.6782698916299638
679.887598,0.677138126198109
680.0056,0.6793899607540649
680.123602,0.6735789948215019
680.241605,0.6745024304533821
680.359607,0.6712188769795644
680.47761,0.6676708275679021
680.595612,0.6710376723465062
680.713614,0.6709705719343481
