nu,[0]Triethylamine-PNNL(x-sec)-X=0.01-T=278.11K-P=1.0atm-L=15cm
638.293766,1.0000195411909265
638.424268,1.0002343774621065
638.554771,1.000022064243412
638.685274,0.9984756629836726
638.815776,1.0019610202902138
638.946279,1.0004830566342968
639.076782,0.9997036139310315
639.207284,1.0012252500062213
639.337787,0.9999417826946931
639.468289,1.0006295180633775
639.598792,0.9996852095569119
639.729295,1.001526263556443
639.859797,1.0015496995452104
639.9903,0.9989768238020911
640.120802,1.0021189417908989
640.251305,1.0005305807081748
640.381808,1.0003127488957415
640.51231,1.0014152004523778
640.642813,1.0013622269894342
640.773315,1.0018657383279133
640.903818,0.9988378757899584
641.034321,1.001413097482665
641.164823,1.00085144227135
641.295326,1.0002611640974064
641.425829,1.0017894992461605
641.556331,1.0007734189342996
641.686834,1.0013405977989274
641.817336,1.0005781870857515
641.947839,1.001952503657737
642.078342,1.0018127410321465
642.208844,0.9995579177471684
642.339347,1.0023508589458092
642.469849,1.0008013108781577
642.600352,1.0009831930176811
642.730855,0.9994546287689818
642.861357,1.0002831400765868
642.99186,1.0024627275438194
643.122362,1.0007711972197757
643.252865,1.0017246855623045
643.383368,1.0009925622642157
643.51387,1.0000670392470299
643.644373,1.0010521531251517
643.774875,1.0010746770519903
643.905378,1.0023674981081725
644.035881,1.0000300074502144
644.166383,1.001335490974901
644.296886,1.0014856024155694
644.427389,0.999367310232632
644.557891,1.0019483956608934
644.688394,1.0013986772378871
644.818896,1.001900603862264
644.949399,1.0019095208173185
645.079902,1.0012352623087828
645.210404,1.000843515559317
645.340907,0.9990303104530622
645.471409,1.002873921818008
645.601912,1.0022847059721909
645.732415,1.0010116113339271
645.862917,1.0015146459191684
645.99342,1.0003670273380574
646.123922,1.0011690828451996
646.254425,0.9999747323192332
646.384928,1.002533403657415
646.51543,1.0021327711277177
646.645933,0.9991739713496549
646.776436,1.0015586133772028
646.906938,1.0004899800010036
647.037441,1.000544538207129
647.167943,1.0017116632260374
647.298446,1.0015162483438838
647.428949,1.002743556682089
647.559451,0.9997596788817473
647.689954,1.0013646302616628
647.820456,1.0007387227213276
647.950959,1.0005979086761747
648.081462,1.0028362144674503
648.211964,1.000762150289045
648.342467,1.002169048990658
648.472969,1.0000556655492692
648.603472,1.0010153150837409
648.733975,1.0016740997429863
648.864477,1.0002787988571793
648.99498,1.0027918900863468
649.125483,1.001097201485623
649.255985,1.0011674809759485
649.386488,1.000398609423631
649.51699,1.0006637001515413
649.647493,1.002485182960416
649.777996,0.9998072285827978
649.908498,1.0025275889805363
650.039001,1.0012546864612852
650.169503,0.9994481623184527
650.300006,1.0012692047594964
650.430509,1.001377648086472
650.561011,1.0034326781916645
650.691514,1.0003341958309881
650.822016,1.0010179177269436
650.952519,1.0010909947022149
651.083022,0.999568822983539
651.213524,1.0016893253050163
651.344027,1.0012750121377254
651.474529,1.0024795690591104
651.605032,1.000257993274542
651.735535,1.0013772475354927
651.866037,1.0014294206491872
651.99654,0.9991875202405677
652.127043,1.0025579660266923
652.257545,1.0016955357980857
652.388048,1.0018609293839107
652.51855,1.0010348350727043
652.649053,1.0003168901990944
652.779556,1.0005722636804173
652.910058,1.0001293683673655
653.040561,1.003474020469651
653.171063,1.0012939364142885
653.301566,0.999805318952815
653.432069,1.0017020468402293
653.562571,1.0000919022227506
653.693074,1.0009200129525218
653.823576,1.0004441886225626
653.954079,1.0021329715542922
654.084582,1.002236497237263
654.215084,0.9995353979609679
654.345587,1.0019647275528474
654.47609,1.0002386484720167
654.606592,1.0010381384931106
654.737095,1.0017621507661394
654.867597,1.0013871612193161
654.9981,1.0016059882200217
655.128603,0.9986289407617092
655.259105,1.0014816966293363
655.389608,1.0004412573253842
655.52011,1.0002927628466798
655.650613,1.0023673978714276
655.781116,1.0008889048419418
655.911618,1.000864363346875
656.042121,0.9988524589294017
656.172623,1.0011407501610643
656.303126,1.0015892615396866
656.433629,1.000260173839344
656.564131,1.0023459474386336
656.694634,1.0010613628473253
656.825137,1.0001872675323755
656.955639,1.0001444704348483
657.086142,1.0005763960523997
657.216644,1.002182277709414
657.347147,1.0003485707366657
657.47765,1.0021209460307867
657.608152,0.9999199682027151
657.738655,0.998640325196525
657.869157,1.0009514123058243
657.99966,1.001415601018538
658.130163,1.0014924125408202
658.260665,1.0001127163520107
658.391168,1.0011024072046055
658.52167,1.0007628508227955
658.652173,0.9987588708386704
658.782676,1.000657125812628
