nu,[0](E)-HFC-1225ye-HITRAN(x-sec)-X=0.01-T=296.0K-P=0.9211atm-L=15cm
798.545684,1.0
798.665286,1.0
798.784888,1.0
798.90449,1.0
799.024092,1.0
799.143694,1.0
799.263296,1.0
799.382898,1.0
799.5025,1.0
799.622102,1.0
799.741704,1.0
799.861306,1.0
799.980908,1.0
800.10051,1.0
800.220112,1.0
800.339714,1.0
800.459316,1.0
800.578918,1.0
800.69852,1.0
800.818122,1.0
800.937724,1.0
801.057326,1.0
801.176928,1.0
801.29653,1.0
801.416132,1.0
801.535734,1.0
801.655336,1.0
801.774938,1.0
801.89454,1.0
802.014142,1.0
802.133744,1.0
802.253346,1.0
802.372948,1.0
802.49255,1.0
802.612152,1.0
802.731754,1.0
802.851356,1.0
802.970958,1.0
803.09056,1.0
803.210162,1.0
803.329764,1.0
803.449366,1.0
803.568968,1.0
803.68857,1.0
803.808172,1.0
803.927774,1.0
804.047376,1.0
804.166978,1.0
804.28658,1.0
804.406182,1.0
804.525784,1.0
804.645386,1.0
804.764988,1.0
804.88459,1.0
805.004192,1.0
805.123794,1.0
805.243396,1.0
805.362998,1.0
805.4826,1.0
805.602202,1.0
805.721804,1.0
805.841406,1.0
805.961008,1.0
806.08061,1.0
806.200212,1.0
806.319814,1.0
806.439416,1.0
806.559018,1.0
806.67862,1.0
806.798222,1.0
806.917824,1.0
807.037426,1.0
807.157028,1.0
807.27663,1.0
807.396232,1.0
807.515834,1.0
807.635436,1.0
807.755038,1.0
807.87464,1.0
807.994242,1.0
808.113844,1.0
808.233446,1.0
808.353048,1.0
808.47265,1.0
808.592252,1.0
808.711854,1.0
808.831456,1.0
808.951058,1.0
809.07066,1.0
809.190262,1.0
809.309864,1.0
809.429466,1.0
809.549068,1.0
809.66867,1.0
809.788272,1.0
809.907874,1.0
810.027476,1.0
810.147078,1.0
810.26668,1.0
810.386282,1.0
810.505884,1.0
810.625486,1.0
810.745088,1.0
810.86469,1.0
810.984292,1.0
811.103894,1.0
811.223496,1.0
811.343098,1.0
811.4627,1.0
811.582302,1.0
811.701904,1.0
811.821506,1.0
811.941108,1.0
812.06071,1.0
812.180312,1.0
812.299914,1.0
812.419516,1.0
812.539118,1.0
812.65872,1.0
812.778322,1.0
812.897924,1.0
813.017526,1.0
813.137128,1.0
813.25673,1.0
813.376332,1.0
813.495934,1.0
813.615536,1.0
813.735138,1.0
813.85474,1.0
813.974342,1.0
814.093944,1.0
814.213546,1.0
814.333148,1.0
814.45275,1.0
814.572352,1.0
814.691954,1.0
814.811556,1.0
814.931158,1.0
815.05076,1.0
815.170362,1.0
815.289964,1.0
815.409566,1.0
815.529168,1.0
815.64877,1.0
815.768372,1.0
815.887974,1.0
816.007576,1.0
816.127178,1.0
816.24678,1.0
816.366382,1.0
816.485984,1.0
816.605586,1.0
816.725188,1.0
816.84479,1.0
816.964392,1.0
817.083994,1.0
817.203596,1.0
817.323198,1.0
817.4428,1.0
817.562402,1.0
817.682004,1.0
817.801606,1.0
817.921208,1.0
818.04081,1.0
818.160412,1.0
818.280014,1.0
818.399616,1.0
818.519218,1.0
818.63882,1.0
818.758422,1.0
818.878024,1.0
818.997626,1.0
819.117228,1.0
819.23683,1.0
819.356432,1.0
819.476034,1.0
819.595636,1.0
819.715238,1.0
819.83484,1.0
819.954442,1.0
820.074044,1.0
820.193646,1.0
820.313248,1.0
820.43285,1.0
820.552452,1.0
820.672054,1.0
820.791656,1.0
820.911258,1.0
821.03086,1.0
821.150462,1.0
821.270064,1.0
821.389666,1.0
821.509268,1.0
821.62887,1.0
821.748472,1.0
821.868074,1.0
821.987676,1.0
822.107278,1.0
822.22688,1.0
822.346482,1.0
822.466084,1.0
822.585686,1.0
822.705288,1.0
822.82489,1.0
822.944492,1.0
823.064094,1.0
823.183696,1.0
823.303298,1.0
823.4229,1.0
823.542502,1.0
823.662104,1.0
823.781706,1.0
823.901308,1.0
824.02091,1.0
824.140512,1.0
824.260114,1.0
824.379716,1.0
824.499318,1.0
824.61892,1.0
824.738522,1.0
824.858124,1.0
824.977726,1.0
825.097328,1.0
825.21693,1.0
825.336532,1.0
825.456134,1.0
825.575736,1.0
825.695338,1.0
825.81494,1.0
825.934542,1.0
826.054144,1.0
826.173746,1.0
826.293348,1.0
826.41295,1.0
826.532552,1.0
826.652154,0.9351531184995874
826.771756,1.0
826.891358,1.0
827.01096,1.0
827.130562,1.0
827.250164,1.0
827.369766,0.9399167231840648
827.489368,1.0
827.60897,1.0
827.728572,1.0
827.848174,0.9404413430709376
827.967776,1.0
828.087378,0.9253807542021816
828.20698,0.9292773852196042
828.326582,0.9161125964258483
828.446184,0.9796068120681655
828.565786,0.9203999271235834
828.685388,0.9268097188686433
828.80499,0.9095284505362704
828.924592,0.9135629452089202
829.044194,0.9058812972596824
829.163796,0.9710600200356995
829.283398,0.9143617482491125
829.403,0.8921062849223051
829.522602,0.9071803557117362
829.642204,0.8964883329683931
829.761806,0.894437723529836
829.881408,0.9012433221073994
830.00101,0.8970622691414779
830.120612,0.9012883854000777
830.240214,0.8948940031102394
830.359816,0.8956191609020163
830.479418,0.8927309779387983
