nu,[0]Ethylformate-PNNL(x-sec)-X=0.01-T=278.19K-P=1.0atm-L=15cm
696.758018,0.9959939457303494
696.87762,0.9958491387383637
696.997222,0.9959342874797826
697.116824,0.9958851891296941
697.236426,0.9955875635290251
697.356028,0.9957308388878318
697.47563,0.9956613393008412
697.595232,0.9960800033248951
697.714834,0.9953652736456783
697.834436,0.995494181795238
697.954038,0.995706642922429
698.07364,0.9956121548455459
698.193242,0.995768279071245
698.312844,0.9955666564097165
698.432446,0.9954759644184006
698.552048,0.995789190424674
698.67165,0.9958395786325204
698.791252,0.995733626938084
698.910854,0.9959055053947776
699.030456,0.9956453092823205
699.150058,0.9955244452783671
699.26966,0.9953971258440674
699.389262,0.9953996143399926
699.508864,0.9952109044633753
699.628466,0.9956092675744833
699.748068,0.9956361493876107
699.86767,0.9956742829823859
699.987272,0.9952704198549548
700.106874,0.9954495846548769
700.226476,0.995261064356979
700.346078,0.9952244394237136
700.46568,0.9956504866513899
700.585282,0.9958325081966122
700.704884,0.9957933727480566
700.824486,0.9948756743823396
700.944088,0.9956709972626735
701.06369,0.9954036954867778
701.183292,0.9956420236582212
701.302894,0.9953713453923663
701.422496,0.9953843848423992
701.542098,0.9951045221039266
701.6617,0.9952542966047517
701.781302,0.9953830908435399
701.900904,0.9953039610332696
702.020506,0.9952409602865308
702.140108,0.9951974692068533
702.25971,0.995663728890923
702.379312,0.9954702902215748
702.498914,0.9953950355122979
702.618516,0.9953746301232259
702.738118,0.9948724907852753
702.85772,0.9951233297571261
702.977322,0.9953625861630675
703.096924,0.9952847518521908
703.216526,0.9954051885934408
703.336128,0.9949396469448982
703.45573,0.9951639316172526
703.575332,0.9951434314514137
703.694934,0.9948606518730766
703.814536,0.9952423536248506
703.934138,0.995139450885649
704.05374,0.994988599179743
704.173342,0.9950701915901188
704.292944,0.9952194633139567
704.412546,0.9950839236535138
704.532148,0.9952769886614028
704.65175,0.9951580601673768
