nu,[0]Dichloromethane-HITRAN(x-sec)-X=0.01-T=278.1K-P=1.0atm-L=15cm
679.86534,0.9650513177901083
679.984542,0.964836135339976
680.103744,0.9646383642044654
680.222946,0.9642766926355462
680.342148,0.9637426312964763
680.46135,0.9633177144971153
680.580552,0.9629594269529375
680.699754,0.9628939479382164
680.818956,0.9637060097723005
680.938158,0.9630846198158011
681.05736,0.9628024773580836
681.176562,0.9623471794727317
681.295764,0.9618064923051932
681.414966,0.9610815635424831
681.534168,0.9610536925812713
681.65337,0.9613776222547554
681.772572,0.9606914436273865
681.891774,0.9594606263191239
682.010976,0.9593627663261838
682.130178,0.9588649862355676
682.24938,0.9589580006503586
682.368582,0.9584633059642284
682.487784,0.9581441908189627
682.606986,0.9572267282189114
682.726188,0.9578175193505444
682.84539,0.9571597246930869
682.964592,0.9571089965719852
683.083794,0.9569376893940487
683.202996,0.9565176859459069
683.322198,0.9566142991110701
683.4414,0.9555979583919101
683.560602,0.955602736393647
683.679804,0.9537773695684367
683.799006,0.953908999927723
683.918208,0.9526192337743784
684.03741,0.9533215729298582
684.156612,0.9524001565454574
684.275814,0.9526973517543413
684.395016,0.9521925559406186
684.514218,0.9521220962985179
684.63342,0.9523896802013554
684.752622,0.9510125689144041
684.871824,0.9516851725379908
684.991026,0.9510867507878349
685.110228,0.9514016126091024
685.22943,0.9510781910455967
685.348632,0.9507301601212182
685.467834,0.9502549138626233
685.587036,0.949079226180096
685.706238,0.9488334464903592
685.82544,0.9467549346634306
685.944642,0.947559070910495
686.063844,0.9457878453870007
686.183046,0.9470314274703376
686.302248,0.9467464139073621
686.42145,0.9469670315227566
686.540652,0.9461870520844428
686.659854,0.9450041121654796
686.779056,0.9452961635557547
686.898258,0.9440803499371417
687.01746,0.9454965875866252
687.136662,0.9446705845849666
687.255864,0.9446649165784631
687.375066,0.9437697985905101
687.494268,0.9430065975798843
687.61347,0.9422129202097855
687.732672,0.9409737835375537
687.851874,0.9407498584252171
687.971076,0.9405241055506236
688.090278,0.940660491433666
688.20948,0.9412627068365569
688.328682,0.9413116537699215
688.447884,0.9413182429745601
688.567086,0.940550440594268
688.686288,0.9395849911349322
688.80549,0.939087143031032
688.924692,0.939348245548363
689.043894,0.93997029996421
689.163096,0.9400906238631708
689.282298,0.9383830917260005
689.4015,0.9378708744059716
689.520702,0.9363358994014237
689.639904,0.935794853628861
689.759106,0.9344174425217967
689.878308,0.9342128275080462
689.99751,0.9350624130463785
690.116712,0.9345052818897793
690.235914,0.9346641612920672
690.355116,0.9336888810925251
690.474318,0.9332604162363106
690.59352,0.932572856706353
690.712722,0.932557003102545
690.831924,0.9332389514935827
690.951126,0.9327556589002972
691.070328,0.9333929486249931
691.18953,0.9321225327785471
691.308732,0.9308389525182916
691.427934,0.9299597252084968
691.547136,0.928920611208674
691.666338,0.9287831411312518
691.78554,0.9292727388442941
691.904742,0.9307961349112883
692.023944,0.9299448459719276
692.143146,0.9292067628220126
692.262348,0.9283170090033569
692.38155,0.9278473994180461
692.500752,0.9274698423645551
692.619954,0.9266308618531588
692.739156,0.9283764231931669
692.858358,0.9265215258624104
692.97756,0.9254520112636168
693.096762,0.9239235027493276
693.215964,0.9232354360764395
693.335166,0.921774188759099
693.454368,0.9211291726089583
693.57357,0.9217271794742192
693.692772,0.9225165157275677
693.811974,0.9241785408297225
693.931176,0.9234237953173885
694.050378,0.9231394245837717
694.16958,0.9214037100064364
694.288782,0.9208979982002355
694.407984,0.920335501383612
694.527186,0.9212258962499846
694.646388,0.9212139203911766
694.76559,0.9206503099542823
694.884792,0.9185352474956049
695.003994,0.91690079213435
695.123196,0.9146223784854081
695.242398,0.9138270030546064
695.3616,0.9139860227874534
695.480802,0.9149809807392241
695.600004,0.9176447002907548
