nu,[0]Pentadecane-HITRAN(x-sec)-X=0.01-T=298.1K-P=1.0atm-L=15cm
614.713094,0.7177671974823615
614.831697,0.712952842718413
614.950299,0.7537609527761611
615.068901,0.7920109987131976
615.187504,0.725713478332136
615.306106,0.785676616973399
615.424708,0.7580696583520624
615.543311,0.7779445732117836
615.661913,0.697404285355251
615.780516,0.7755056583521217
615.899118,0.7921694167542163
616.01772,0.7421306300719976
616.136323,0.6793491985792971
616.254925,0.7671138907855205
616.373527,0.8218396302330052
616.49213,0.7511950053539731
616.610732,0.7224984531259406
616.729335,0.7453212093742998
616.847937,0.8151036466691517
616.966539,0.7443678085330101
617.085142,0.7470075401434964
617.203744,0.7263015443841835
617.322346,0.7906024730951858
617.440949,0.7345993723555085
617.559551,0.7678353168599928
617.678154,0.7661249518691493
617.796756,0.7221806237341591
617.915358,0.6979554524230082
618.033961,0.7625326132041215
618.152563,0.822900487461804
618.271165,0.6911765421015369
618.389768,0.6861081572871308
618.50837,0.7633489597677752
618.626973,0.817691625007565
618.745575,0.7171071553266244
618.864177,0.7269482404957678
618.98278,0.7618314058048359
619.101382,0.8041415243362191
619.219984,0.7271445430203499
619.338587,0.7767241585080669
619.457189,0.8373358788825825
619.575792,0.7450752939534824
619.694394,0.7579104804380745
619.812996,0.8129871298519785
619.931599,0.8181578420930659
620.050201,0.7023804993015516
620.168803,0.7709282274187716
620.287406,0.8110707424521189
620.406008,0.8300328505490179
620.52461,0.696094396979662
620.643213,0.7316302614055449
620.761815,0.8078087047808123
620.880418,0.8356795941054326
620.99902,0.7325819992409286
621.117622,0.7603853003690074
621.236225,0.7743200419226955
621.354827,0.7902230749709344
621.473429,0.755443715283697
621.592032,0.8137435595680392
621.710634,0.7884076504370148
621.829237,0.7292271531262633
621.947839,0.7612450214093307
622.066441,0.8250263118537263
622.185044,0.7887940648495285
622.303646,0.6662102283953872
622.422248,0.7678353168599928
622.540851,0.8178306444001299
622.659453,0.8009554111040368
622.778056,0.7073992941642415
622.896658,0.741151663900122
623.01526,0.8514368030611069
623.133863,0.7868560162271621
623.252465,0.7239955739093379
