nu,[0]Propylenecarbonate-HITRAN(x-sec)-X=0.01-T=298.1K-P=1.0atm-L=15cm
709.50619,0.910719802847997
709.624192,0.9085294278326583
709.742195,0.9086502702824049
709.860197,0.9087438660803449
709.9782,0.9075396702721854
710.096202,0.9076513045169943
710.214204,0.9069309154135284
710.332207,0.9082850662846731
710.450209,0.9074017347256712
710.568211,0.9050365041665989
710.686214,0.9055307890253608
710.804216,0.9075360401207647
710.922218,0.9037613019245737
711.040221,0.9026503588932329
711.158223,0.9002705047354622
711.276226,0.9021179522568878
711.394228,0.8976545256622642
711.51223,0.8958341352965282
711.630233,0.8964345452820618
711.748235,0.896282164362109
711.866237,0.9000904686387249
711.98424,0.901567828110934
712.102242,0.9042404223702964
712.220244,0.9057082904545816
712.338247,0.9090047129996524
712.456249,0.9103874507779002
712.574251,0.912118831224946
712.692254,0.9134825552069538
712.810256,0.9152729062317204
712.928259,0.9141304439880283
713.046261,0.9176722300447078
713.164263,0.9180935382811417
713.282266,0.92090536541369
713.400268,0.9219189186677348
713.51827,0.9226742795401787
713.636273,0.9241896310387536
713.754275,0.9251623901121659
713.872277,0.9257676442118168
713.99028,0.9262306437741675
714.108282,0.9269552394175699
714.226285,0.9248044215385792
714.344287,0.9280988801373867
714.462289,0.9248192185276994
714.580292,0.9301289932814121
714.698294,0.9281573522086863
714.816296,0.9308780485753089
714.934299,0.9286271186697955
715.052301,0.9279708113288788
715.170303,0.9313203206796913
715.288306,0.9311508358049191
715.406308,0.9292560120855361
715.52431,0.9298332592857461
715.642313,0.9313352219240318
715.760315,0.9322288008044461
715.878318,0.9329431616311293
715.99632,0.9311312818426845
716.114322,0.933138167129275
716.232325,0.9327183494201358
716.350327,0.9333285467334288
716.468329,0.9318168467230493
716.586332,0.9343174652043287
