nu,[0]Methylsalicylate-PNNL(x-sec)-X=0.01-T=298.15K-P=1.0atm-L=15cm
648.652973,0.9877328623805985
648.771975,0.9924706883554767
648.890978,0.9906044169248637
649.00998,0.9911318560214545
649.128983,0.9909463335034567
649.247985,0.988136927747047
649.366987,0.987794103716528
649.48599,0.9877891647583568
649.604992,0.9864397794850982
649.723994,0.9853257320896024
649.842997,0.9897548428545372
649.961999,0.98649206217889
650.081002,0.9907039776716083
650.200004,0.9896083699770549
650.319006,0.991534039792904
650.438009,0.9824704618160746
650.557011,0.9861241692559928
650.676014,0.9859427391009359
650.795016,0.9838508191285492
650.914018,0.9843241652031548
651.033021,0.9865926895011384
651.152023,0.9852291748992372
651.271025,0.9841332248369198
651.390028,0.9813903384848215
651.50903,0.9817603923932091
651.628033,0.9805878894343474
651.747035,0.9786179086682586
651.866037,0.9794980817466704
651.98504,0.9820775522185065
652.104042,0.9778255491111801
652.223044,0.978925242940536
652.342047,0.9809831459926365
652.461049,0.9774814150890342
652.580052,0.9783889388681416
652.699054,0.9771149282789475
652.818056,0.9766557921680944
652.937059,0.97886553032197
653.056061,0.9747326994321981
653.175064,0.9741772601087674
653.294066,0.9749149914907681
653.413068,0.9735092036778873
653.532071,0.9731918914021994
653.651073,0.9713008727851747
653.770075,0.9701398913466145
653.889078,0.96975870127807
654.00808,0.969460061590949
654.127083,0.968457189503033
654.246085,0.9653099862032952
654.365087,0.9645968856466
654.48409,0.9652559303576457
654.603092,0.9632753294501554
654.722094,0.9632339095015243
654.841097,0.9634468077199108
654.960099,0.9590375974676347
655.079102,0.9593723600018154
655.198104,0.9573865984313152
655.317106,0.9548843932667469
655.436109,0.9539729139718148
655.555111,0.9541427362642374
655.674113,0.9498501914813056
655.793116,0.9488448325600333
655.912118,0.9456904342556852
656.031121,0.9452054194798387
656.150123,0.9411704676110827
656.269125,0.9391284637743751
656.388128,0.941217527310946
656.50713,0.938354940655517
656.626133,0.933599251262241
656.745135,0.9307784499527326
656.864137,0.9286317618169967
656.98314,0.9261815548509154
657.102142,0.9267179692481564
657.221144,0.9228145366899421
657.340147,0.9227896210338143
657.459149,0.9181045554697042
657.578152,0.9139074233693172
657.697154,0.91374019361283
657.816156,0.9093456536894111
657.935159,0.9067350394911603
658.054161,0.9012973983289964
