nu,[0]4-Methyl-1-pentanol-HITRAN(x-sec)-X=0.01-T=298.1K-P=1.0atm-L=15cm
599.146383,0.9999329312492092
599.280986,0.9988080109839534
599.415588,0.9982937572899889
599.550191,0.9998801071877177
599.684794,1.0
599.819396,1.0
599.953999,1.0
600.088602,0.9985466571271226
600.223204,0.999568962923184
600.357807,0.999008431928834
600.49241,1.0
600.627013,1.0
600.761615,1.0
600.896218,1.0
601.030821,0.9988441684883979
601.165423,0.9985351739065943
601.300026,1.0
601.434629,1.0
601.569231,1.0
601.703834,0.9997851730786084
601.838437,0.9998492613622103
601.973039,0.9985842031872921
602.107642,1.0
602.242245,1.0
602.376848,1.0
602.51145,1.0
602.646053,0.9989148891590091
602.780656,0.9998826168899364
602.915258,0.9992903119477756
603.049861,1.0
603.184464,1.0
603.319066,1.0
603.453669,0.999509990094087
603.588272,0.9993488121149203
603.722874,0.9993507108794671
603.857477,1.0
603.99208,1.0
604.126683,1.0
604.261285,1.0
604.395888,0.9991648389412919
604.530491,0.9990063140332033
604.665093,0.9997161103043078
604.799696,1.0
604.934299,1.0
605.068901,1.0
605.203504,0.9991914070875814
605.338107,0.9981751670360235
605.472709,0.9998854265640374
605.607312,1.0
605.741915,1.0
605.876518,1.0
606.01112,1.0
606.145723,0.9976697193293571
606.280326,0.9992386799512815
606.414928,1.0
606.549531,1.0
606.684134,1.0
606.818736,1.0
606.953339,0.9994720494149818
607.087942,0.9979037003117378
607.222544,0.999474967877627
607.357147,1.0
607.49175,1.0
607.626353,1.0
607.760955,0.999759228989993
607.895558,0.998701743465117
608.030161,0.9989339686156002
608.164763,1.0
608.299366,1.0
608.433969,1.0
608.568571,0.9995563084602163
608.703174,0.9986151597774157
608.837777,0.9978671777046741
608.972379,0.999951235189042
609.106982,1.0
609.241585,1.0
609.376188,1.0
609.51079,0.9992067647775318
609.645393,0.9987916306668922
609.779996,0.9994745081192475
609.914598,1.0
610.049201,1.0
610.183804,1.0
610.318406,0.999654889564311
610.453009,0.9985862003576957
610.587612,0.9986048740942413
610.722214,0.9999977895024431
610.856817,1.0
610.99142,1.0
611.126023,0.9998860964874977
611.260625,0.9981659838667294
611.395228,0.999775035308352
611.529831,0.9999644966302595
611.664433,1.0
611.799036,1.0
611.933639,0.999997687402674
612.068241,0.9996880686606997
612.202844,0.999043218008056
612.337447,0.9983113274147338
612.472049,1.0
612.606652,1.0
612.741255,1.0
612.875858,0.9989771234951831
613.01046,0.9997913217763301
613.145063,0.9991015938087165
613.279666,0.9998087182966783
613.414268,1.0
613.548871,1.0
613.683474,0.9999349381166162
613.818076,0.9990042361022312
613.952679,0.9995491316716862
614.087282,1.0
614.221884,1.0
614.356487,1.0
614.49109,1.0
614.625693,0.9985190976197089
614.760295,0.9987691581080195
614.894898,1.0
615.029501,1.0
615.164103,1.0
615.298706,1.0
615.433309,0.9997294666007613
615.567911,0.9986865633139858
615.702514,0.9994768069132598
615.837117,1.0
615.971719,1.0
616.106322,1.0
616.240925,1.0
616.375528,0.9978776553650477
616.51013,0.9987889339331301
616.644733,1.0
616.779336,1.0
616.913938,1.0
617.048541,1.0
617.183144,0.9995162470462093
617.317746,0.9983457697496565
617.452349,0.9998041191871521
617.586952,1.0
617.721554,1.0
617.856157,1.0
617.99076,1.0
618.125363,0.9990412399044426
618.259965,0.9989587424852167
618.394568,1.0
618.529171,1.0
618.663773,1.0
618.798376,1.0
618.932979,0.9992038470980386
619.067581,0.9986341336457025
619.202184,1.0
619.336787,1.0
619.471389,1.0
619.605992,1.0
619.740595,0.9994827538179529
619.875198,0.9986595991407943
620.0098,0.9989405616015499
620.144403,1.0
620.279006,1.0
620.413608,1.0
620.548211,1.0
620.682814,0.9987285090304988
620.817416,0.9989926077606001
620.952019,0.9999486633177725
621.086622,1.0
621.221224,1.0
621.355827,1.0
621.49043,0.9992116509105582
621.625033,0.9988280872267398
621.759635,0.9999758242922371
621.894238,1.0
622.028841,1.0
622.163443,1.0
622.298046,0.999930355425296
622.432649,0.9979367314708808
622.567251,0.9985469566911648
622.701854,1.0
622.836457,1.0
622.971059,1.0
623.105662,1.0
623.240265,0.9996278792541059
623.374867,0.9986966500992134
623.50947,0.9983206117532509
623.644073,1.0
623.778676,1.0
623.913278,0.999797790447108
624.047881,0.9992614228824507
624.182484,0.9985119083080876
624.317086,0.9998584000262227
624.451689,0.9999970274044182
624.586292,1.0
624.720894,1.0
624.855497,1.0
624.9901,0.9991496217766739
625.124702,0.9989543470764196
625.259305,0.9998342437390872
625.393908,1.0
625.528511,1.0
625.663113,1.0
625.797716,0.9985268860990454
625.932319,0.9990811523992236
626.066921,1.0
626.201524,1.0
626.336127,1.0
626.470729,0.999762488210392
626.605332,0.9980410213083686
626.739935,0.9988547562926992
626.874537,0.9997432829574606
627.00914,1.0
627.143743,1.0
627.278346,1.0
627.412948,0.9989680328447218
627.547551,0.9974961399000422
627.682154,0.9990176727995683
627.816756,0.9999801231975463
627.951359,1.0
