nu,[0]Formicacid-PNNL(x-sec)-X=0.01-T=298.15K-P=1.0atm-L=15cm
554.119482,0.9674756716265397
554.252685,0.9794647793780344
554.385888,0.9720286496573058
554.51909,0.9672589813463127
554.652293,0.9624318697508429
554.785496,0.9541732693203242
554.918698,0.9576958842495792
555.051901,0.9612017062466884
555.185104,0.9519193158888866
555.318306,0.9622759684162923
555.451509,0.9669862527701097
555.584712,0.9719489465759049
555.717914,0.9743380126184027
555.851117,0.9512522542808582
555.98432,0.9689744837474984
556.117522,0.9587470530952974
556.250725,0.993983372830677
556.383928,0.9652655829652121
556.51713,0.9712357978067343
556.650333,0.9471223468514353
556.783536,0.9625136799366554
556.916738,0.9614372295151412
557.049941,0.9579679085063222
557.183144,0.9757889067787268
557.316346,0.9448491441988051
557.449549,0.9546638404467337
557.582752,0.9597878581825605
557.715954,0.939805819554172
557.849157,0.8971609514185093
557.98236,0.915927560370641
558.115562,0.9287004831100276
558.248765,0.9497086743460633
558.381968,0.9604234481017286
558.51517,0.9543164060457082
558.648373,0.9528050126378149
558.781576,0.9610700306329182
558.914778,0.9655590683099458
559.047981,0.9617718678947134
559.181184,0.982632582816889
559.314386,0.9463753620440272
559.447589,0.924197024585376
559.580792,0.9552692892285605
559.713994,0.9396526436897568
559.847197,0.9423994968384638
559.9804,0.9520944851580887
560.113602,0.9642149809020141
560.246805,0.960504127059838
560.380008,0.9564593401466291
560.51321,0.9521525646930912
560.646413,0.9651661657302423
560.779616,0.9577945320059291
560.912818,0.9641060307649708
561.046021,0.9540759486102941
561.179224,0.9582467177324725
561.312426,0.9649104305827274
561.445629,0.9572659753193286
561.578832,0.964223658875893
561.712034,0.966978516911031
561.845237,0.965673011002493
561.97844,0.9799605139666735
562.111642,0.9671139033802303
562.244845,0.9546590671394648
562.378048,0.9588227971043408
562.51125,0.9546437927165863
562.644453,0.9587969092383068
562.777656,0.9649963114326904
562.910858,0.9633523945590746
563.044061,0.9432150250683385
563.177264,0.9165258563899535
563.310466,0.9261454344746282
